yearid,round,playerid,teamid,lgid,g,ab,r,h,2b,3b,hr,rbi,sb,cs,bb,so,ibb,hbp,sh,sf,gidp
2011,ВВС,doteloc01,SLN,NL,3,0,0,0,0,0,0,0,0,0.0,0,0,,,,,
1925,ВВС,zachato01,WS1,AL,1,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
1987,ВВС,oquenjo01,SLN,NL,7,24,2,6,0,0,0,2,0,1.0,1,4,0.0,0.0,0.0,1.0,0.0
1974,НЛЦС,joshuvo01,LAN,NL,1,0,0,0,0,0,0,0,0,0.0,1,0,0.0,0.0,0.0,0.0,0.0
1948,ВВС,mitchda01,CLE,AL,6,23,4,4,1,0,1,1,0,0.0,2,0,0.0,0.0,0.0,0.0,0.0
2004,NLDS1,werthja01,LAN,NL,4,14,3,4,1,0,2,3,0,0.0,3,4,0.0,0.0,0.0,0.0,0.0
2011,НЛДС2,hawkila01,MIL,NL,1,0,0,0,0,0,0,0,0,0.0,0,0,,,,,
2005,АЛД2,kotchca01,LAA,AL,2,2,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2006,АЛД2,thomafr04,OAK,AL,3,10,3,5,1,0,2,2,0,0.0,2,1,1.0,0.0,0.0,0.0,0.0
2000,NLDS1,kileda01,SLN,NL,2,3,0,0,0,0,0,0,0,0.0,0,1,0.0,0.0,0.0,0.0,0.0
2002,ВВС,santibe01,SFN,NL,7,26,2,6,0,0,0,5,0,0.0,3,4,1.0,0.0,0.0,1.0,3.0
2003,ВВС,posadjo01,NYA,AL,6,19,0,3,1,0,0,1,1,1.0,5,7,0.0,0.0,0.0,0.0,0.0
2002,АЛКС,molinbe01,ANA,AL,5,14,0,3,0,1,0,2,0,0.0,1,2,0.0,1.0,0.0,0.0,0.0
1981,Аидив,brownbo04,NYA,AL,1,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2000,НЛЦС,venturo01,NYN,NL,5,14,4,3,1,0,0,5,0,0.0,6,0,0.0,0.0,0.0,2.0,0.0
1992,АЛКС,blankla02,OAK,AL,5,13,2,3,0,0,0,0,1,0.0,3,4,0.0,0.0,0.0,0.0,0.0
1981,АЛКС,mooreke01,OAK,AL,3,8,0,2,0,0,0,0,0,0.0,0,1,0.0,0.0,0.0,0.0,1.0
1978,НЛЦС,hebneri01,PHI,NL,3,9,0,1,0,0,0,1,0,0.0,0,0,0.0,0.0,1.0,0.0,0.0
1927,ВВС,durstce01,NYA,AL,1,1,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
1913,ВВС,lappja01,PHA,AL,1,4,0,1,0,0,0,0,0,0.0,0,1,0.0,0.0,0.0,0.0,0.0
2001,НЛДС2,bautida01,ARI,NL,3,6,1,0,0,0,0,1,0,0.0,0,1,0.0,0.0,0.0,0.0,0.0
1932,ВВС,mayja01,CHN,NL,2,2,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
1934,ВВС,gehrich01,DET,AL,7,29,5,11,1,0,1,2,1,0.0,3,0,0.0,0.0,1.0,0.0,0.0
2001,НЛЦС,bellja01,ARI,NL,1,4,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
1999,АЛКС,ledeeri01,NYA,AL,3,8,2,2,0,0,1,4,0,1.0,1,4,0.0,0.0,0.0,0.0,0.0
2004,ВВС,kaplega01,BOS,AL,4,2,0,0,0,0,0,0,0,0.0,0,1,0.0,0.0,0.0,0.0,0.0
2006,НЛЦС,hancojo01,SLN,NL,2,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
1929,ВВС,grimmch01,CHN,NL,5,18,2,7,0,0,1,4,0,1.0,1,2,0.0,0.0,1.0,0.0,0.0
1978,АЛКС,wilsowi02,KCA,AL,3,4,0,1,0,0,0,0,0,1.0,0,2,0.0,0.0,0.0,0.0,0.0
1968,ВВС,gagliph01,SLN,NL,3,3,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
1911,ВВС,bendech01,PHA,AL,3,11,0,1,0,0,0,0,0,0.0,0,1,0.0,0.0,0.0,0.0,0.0
2002,НЛЦС,veresda01,SLN,NL,2,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2008,ВВС,werthja01,PHI,NL,5,18,4,8,3,0,1,3,3,0.0,6,4,0.0,0.0,0.0,0.0,0.0
1972,АЛКС,hendrge01,OAK,AL,5,7,2,1,0,0,0,0,0,0.0,0,1,0.0,0.0,0.0,0.0,0.0
1951,ВВС,rizzuph01,NYA,AL,6,25,5,8,0,0,1,3,0,1.0,2,3,0.0,1.0,0.0,0.0,1.0
2001,ВВС,johnsra05,ARI,NL,3,7,2,1,0,0,0,1,0,0.0,0,2,0.0,0.0,0.0,0.0,0.0
1976,НЛЦС,allendi01,PHI,NL,3,9,1,2,0,0,0,0,0,0.0,3,2,0.0,0.0,0.0,0.0,0.0
1998,НЛЦС,boehrbr01,SDN,NL,3,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
1990,ВВС,mcgeewi01,OAK,AL,4,10,1,2,1,0,0,0,1,0.0,0,2,0.0,0.0,0.0,0.0,1.0
1976,АЛКС,maddoel01,NYA,AL,3,9,0,2,1,0,0,1,0,0.0,0,1,0.0,0.0,0.0,0.0,0.0
1940,ВВС,myersbi01,CIN,NL,7,23,0,3,0,0,0,2,0,0.0,2,5,1.0,0.0,0.0,0.0,0.0
2000,Алдс1,portebo03,OAK,AL,2,1,0,1,0,0,0,1,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
1999,ВВС,coneda01,NYA,AL,1,4,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
1923,ВВС,kellyge01,NY1,NL,6,22,1,4,0,0,0,1,0,0.0,1,2,0.0,0.0,0.0,0.0,3.0
1920,ВВС,wheatza01,BRO,NL,7,27,2,9,2,0,0,2,0,0.0,1,2,1.0,0.0,0.0,0.0,0.0
1972,ВВС,conceda01,CIN,NL,6,13,2,4,0,1,0,2,1,1.0,2,2,1.0,0.0,1.0,1.0,0.0
1973,НЛЦС,benchjo01,CIN,NL,5,19,1,5,2,0,1,1,0,0.0,2,3,1.0,0.0,0.0,0.0,0.0
1983,АЛКС,roeniga01,BAL,AL,3,4,4,3,1,0,1,4,0,0.0,5,0,0.0,1.0,0.0,0.0,1.0
1993,АЛКС,johnsla03,CHA,AL,6,23,2,5,1,1,1,6,1,0.0,2,1,0.0,0.0,0.0,0.0,1.0
1933,ВВС,mancugu01,NY1,NL,5,17,2,2,1,0,0,2,0,0.0,3,0,1.0,0.0,1.0,0.0,1.0
1932,ВВС,chapmbe01,NYA,AL,4,17,1,5,2,0,0,6,0,1.0,2,4,0.0,0.0,0.0,0.0,0.0
1991,ВВС,wohlema01,ATL,NL,2,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
1984,АЛКС,bakerdo01,DET,AL,1,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
1925,ВВС,careyma01,PIT,NL,7,24,6,11,4,0,0,2,3,1.0,2,3,0.0,3.0,2.0,0.0,0.0
2004,НЛЦС,wheelda01,HOU,NL,4,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
