playerid,yearid,stint,teamid,lgid,pos,g,gs,innouts,po,a,e,dp,pb,wp,sb,cs,zr
milleor01,1997,1,DET,AL,1В,3,0.0,24.0,6.0,0.0,0.0,0.0,,,,,
schilcu01,1988,1,BAL,AL,"Пожалуйста, предоставьте текст для перевода:",4,4.0,44.0,0.0,0.0,1.0,0.0,,,,,
olsoniv01,1916,1,BRO,NL,Два Б,3,,,7.0,4.0,1.0,0.0,,,,,
ostrojo01,1949,1,CHA,AL,3В,8,,,4.0,9.0,1.0,0.0,,,,,
fitzped01,1917,1,BSN,NL,Два Б,22,,,33.0,46.0,6.0,2.0,,,,,
terwiwa01,1954,1,WS1,AL,С,3,1.0,53.0,3.0,7.0,2.0,1.0,,,,,
pierema01,1947,1,WS1,AL,"Пожалуйста, предоставьте текст для перевода:",23,,,4.0,14.0,5.0,0.0,,,,,
tasbywi01,1960,1,BAL,AL,ОФ,36,22.0,648.0,47.0,1.0,1.0,0.0,,,,,
rincoju01,2005,1,MIN,AL,"Пожалуйста, предоставьте текст для перевода:",75,0.0,231.0,5.0,12.0,1.0,0.0,,,,,
reynocr01,1983,1,HOU,NL,С,8,5.0,168.0,10.0,11.0,0.0,6.0,,,,,
klimclo01,1961,1,KC1,AL,RF,3,3.0,78.0,1.0,0.0,0.0,0.0,,,,,
wyattwh01,1941,1,BRO,NL,"Пожалуйста, предоставьте текст для перевода:",38,,,11.0,47.0,2.0,5.0,,,,,
phillmi01,1980,1,SLN,NL,3В,8,2.0,89.0,1.0,7.0,3.0,1.0,,,,,
oldisbo01,1963,1,PHI,NL,С,43,19.0,621.0,170.0,15.0,4.0,4.0,3.0,9.0,19.0,5.0,0.0
husonje01,1998,1,SEA,AL,ОФ,1,0.0,3.0,1.0,0.0,0.0,0.0,,,,,
johnsla02,1977,1,CHA,AL,1В,45,38.0,1064.0,346.0,32.0,4.0,31.0,,,,,
schmara01,1918,1,BRO,NL,Два Б,34,,,79.0,90.0,12.0,8.0,,,,,
nichosi01,1908,1,PHA,AL,С,120,,,221.0,370.0,56.0,26.0,,,,,
riconha01,1924,1,PHA,AL,С,2,,,2.0,0.0,0.0,0.0,,,,,
penaro01,1970,1,OAK,AL,С,12,10.0,291.0,20.0,29.0,2.0,3.0,,,,,
palmede01,1999,1,DET,AL,ДХ,9,,,,,,,,,,,
farlebo01,1961,1,SFN,NL,1В,1,1.0,12.0,4.0,0.0,0.0,1.0,,,,,
flanito01,1954,1,CHA,AL,"Пожалуйста, предоставьте текст для перевода:",2,0.0,5.0,0.0,1.0,0.0,0.0,,,,,
peitzhe01,1894,1,SLN,NL,3В,47,,,67.0,73.0,16.0,4.0,,,,,
grubbjo01,1983,1,DET,AL,ОФ,26,23.0,528.0,34.0,1.0,0.0,0.0,,,,,
youklke01,2006,1,BOS,AL,LF,18,17.0,402.0,36.0,3.0,0.0,0.0,,,,,
willige02,1993,1,NYA,AL,ДХ,1,,,,,,,,,,,
kauffbe01,1920,1,NY1,NL,ОФ,51,,,111.0,10.0,5.0,0.0,,,,,
williwa02,1968,1,CHA,AL,ОФ,34,30.0,723.0,47.0,2.0,0.0,1.0,,,,,
thurmga01,1988,1,KCA,AL,Ф,11,6.0,214.0,14.0,0.0,0.0,0.0,,,,,
hillko01,2010,1,CHN,NL,3В,1,0.0,3.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,
templjo01,1962,1,BAL,AL,Два Б,71,71.0,1781.0,141.0,169.0,6.0,41.0,,,,,
thronfa01,1960,1,WS1,AL,ОФ,34,30.0,761.0,52.0,2.0,3.0,0.0,,,,,
perezyo01,1998,1,PHI,NL,"Пожалуйста, предоставьте текст для перевода:",57,0.0,156.0,3.0,7.0,1.0,0.0,,,,,
hudlere01,1986,1,BAL,AL,Два Б,13,0.0,51.0,2.0,2.0,1.0,0.0,,,,,
asprobo01,1960,1,LAN,NL,С,15,9.0,253.0,11.0,17.0,2.0,4.0,,,,,
lovelva01,1989,1,CAL,AL,"Пожалуйста, предоставьте текст для перевода:",1,0.0,3.0,0.0,0.0,0.0,0.0,,,,,
ellisja01,2008,1,TEX,AL,ОФ,7,2.0,87.0,11.0,0.0,0.0,0.0,,,,,
maciajo01,2002,1,DET,AL,RF,1,0.0,6.0,0.0,0.0,0.0,0.0,,,,,
giovaed01,1996,1,ATL,NL,3В,6,1.0,87.0,1.0,7.0,0.0,1.0,,,,,
thomage01,1968,1,BOS,AL,ОФ,9,2.0,87.0,9.0,0.0,0.0,0.0,,,,,
beaucji01,1973,1,NYN,NL,1В,11,7.0,192.0,59.0,3.0,2.0,7.0,,,,,
