franchid,franchname,active,naassoc
NYP,Нью-Йорк Метростос,"Okay, I am ready to assist you with translations exclusively, without any additional text. Please provide me with the text that needs to be translated from English to Russian.",
KEK,Форт-Вэйн-Кекионгас,No additional text provided.,
ROK,Рокфорд Форест Ситис,No additional text provided.,
BRA,Бруклин Атланты,No additional text provided.,
PRO,Провиденс-Грейс,"Okay, I am ready to assist you with translations exclusively, without any additional text. Please provide me with the text that needs to be translated from English to Russian.",
KCR,Канзас-Сити Роялс,Да,
NYI,Нью-Йорк Джайантс,"Okay, I am ready to assist you with translations exclusively, without any additional text. Please provide me with the text that needs to be translated from English to Russian.",
TRT,Троианы,"Okay, I am ready to assist you with translations exclusively, without any additional text. Please provide me with the text that needs to be translated from English to Russian.",
TOR,Торонто Блю Джейс,Да,
BNA,Бостон Ред Стокингс,No additional text provided.,Атл
BFL,Баффало Бильс,"Okay, I am ready to assist you with translations exclusively, without any additional text. Please provide me with the text that needs to be translated from English to Russian.",
BFB,Баффало Бильс,"Okay, I am ready to assist you with translations exclusively, without any additional text. Please provide me with the text that needs to be translated from English to Russian.",
FLA,"""Флорида Марлинс""",Да,
OLY,Олимпийские игры в Вашингтоне,No additional text provided.,
CHP,Чикаго Пэрикс,"Okay, I am ready to assist you with translations exclusively, without any additional text. Please provide me with the text that needs to be translated from English to Russian.",
BUF,Баффало Бильс,"Okay, I am ready to assist you with translations exclusively, without any additional text. Please provide me with the text that needs to be translated from English to Russian.",
COR,Цинциннати Оутла Редс,"Okay, I am ready to assist you with translations exclusively, without any additional text. Please provide me with the text that needs to be translated from English to Russian.",
CKK,Киллеры Синцинати Келли,"Okay, I am ready to assist you with translations exclusively, without any additional text. Please provide me with the text that needs to be translated from English to Russian.",
BLC,Балтиморские канарейки,No additional text provided.,
CIN,Цинциннати Редс,Да,
CNA,Чикаго Уайт Стокингс,No additional text provided.,ХСЧ
SYR,Сиракузские звёзды,"Okay, I am ready to assist you with translations exclusively, without any additional text. Please provide me with the text that needs to be translated from English to Russian.",
IHO,Индианаполис Хойзерс,"Okay, I am ready to assist you with translations exclusively, without any additional text. Please provide me with the text that needs to be translated from English to Russian.",
PNA,Филадельфия Атлетикс,No additional text provided.,Аث
CLE,Кливленд Индианс,Да,
PHQ,Филадельфия Атлетикс,"Okay, I am ready to assist you with translations exclusively, without any additional text. Please provide me with the text that needs to be translated from English to Russian.",
MAR,"Балтимор, Мэриленд",No additional text provided.,
COL,Колорадо Рокиз,Да,
SLR,Сент-Луис Ред Стокинги,No additional text provided.,
BLT,Балтимор Трейл-Блюз,"Okay, I am ready to assist you with translations exclusively, without any additional text. Please provide me with the text that needs to be translated from English to Russian.",
LGR,Луизвилл Грейс,"Okay, I am ready to assist you with translations exclusively, without any additional text. Please provide me with the text that needs to be translated from English to Russian.",
SYS,Сиракузские звёзды,"Okay, I am ready to assist you with translations exclusively, without any additional text. Please provide me with the text that needs to be translated from English to Russian.",
BWW,"Вот перевод на русский:

""Удивительные чудеса Бруклина Уорда""","Okay, I am ready to assist you with translations exclusively, without any additional text. Please provide me with the text that needs to be translated from English to Russian.",
MIL,Милуоки Брюэрс,Да,
TEX,Техасские рейнджеры,Да,
BOS,Бостон Ред Сокс,Да,
PIT,Питтсбургские пираты,Да,
ARI,Аризона Даймондбэкс,Да,
DTN,Детройт Вулверинс,"Okay, I am ready to assist you with translations exclusively, without any additional text. Please provide me with the text that needs to be translated from English to Russian.",
SEA,Сиэтл Маринерс,Да,
MLU,Милуоки Брюэрс,"Okay, I am ready to assist you with translations exclusively, without any additional text. Please provide me with the text that needs to be translated from English to Russian.",
CLV,Кливленд Спайдеры,"Okay, I am ready to assist you with translations exclusively, without any additional text. Please provide me with the text that needs to be translated from English to Russian.",
WBL,Вашингтон Блюз Лэггс,No additional text provided.,
PBS,Питтсбургские повстанцы,"Okay, I am ready to assist you with translations exclusively, without any additional text. Please provide me with the text that needs to be translated from English to Russian.",
ECK,Бруклин Эффелдс,No additional text provided.,
WST,Вашингтон Стейлсмен,"Okay, I am ready to assist you with translations exclusively, without any additional text. Please provide me with the text that needs to be translated from English to Russian.",
LOU,Луизвилл Колонелы,"Okay, I am ready to assist you with translations exclusively, without any additional text. Please provide me with the text that needs to be translated from English to Russian.",
PHA,Филадельфия Атлетикс,"Okay, I am ready to assist you with translations exclusively, without any additional text. Please provide me with the text that needs to be translated from English to Russian.",
KCN,Канзас-Сити Ковбои,"Okay, I am ready to assist you with translations exclusively, without any additional text. Please provide me with the text that needs to be translated from English to Russian.",
TLM,Тольда Маумеи,"Okay, I am ready to assist you with translations exclusively, without any additional text. Please provide me with the text that needs to be translated from English to Russian.",
KCU,Канзас-Сити Ковбои,"Okay, I am ready to assist you with translations exclusively, without any additional text. Please provide me with the text that needs to be translated from English to Russian.",
HNA,Хартфорд Дарк Блюз,No additional text provided.,ХАР
SDP,Сан-Диего Падрес,Да,
TRO,Трой Хэмферы,No additional text provided.,
NYY,Нью-Йорк Янкиз,Да,
WNT,Вашингтон Нэшнлз,No additional text provided.,
KCC,Канзас-Сити Ковбои,"Okay, I am ready to assist you with translations exclusively, without any additional text. Please provide me with the text that needs to be translated from English to Russian.",
BAL,Балтимор Ориолс,Да,
ROC,Бронкос Рочестера,"Okay, I am ready to assist you with translations exclusively, without any additional text. Please provide me with the text that needs to be translated from English to Russian.",
CLI,Кливленд Инфантс,"Okay, I am ready to assist you with translations exclusively, without any additional text. Please provide me with the text that needs to be translated from English to Russian.",
MIN,Миннесота Дикс,Да,
CHH,Чикаго Валлэйз,"Okay, I am ready to assist you with translations exclusively, without any additional text. Please provide me with the text that needs to be translated from English to Russian.",
SLM,Сент-Луис Мараонс,"Okay, I am ready to assist you with translations exclusively, without any additional text. Please provide me with the text that needs to be translated from English to Russian.",
TBD,Тампа Бэй Рейс,Да,
RIC,Ричмондские американцы,"Okay, I am ready to assist you with translations exclusively, without any additional text. Please provide me with the text that needs to be translated from English to Russian.",
STP,Святые апостолы Павел,"Okay, I am ready to assist you with translations exclusively, without any additional text. Please provide me with the text that needs to be translated from English to Russian.",
BRG,Бруклин Гиганты,"Okay, I am ready to assist you with translations exclusively, without any additional text. Please provide me with the text that needs to be translated from English to Russian.",
IND,Индианаполис Хойзерс,"Okay, I am ready to assist you with translations exclusively, without any additional text. Please provide me with the text that needs to be translated from English to Russian.",
MAN,Миддлтон-Мансфилдс,No additional text provided.,
PHI,Филадельфийские Филлис,Да,
BLO,Балтимор Ориолс,"Okay, I am ready to assist you with translations exclusively, without any additional text. Please provide me with the text that needs to be translated from English to Russian.",
IBL,Индианаполис Блюз,"Okay, I am ready to assist you with translations exclusively, without any additional text. Please provide me with the text that needs to be translated from English to Russian.",
WNA,Вашингтон Нэшнлз,"Okay, I am ready to assist you with translations exclusively, without any additional text. Please provide me with the text that needs to be translated from English to Russian.",
PHK,Филадельфийские ключи,"Okay, I am ready to assist you with translations exclusively, without any additional text. Please provide me with the text that needs to be translated from English to Russian.",
NYM,Нью-Йорк Метс,Да,
PBB,"Питтсбургские ""бургеры""","Okay, I am ready to assist you with translations exclusively, without any additional text. Please provide me with the text that needs to be translated from English to Russian.",
NAT,Вашингтон Нэшнлз,No additional text provided.,
CBL,Кливленд Блюз,"Okay, I am ready to assist you with translations exclusively, without any additional text. Please provide me with the text that needs to be translated from English to Russian.",
CPI,Чикаго/Питтсбург (Уион-Лиг-Холл),"Okay, I am ready to assist you with translations exclusively, without any additional text. Please provide me with the text that needs to be translated from English to Russian.",
SNA,Сент-Луис Браун Стокингс,No additional text provided.,ТВС
CHC,Чикаго Кабс,Да,Кана
PWS,Филадельфийские белые чулки,No additional text provided.,
WSN,Вашингтон Нэшнлз,Да,
CLS,Колумб Солоны,"Okay, I am ready to assist you with translations exclusively, without any additional text. Please provide me with the text that needs to be translated from English to Russian.",
CFC,Кливленд Форест Сити,No additional text provided.,
WOR,Уорикер Руби Легс,"Okay, I am ready to assist you with translations exclusively, without any additional text. Please provide me with the text that needs to be translated from English to Russian.",
DET,Детройт Тайгерс,Да,
STL,Сент-Луис Кардиналс,Да,
ATH,Филадельфия Атлетикс,"Okay, I am ready to assist you with translations exclusively, without any additional text. Please provide me with the text that needs to be translated from English to Russian.",НПВ
WAS,Вашингтон Сенаторы,"Okay, I am ready to assist you with translations exclusively, without any additional text. Please provide me with the text that needs to be translated from English to Russian.",
WIL,Уилмингтон-Квикстепс,"Okay, I am ready to assist you with translations exclusively, without any additional text. Please provide me with the text that needs to be translated from English to Russian.",
BLU,Балтиморские монументальные скульптуры,"Okay, I am ready to assist you with translations exclusively, without any additional text. Please provide me with the text that needs to be translated from English to Russian.",
SBS,Сент-Луис Браун Стокингс,"Okay, I am ready to assist you with translations exclusively, without any additional text. Please provide me with the text that needs to be translated from English to Russian.",СНА
NHV,Новый-Хэнвен Элм Сити,No additional text provided.,
MLA,Милуоки Брюэрс,"Okay, I am ready to assist you with translations exclusively, without any additional text. Please provide me with the text that needs to be translated from English to Russian.",
CBK,Коламбус Бакс,"Okay, I am ready to assist you with translations exclusively, without any additional text. Please provide me with the text that needs to be translated from English to Russian.",
NEW,Ньюарк-Пеппер,"Okay, I am ready to assist you with translations exclusively, without any additional text. Please provide me with the text that needs to be translated from English to Russian.",
SLI,Сент-Луис Территерс,"Okay, I am ready to assist you with translations exclusively, without any additional text. Please provide me with the text that needs to be translated from English to Russian.",
CNR,Цинциннати Редс,"Okay, I am ready to assist you with translations exclusively, without any additional text. Please provide me with the text that needs to be translated from English to Russian.",
WNL,Вашингтон Нэшнлз,"Okay, I am ready to assist you with translations exclusively, without any additional text. Please provide me with the text that needs to be translated from English to Russian.",
CEN,Филадельфийские центенарианцы,No additional text provided.,
CHW,Чикаго Уайлд-Уайз,Да,
NNA,Нью-Йорк Мютуэлс,No additional text provided.,Нью-Йоркский университет
MLG,Милуоки Грейс,"Okay, I am ready to assist you with translations exclusively, without any additional text. Please provide me with the text that needs to be translated from English to Russian.",
LAD,Лос-Анджелес Доджерс,Да,
HOU,Хьюстон Астрос,Да,
OAK,Окленд Атлетикс,Да,
WES,Кеокук Уэстернз,No additional text provided.,
KCP,Канзас-Сити Пакерс,"Okay, I am ready to assist you with translations exclusively, without any additional text. Please provide me with the text that needs to be translated from English to Russian.",
TOL,Толедские синие стокинги,"Okay, I am ready to assist you with translations exclusively, without any additional text. Please provide me with the text that needs to be translated from English to Russian.",
BRD,Бостон Редс,"Okay, I am ready to assist you with translations exclusively, without any additional text. Please provide me with the text that needs to be translated from English to Russian.",
ANA,Лос-Анджелес Энджелс из Энаим,Да,
BTT,Бруклин Тип-Топс,"Okay, I am ready to assist you with translations exclusively, without any additional text. Please provide me with the text that needs to be translated from English to Russian.",
HAR,Хартфорд Дарк Блюз,"Okay, I am ready to assist you with translations exclusively, without any additional text. Please provide me with the text that needs to be translated from English to Russian.",НА
NYU,Нью-Йорк Мютуэлс,"Okay, I am ready to assist you with translations exclusively, without any additional text. Please provide me with the text that needs to be translated from English to Russian.",ННА
RES,Элизабет решает,No additional text provided.,
BRS,Бостон Редс,"Okay, I am ready to assist you with translations exclusively, without any additional text. Please provide me with the text that needs to be translated from English to Russian.",
ALT,Альтона Маунтейн Сити,"Okay, I am ready to assist you with translations exclusively, without any additional text. Please provide me with the text that needs to be translated from English to Russian.",
ATL,Атланта Брейвз,Да,БНА
SFG,Сан-Франциско Джайентс,Да,
