playerid,awardid,yearid,lgid,tie,notes
youngcy01,Pitching Triple Crown,1901,AL,,
lajoina01,Triple Crown,1901,AL,,
bushdo01,Baseball Magazine All-Star,1909,AL,,С
carribi02,Baseball Magazine All-Star,1909,AL,,С1
chaseha01,Baseball Magazine All-Star,1909,AL,,1В
cobbty01,Baseball Magazine All-Star,1909,AL,,RF
collied01,Baseball Magazine All-Star,1909,AL,,Два Б
crawfsa01,Baseball Magazine All-Star,1909,AL,,LF
johnswa01,Baseball Magazine All-Star,1909,AL,,П3
lordha01,Baseball Magazine All-Star,1909,AL,,3В
mullige01,Baseball Magazine All-Star,1909,AL,,Ч4
planked01,Baseball Magazine All-Star,1909,AL,,П2
speaktr01,Baseball Magazine All-Star,1909,AL,,Ф
streega01,Baseball Magazine All-Star,1909,AL,,С3
sullibi03,Baseball Magazine All-Star,1909,AL,,С2
walshed01,Baseball Magazine All-Star,1909,AL,,П1
woodjo02,Baseball Magazine All-Star,1909,AL,,Пять
adamsba01,Baseball Magazine All-Star,1909,ML,,Ч4
brownmo01,Baseball Magazine All-Star,1909,ML,,П3
carribi02,Baseball Magazine All-Star,1909,ML,,С2
chaseha01,Baseball Magazine All-Star,1909,ML,,1В
clarkfr01,Baseball Magazine All-Star,1909,ML,,LF
cobbty01,Baseball Magazine All-Star,1909,ML,,RF
collied01,Baseball Magazine All-Star,1909,ML,,Два Б
gibsoge01,Baseball Magazine All-Star,1909,ML,,С3
johnswa01,Baseball Magazine All-Star,1909,ML,,П6
klingjo01,Baseball Magazine All-Star,1909,ML,,С1
lordha01,Baseball Magazine All-Star,1909,ML,,3В
mathech01,Baseball Magazine All-Star,1909,ML,,П1
planked01,Baseball Magazine All-Star,1909,ML,,Пять
speaktr01,Baseball Magazine All-Star,1909,ML,,Ф
wagneho01,Baseball Magazine All-Star,1909,ML,,С
walshed01,Baseball Magazine All-Star,1909,ML,,П2
adamsba01,Baseball Magazine All-Star,1909,NL,,Пять
bresnro01,Baseball Magazine All-Star,1909,NL,,С3
brownmo01,Baseball Magazine All-Star,1909,NL,,П2
camniho01,Baseball Magazine All-Star,1909,NL,,Ч4
chancfr01,Baseball Magazine All-Star,1909,NL,,1В
clarkfr01,Baseball Magazine All-Star,1909,NL,,LF
devliar01,Baseball Magazine All-Star,1909,NL,,3В
eversjo01,Baseball Magazine All-Star,1909,NL,,Два Б
gibsoge01,Baseball Magazine All-Star,1909,NL,,С2
hofmaso01,Baseball Magazine All-Star,1909,NL,,RF
klingjo01,Baseball Magazine All-Star,1909,NL,,С1
leachto01,Baseball Magazine All-Star,1909,NL,,Ф
mathech01,Baseball Magazine All-Star,1909,NL,,П1
reulbed01,Baseball Magazine All-Star,1909,NL,,П3
