lahmanid,playerid,managerid,hofid,birthyear,birthmonth,birthday,birthcountry,birthstate,birthcity,deathyear,deathmonth,deathday,deathcountry,deathstate,deathcity,namefirst,namelast,namenote,namegiven,namenick,weight,height,bats,throws,debut,finalgame,college,lahman40id,lahman45id,retroid,holtzid,bbrefid
1,aaronha01,,aaronha01h,1934.0,2.0,5.0,США,АЛ,Мобильный,,,,,,,Хэнк,Аарон,,Генри Луи,"Гаммер, Гаммерин Хенк, Плохой Энри",180.0,72.0,r,r,4/13/1954,10/3/1976,,aaronha01,aaronha01,aaroh101,aaronha01,aaronha01
2,aaronto01,,,1939.0,8.0,5.0,США,АЛ,Мобильный,1984.0,8.0,16.0,США,А,Атланта,Томми,Аарон,,Томми Ли,,190.0,75.0,r,r,4/10/1962,9/26/1971,,aaronto01,aaronto01,aarot101,aaronto01,aaronto01
3,aasedo01,,,1954.0,9.0,8.0,США,Калифорния,Оранжевый,,,,,,,Дон,Аа́се,,Дональд Уильям,,190.0,75.0,r,r,7/26/1977,10/3/1990,Каль-Стэйт-Фулертон,aasedo01,aasedo01,aased001,aasedo01,aasedo01
4,abadan01,,,1972.0,8.0,25.0,США,ФЛ,Западный Палм-Бич,,,,,,,Анди,Абад,,,,184.0,73.0,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст, который необходимо перевести.","Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст, который необходимо перевести.",9/10/2001,4/13/2006,Средняя Джорджия JC,abadan01,abadan01,abada001,abadan01,abadan01
5,abadijo01,,,1854.0,11.0,4.0,США,ПА,Филадельфия,1905.0,5.0,17.0,США,НУ,Пемброк,Джон,Абади,,Джон,,192.0,72.0,r,r,4/26/1875,6/10/1875,,abadijo01,abadijo01,abadj101,abadijo01,abadijo01
6,abbated01,,,1877.0,4.0,15.0,США,ПА,Латроб,1957.0,1.0,6.0,США,ФЛ,Форт-Лодердейл,Эд,Аббатиаччо,,Эдвард Джеймс,Батти,170.0,71.0,r,r,9/4/1897,9/15/1910,,abbated01,abbated01,abbae101,abbated01,abbated01
7,abbeybe01,,,1869.0,11.0,29.0,США,ВТ,Эссекс,1962.0,6.0,11.0,США,ВТ,Эссекс-Джанкшен,Берτ,Абби,,Берт Вуд,,175.0,71.0,r,r,6/14/1892,9/23/1896,,abbeybe01,abbeybe01,abbeb101,abbeybe01,abbeybe01
8,abbeych01,,,1866.0,10.0,14.0,США,НЕ,Город Фолс,1926.0,4.0,27.0,США,Калифорния,Сан-Франциско,Чарли,Абби,,Чарльз С.,,169.0,68.0,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст, который необходимо перевести.",,8/16/1893,8/19/1897,,abbeych01,abbeych01,abbec101,abbeych01,abbeych01
9,abbotda01,,,1862.0,3.0,16.0,США,О,Портage,1930.0,2.0,13.0,США,М,Отава-Лейк,Дэн,Аботт,,Лейард Франклин,Большой Дэн,190.0,71.0,r,r,4/19/1890,5/23/1890,,abbotda01,abbotda01,abbod101,abbotda01,abbotda01
10,abbotfr01,,,1874.0,10.0,22.0,США,О,Версаль,1935.0,6.0,11.0,США,Калифорния,Лос-Анджелес,Фред,Аботт,Хэрри Фредерик Винбиглер,Гарри Фредерик,,180.0,70.0,r,r,4/25/1903,9/20/1905,,abbotfr01,abbotfr01,abbof101,abbotfr01,abbotfr01
11,abbotgl01,,,1951.0,2.0,16.0,США,АР,Малрॉк,,,,,,,Гленн,Аботт,,Уильям Гленн,,200.0,78.0,r,r,7/29/1973,8/8/1984,Арканзасский штат,abbotgl01,abbotgl01,abbog001,abbotgl01,abbotgl01
12,abbotje01,,,1972.0,8.0,17.0,США,А,Атланта,,,,,,,Джефф,Аботт,,Джеффри Уильямс,,190.0,74.0,r,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст, который необходимо перевести.",6/10/1997,9/29/2001,Кентукки,abbotje01,abbotje01,abboj002,abbotje01,abbotje01
13,abbotji01,,abbotji01h,1967.0,9.0,19.0,США,М,Флинт,,,,,,,Джим,Аботт,,Джеймс Энтони,,200.0,75.0,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст, который необходимо перевести.","Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст, который необходимо перевести.",4/8/1989,7/21/1999,Мичиган,abbotji01,abbotji01,abboj001,abbotji01,abbotji01
14,abbotku01,,,1969.0,6.0,2.0,США,О,За́нсвилл,,,,,,,Курт,Аботт,,Курт Томас,,180.0,71.0,r,r,9/8/1993,4/13/2001,,abbotku01,abbotku01,abbok002,abbotku01,abbotku01
15,abbotky01,,,1968.0,2.0,18.0,США,МА,Ньюберипорт,,,,,,,Кайл,Аботт,,Лоренс Кайл,,200.0,76.0,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст, который необходимо перевести.","Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст, который необходимо перевести.",9/10/1991,8/24/1996,Каль-Ст. Лонг-Бич,abbotky01,abbotky01,abbok001,abbotky01,abbotky01
16,abbotod01,,,1888.0,9.0,5.0,США,ПА,Новый Орёл,1933.0,4.0,13.0,США,ДК,Вашингтон,Оды,Аботт,,Оды Клеон,,180.0,74.0,r,r,9/10/1910,10/15/1910,,abbotod01,abbotod01,abboo101,abbotod01,abbotod01
17,abbotpa01,,,1967.0,9.0,15.0,США,Калифорния,Ван Нуйс,,,,,,,Павел,Аботт,,Паул Дэвид,,185.0,75.0,r,r,8/21/1990,8/7/2004,,abbotpa01,abbotpa01,abbop001,abbotpa01,abbotpa01
18,aberal01,,,1927.0,7.0,31.0,США,О,Кливленд,1993.0,5.0,20.0,США,О,Гарфилд-Хайтс,Ал,Однако,,Альберт Юлий,Лефтий,195.0,74.0,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст, который необходимо перевести.","Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст, который необходимо перевести.",9/15/1950,9/11/1957,,aberal01,aberal01,abera101,aberal01,aberal01
19,abercda01,,,1851.0,1.0,2.0,США,МД,Форт Тоусон,1939.0,11.0,11.0,США,ПА,Филадельфия,Франсис,Аберкромби,"Бывшее мнение, что это Дэйв Аберкрамб",Франсис Паттерсон,,,,,,10/21/1871,10/21/1871,,abercda01,abercda01,aberd101,abercda01,abercda01
20,abernbi01,,,1929.0,1.0,30.0,США,Калифорния,Торранс,2006.0,2.0,19.0,США,Калифорния,Юкаипа,Билл,Абернафти,,Уильям Эдвард,,190.0,70.0,r,r,9/27/1952,9/27/1952,,abernbi01,abernbi01,aberb101,abernbi01,abernbi01
21,abernbr01,,,1977.0,9.0,23.0,США,А,Атланта,,,,,,,Брент,Абернети,,,,185.0,73.0,r,r,6/25/2001,9/29/2005,,abernbr01,abernbr01,aberb001,abernbr01,abernbr01
22,abernte01,,,1921.0,10.0,30.0,США,НГ,Мебейн,2001.0,11.0,16.0,США,НГ,Шарлотта,Тал,Абернети,Тед,Тальмадж Лафайет,,210.0,74.0,r,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст, который необходимо перевести.",9/19/1942,4/29/1944,,abernte01,abernte01,abert102,abernte01,abernte01
23,abernte02,,,1933.0,3.0,6.0,США,НГ,Стэнли,2004.0,12.0,16.0,США,НГ,Гастония,Тед,Абернети,,Теодор Вэйд,,215.0,76.0,r,r,4/13/1955,9/30/1972,,abernte02,abernte02,abert101,abernte02,abernte02
24,abernwo01,,,1915.0,2.0,1.0,США,НГ,Лесной Город,1994.0,12.0,5.0,США,KY,Луизвилл,Вуди,Абернети,,Вирджил Вудроу,,170.0,72.0,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст, который необходимо перевести.","Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст, который необходимо перевести.",7/28/1946,4/17/1947,,abernwo01,abernwo01,aberw101,abernwo01,abernwo01
25,aberscl01,,,1921.0,8.0,28.0,США,ИЛ,Чикаго,1973.0,6.0,23.0,США,Калифорния,Вэллео,Клифф,Аберсон,,Клиффорд Александр,Киф,200.0,72.0,r,r,7/18/1947,5/9/1949,,aberscl01,aberscl01,aberc101,aberscl01,aberscl01
26,ablesha01,,,1883.0,10.0,4.0,США,"Текст не предоставлен. Пожалуйста, предоставьте текст для перевода, и я с радостью предоставлю вам его перевод на русский язык.",Террелл,1951.0,2.0,8.0,США,"Текст не предоставлен. Пожалуйста, предоставьте текст для перевода, и я с радостью предоставлю вам его перевод на русский язык.",Сан-Антонио,Гарри,Аблес,,Гарри Терелл,Ханс,200.0,74.0,r,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст, который необходимо перевести.",9/4/1905,5/5/1911,,ablesha01,ablesha01,ableh101,ablesha01,ablesha01
27,abnersh01,,,1966.0,6.0,17.0,США,О,Гамильтон,,,,,,,Шон,Абнер,,Шон Уэзли,,190.0,73.0,r,r,9/8/1987,10/3/1992,,abnersh01,abnersh01,abnes001,abnersh01,abnersh01
28,abramca01,,,1924.0,3.0,2.0,США,ПА,Филадельфия,1997.0,2.0,25.0,США,ФЛ,Форт-Лодердейл,Кал,Абрамс,,Кальвин Росс,Абие,185.0,72.0,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст, который необходимо перевести.","Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст, который необходимо перевести.",4/20/1949,5/9/1956,,abramca01,abramca01,abrac101,abramca01,abramca01
29,abramge01,,,1899.0,11.0,9.0,США,Ва,Сиэтл,1986.0,12.0,5.0,США,ФЛ,Кларвотер,Джордж,Абрамс,,Джордж Аллен,,170.0,69.0,r,r,4/19/1923,5/4/1923,,abramge01,abramge01,abrag101,abramge01,abramge01
30,abregjo01,,,1962.0,7.0,4.0,США,"Текст не предоставлен. Пожалуйста, предоставьте текст для перевода, и я с радостью предоставлю вам его перевод на русский язык.",Корпус-Кристи,,,,,,,Джонни,Абрего,,Джонни Рэй,,185.0,72.0,r,r,9/4/1985,10/3/1985,,abregjo01,abregjo01,abrej001,abregjo01,abregjo01
31,abreubo01,,,1974.0,3.0,11.0,Венесуэла,,Маракай,,,,,,,Боби,Арабский,,Боб Келли,,210.0,72.0,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст, который необходимо перевести.",r,9/1/1996,,,abreubo01,abreubo01,abreb001,abreubo01,abreubo01
32,abreujo01,,,1913.0,5.0,24.0,США,Калифорния,Оукленд,1993.0,3.0,17.0,США,Калифорния,Хейвард,Джо,Арабский,,Джозеф Лоуренс,,160.0,68.0,r,r,4/23/1942,7/11/1942,,abreujo01,abreujo01,abrej101,abreujo01,abreujo01
33,abstebi01,,,1883.0,2.0,2.0,США,МО,Сент-Луис,1940.0,4.0,8.0,США,МО,Сент-Луис,Билл,Абстейн,,Уильям Генри,Большой Билл,185.0,72.0,r,r,9/25/1906,6/2/1910,,abstebi01,abstebi01,abstb101,abstebi01,abstebi01
