schoolid,schoolname,schoolcity,schoolstate,schoolnick
jacksonst,Университет Джексона штата Миссисипи,Джексон,Мएस,Тигры
michiganst,Мичиганский государственный университет,Восточный Лансинг,М,Спартаны
lorasia,Колледж Лорас,Дубье,АЯ,Дугаксы
concrdiatx,Университет Конкордии в Остине,Остин,"Текст не предоставлен. Пожалуйста, предоставьте текст для перевода, и я с радостью предоставлю вам его перевод на русский язык.",Торнадо
mansfield,Университет Мансфилда Пенсильвании,Мансфилд,ПА,Гора
sutah,Южный Университет Юты,Кедар-Сити,УТ,Тандерbirды
appalst,Аппалачский государственный университет,Буун,НГ,Гора
muskingum,Мускингемский колледж,Новый Конкорд,О,Борьба с мусками
gardwebb,Университет Гарднера-Вэба,Бутыльные источники,НГ,Бульдоги
denisonoh,Университет Денисона,Гранвилл,О,Больший Красный
colgate,Университет Колгата,Гамильтон,Нью-Йорк,Бандиты
niagara,Ниагарский университет,Левенстон,Нью-Йорк,Фиолетовые орлы
unionny,Университетский колледж,Сchenectady,Нью-Йорк,немцы
ferrumva,Колледж Феррум,Феррум,Да,Пантеры
utchat,Университет Теннесси в Чаттануге,Чаттануга,ТН,Мокры
okcity,Оклахома-Сити Университет,Оклахома-Сити,Добро,Звёзды
silledward,Южный университет Иллинойса Эдвардсвилл,Эдвардсвилл,ИЛ,Пума
ncentralil,Северо-Центральный колледж,Напер,ИЛ,Кардиналы
uncashe,Университет Северной Каролины в Асхе́ве,Ашвилл,НГ,Бульдоги
forthays,Форт-Хейс-Стейтский университет,Хейсы,KS,Тигры
nytech,Нью-Йоркский технологический институт,Олд-Вэбери,Нью-Йорк,Медведи
birmsouth,Бирмингем-Саутерн Колледж,Бирмингем,АЛ,Пантеры
grinnellia,Колледж Гринелл,Гриннел,АЯ,Пионеры
purdue,Пурдьюский университет,Вест-Лафайетт,В,Клепальщики
wvstate,Западно-Виргинский государственный колледж,Институт,Западная Вирджиния,Желтые жакеты
georgia,Университет Джорджии,Афины,А,Бульдоги
calstnorth,Калифорнийский государственный университет в Нортриче,Нордридж,Калифорния,Матадоры
hamlinemn,Университет Хэмлина,Сент-Паул,МН,Пиперсы
bethanywv,Бетани Колледж,Бетани,Западная Вирджиния,Бисон
oregonst,Орегонский государственный университет,Корваллис,О-Р,Обыкновенные белки
hartford,Університет Хартфорда,Хартуфорд,КТ,Сыры
txtech,Университет Техаса в Луботе,Луббок,"Текст не предоставлен. Пожалуйста, предоставьте текст для перевода, и я с радостью предоставлю вам его перевод на русский язык.",Красные рады
lsu,Луизианский государственный университет,Батон-Руж,Лос-Анджелес,Тигры
iupui,Индианский университет-Университет Пердью в Индианаполисе,Индианаполис,В,Ягуары
smiss,Университет Южной Миссисипи,Хаттиспург,Мएस,Золотые орлы
wisuperior,Университет Висконсина в Супиоре,У превосходящий,ВИ,желтые жакеты
longbeach,Калифорнийский университет в Лонг-Бич,Долгий пляж,Калифорния,Ниндзя
gettysburg,Колледж Геттисберга,Геттисберг,ПА,•
rowannj,Роуанский университет,Глассборо,НУ,Профессоры
illinoisst,Государственный университет Иллинойса,Доброе утро! Как дела?,ИЛ,Красные птицы
illinois,Университет Иллинойса в Урбане-Шампейне,Шампанское,ИЛ,Файтинг Иллини
vatech,Вирджинский политехнический институт и государственный университет,Блэксбург,Да,Хокиес
