yearid,round,teamidwinner,lgidwinner,teamidloser,lgidloser,wins,losses,ties
1997,ВВС,FLO,NL,CLE,AL,4,3,0
1999,Алдс1,BOS,AL,CLE,AL,3,2,0
1942,ВВС,SLN,NL,NYA,AL,4,1,0
2002,НЛЦС,SFN,NL,SLN,NL,4,1,0
2005,НЛЦС,HOU,NL,SLN,NL,4,2,0
2003,НЛЦС,FLO,NL,CHN,NL,4,3,0
1997,NLDS1,FLO,NL,SFN,NL,3,0,0
1976,НЛЦС,CIN,NL,PHI,NL,3,0,0
2001,НЛДС2,ARI,NL,SLN,NL,3,2,0
1980,АЛКС,KCA,AL,NYA,AL,3,0,0
1921,ВВС,NY1,NL,NYA,AL,5,3,0
2004,НЛЦС,SLN,NL,HOU,NL,4,3,0
1915,ВВС,BOS,AL,PHI,NL,4,1,0
1997,АЛД2,BAL,AL,SEA,AL,3,1,0
1991,НЛЦС,ATL,NL,PIT,NL,4,3,0
2006,NLDS1,NYN,NL,LAN,NL,3,0,0
1971,НЛЦС,PIT,NL,SFN,NL,3,1,0
1981,НЕДИВ,MON,NL,PHI,NL,3,2,0
1995,НЛЦС,ATL,NL,CIN,NL,4,0,0
1925,ВВС,PIT,NL,WS1,AL,4,3,0
1995,Алдс1,CLE,AL,BOS,AL,3,0,0
1920,ВВС,CLE,AL,BRO,NL,5,2,0
2012,АЛКС,DET,AL,NYA,AL,4,0,0
2009,ВВС,NYA,AL,PHI,NL,4,2,0
2008,ВВС,PHI,NL,TBA,AL,4,1,0
1973,ВВС,OAK,AL,NYN,NL,4,3,0
1910,ВВС,PHA,AL,CHN,NL,4,1,0
2010,ВВС,SFN,NL,TEX,AL,4,1,0
2008,НЛДС2,PHI,NL,MIL,NL,3,1,0
1988,НЛЦС,LAN,NL,NYN,NL,4,3,0
1918,ВВС,BOS,AL,CHN,NL,4,2,0
2003,ВВС,FLO,NL,NYA,AL,4,2,0
1982,НЛЦС,SLN,NL,ATL,NL,3,0,0
2004,НЛДС2,HOU,NL,ATL,NL,3,2,0
1984,АЛКС,DET,AL,KCA,AL,3,0,0
1935,ВВС,DET,AL,CHN,NL,4,2,0
1983,ВВС,BAL,AL,PHI,NL,4,1,0
2000,Алдс1,NYA,AL,OAK,AL,3,2,0
2004,ВВС,BOS,AL,SLN,NL,4,0,0
1990,ВВС,CIN,NL,OAK,AL,4,0,0
1983,НЛЦС,PHI,NL,LAN,NL,3,1,0
1981,Нет разделения,LAN,NL,HOU,NL,3,2,0
2009,Алдс1,NYA,AL,MIN,AL,3,0,0
1926,ВВС,SLN,NL,NYA,AL,4,3,0
2001,АЛД2,NYA,AL,OAK,AL,3,2,0
2011,НЛДС2,MIL,NL,ARI,NL,3,2,0
2009,NLDS1,LAN,NL,SLN,NL,3,0,0
