yearid,round,playerid,teamid,lgid,g,ab,r,h,2b,3b,hr,rbi,sb,cs,bb,so,ibb,hbp,sh,sf,gidp
2011,Аलस,ordonma01,DET,AL,1,2,0,0,0,0,0,0,0,0.0,1,1,,,,,
2006,НЛКС,carpech01,SLN,NL,2,4,0,0,0,0,0,0,0,0.0,0,1,0.0,0.0,0.0,0.0,0.0
1889,"WS — это аббревиатура, которая может иметь несколько значений в зависимости от контекста:

1. Web Services (Услуги Интернета): WS может означать услуги веб-ориентированных протоколов, таких как SOAP или REST, которые позволяют приложениям обмениваться данными через Интернет.

2. Weather Service (Погода): WS может относиться к метеорологической службе или прогнозу погоды.

3. Work Study (Работа и учеба): WS может означать программу работы и учебы, которая позволяет студентам получать опыт работы в своей области изучения.

4. Water Supply (Водоснабжение): WS может относиться к водоснабжению или системе водоснабжения.

5. Weight Watchers: WS может быть аббревиатурой для организации по контролю веса под названием «Весы-наблюдатели».

Без дополнительного контекста сложно определить, какое именно значение подразумевается в данном случае. Можете ли вы предоставить больше информации или контекста, чтобы я могла дать более точный перевод?",terryad01,BR3,AA,5,18,1,3,0,0,0,1,1,,1,1,0.0,,,,
1892,"Сообщение на русском языке:

""Здравствуйте! Как Ваши дела?""",oconnja01,CL4,NL,6,22,1,3,0,0,0,0,0,,2,3,0.0,,,,
1992,НЛКС,drabedo01,PIT,NL,3,6,0,0,0,0,0,0,0,0.0,1,4,0.0,0.0,1.0,0.0,0.0
2003,ALDS1,pierzaj01,MIN,AL,4,13,1,3,0,0,1,1,0,0.0,2,0,1.0,0.0,0.0,0.0,1.0
2002,Аलस,koskico01,MIN,AL,5,18,3,5,2,0,0,2,0,0.0,2,8,0.0,0.0,0.0,0.0,0.0
1998,НЛДС1,lopezja01,ATL,NL,2,7,1,2,0,0,1,1,0,0.0,1,1,0.0,0.0,0.0,0.0,0.0
1976,"WS — это аббревиатура, которая может иметь несколько значений в зависимости от контекста:

1. Web Services (Услуги Интернета): WS может означать услуги веб-ориентированных протоколов, таких как SOAP или REST, которые позволяют приложениям обмениваться данными через Интернет.

2. Weather Service (Погода): WS может относиться к метеорологической службе или прогнозу погоды.

3. Work Study (Работа и учеба): WS может означать программу работы и учебы, которая позволяет студентам получать опыт работы в своей области изучения.

4. Water Supply (Водоснабжение): WS может относиться к водоснабжению или системе водоснабжения.

5. Weight Watchers: WS может быть аббревиатурой для организации по контролю веса под названием «Весы-наблюдатели».

Без дополнительного контекста сложно определить, какое именно значение подразумевается в данном случае. Можете ли вы предоставить больше информации или контекста, чтобы я могла дать более точный перевод?",maddoel01,NYA,AL,2,5,0,1,0,1,0,0,0,0.0,1,2,0.0,0.0,0.0,0.0,1.0
1998,НЛДС1,gracema01,CHN,NL,3,12,0,1,0,0,0,1,0,0.0,0,2,0.0,0.0,0.0,0.0,0.0
