yearid,lgid,teamid,franchid,divid,rank,g,ghome,w,l,divwin,wcwin,lgwin,wswin,r,ab,h,2b,3b,hr,bb,so,sb,cs,hbp,sf,ra,er,era,cg,sho,sv,ipouts,ha,hra,bba,soa,e,dp,fp,name,park,attendance,bpf,ppf,teamidbr,teamidlahman45,teamidretro
1895,NL,CL4,CLV,,2,131,,84,46,,,"Yes, I can do that! Please provide the text you would like translated from English to Russian.",,917,4658,1423,194,67,29,472,361.0,187.0,,,,720,497,3,108,6,3,3429,1272,33,346,326,348,,0,Кливленд Спайдерс,Лига Парк I,143000.0,106,104,CLV,CL4,CL4
1924,NL,SLN,STL,,6,154,77.0,65,89,,,"Yes, I can do that! Please provide the text you would like translated from English to Russian.","Yes, I can do that! Please provide the text you would like translated from English to Russian.",740,5349,1552,270,87,67,382,418.0,86.0,86.0,,,750,629,4,79,7,6,4092,1528,70,486,393,191,162.0,0,Сент-Луис Кардиналс,Парк спортсмена IV,272885.0,98,98,STL,SLN,SLN
1992,NL,SLN,STL,E,3,162,81.0,83,79,"Yes, I can do that! Please provide the text you would like translated from English to Russian.",,"Yes, I can do that! Please provide the text you would like translated from English to Russian.","Yes, I can do that! Please provide the text you would like translated from English to Russian.",631,5594,1464,262,44,94,495,996.0,208.0,118.0,,,604,556,3,10,9,47,4440,1405,118,400,842,91,146.0,0,Сент-Луис Кардиналс,Буш-стадиум II,2418483.0,97,97,STL,SLN,SLN
1921,AL,DET,DET,,6,154,77.0,71,82,,,"Yes, I can do that! Please provide the text you would like translated from English to Russian.","Yes, I can do that! Please provide the text you would like translated from English to Russian.",883,5461,1724,268,100,58,582,376.0,95.0,89.0,,,852,678,4,73,4,16,4158,1634,71,495,452,231,107.0,0,Детройт Тайгерс,Навин Файлд,661527.0,99,100,DET,DET,DET
1994,NL,MON,WSN,E,1,114,52.0,74,40,,,,,585,4000,1111,246,30,108,379,669.0,137.0,36.0,,,454,410,3,4,2,46,3108,970,100,288,805,94,90.0,0,Монреаль Экспоз,"Стадион ""Олимпи""",1276250.0,101,101,MON,MON,MON
1954,NL,CHN,CHC,,7,154,77.0,64,90,,,"Yes, I can do that! Please provide the text you would like translated from English to Russian.","Yes, I can do that! Please provide the text you would like translated from English to Russian.",700,5359,1412,229,45,159,478,693.0,46.0,31.0,,,766,689,4,41,6,19,4122,1375,131,619,622,154,164.0,0,Чикаго Кабс,Уридж-фелд,748183.0,101,103,CHC,CHN,CHN
1921,NL,SLN,STL,,3,154,78.0,87,66,,,"Yes, I can do that! Please provide the text you would like translated from English to Russian.","Yes, I can do that! Please provide the text you would like translated from English to Russian.",809,5309,1635,260,88,83,382,452.0,94.0,94.0,,,681,551,3,70,10,16,4113,1486,61,399,464,219,130.0,0,Сент-Луис Кардиналс,Парк спортсмена IV,384773.0,97,96,STL,SLN,SLN
1886,AA,SL4,STL,,1,139,,93,46,,,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.","Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",944,5009,1365,206,85,20,400,425.0,336.0,,,,592,340,2,134,14,2,3687,1087,13,329,583,494,,0,Сент-Луис Браунс,Стадион «Спортсмена Парк» I,,105,100,STL,SL4,SL4
1968,AL,NYA,NYY,,5,164,82.0,83,79,,,"Yes, I can do that! Please provide the text you would like translated from English to Russian.","Yes, I can do that! Please provide the text you would like translated from English to Russian.",536,5310,1137,154,34,109,566,958.0,90.0,50.0,,,531,455,2,45,14,27,4401,1308,99,424,831,139,142.0,0,Нью-Йорк Янкиз,Янки-стадион I,1185666.0,96,96,NYY,NYA,NYA
1928,AL,SLA,BAL,,3,154,77.0,82,72,,,"Yes, I can do that! Please provide the text you would like translated from English to Russian.","Yes, I can do that! Please provide the text you would like translated from English to Russian.",772,5217,1431,276,76,63,548,479.0,76.0,43.0,,,742,637,4,80,6,15,4122,1487,93,454,456,184,146.0,0,Сент-Луис Браунс,Парк спортсмена IV,339497.0,103,104,SLB,SLA,SLA
