schoolid,schoolname,schoolcity,schoolstate,schoolnick
grvalleyst,Грант-Вэлли Стейт Университет,Алландейл,МИ,Лейкерс
macollege,Масачусетский колледж либеральных искусств,Северный Адамс,МЯ,Пионеры
ncstate,Северо-Каролинский государственный университет,Рали,Н/Д,«Вульфпак»
longwoodva,Лонгвудский университет,Фармвилл,ВА,Лансеры
shepherdwv,Колледж Шепард,Шепардстаун,Западная Вирджиния,Рэмсы
abilchrist,Абилене Христианский Университет,Абилин,ТХ,Дикие кошки
utsa,Университет Техаса в Сан-Антонио,Сан-Антонио,ТХ,Прыгуны-киприны
forthays,Форт-Хейз-Стейтский университет,Хейс,КС,Тигры
gonzaga,Гонзага Университет,Спокан,Ва,Бульдоги
indiana,Индианским университетом,Блумингтон,В,Хиосеры
unc,Университет Северной Каролины,Капел-Хилл,Н/Д,Тар-Хилс
idahost,Университет штата Айдахо,Пока́телло,ID,Бенгалы
princeton,Принстонский университет,Принстон,НГ,Тигры
willmary,Колледж Уильяма и Марии,Вильямсбург,ВА,Триб
belmont,Университет Belmont,Нэшвилл,ТН,Бруины
denisonoh,Университет Денисона,Гранвилл,ОХ,Больший Красный
nwestern,Северо-Западный университет,Эванстон,ЕЛ,Дикие кошки
iona,Колледж Иона,Новый Роке́л,НЮ,Гэлы
smethodist,Южный методистский университет,Даллас,ТХ,Мустанги
drexel,Дрексельский университет,Филадельфия,PA,Драконы
stjosephs,Университет Святого Иосифа,Филадельфия,PA,Сысыли
gatech,Институт Джорджии Технологического Института,Атланта,Да,Желтые жакеты
mcneese,Университет штата Макнеса,Озеро Чарльз,Лос-Анджелес,Куклы
haskellks,Университет коренных народов Хаскелла,Лоренс,КС,Индийцы
holycross,Колледж Святого Креста,Уорчестер,МЯ,Крестоносцы
wyoming,Университет Вايоминга,Ларам,В,Куклы
mowestern,Missouri Western Государственный Университет,Святой Иосиф,МО,Грифоны
wilacrosse,Университет Висконсина в Ла-Кроссе,Ла-Кросс,ВИ,Орлы
byu,Университет Бригама Янга,Прово,УТ,Пума
canisius,Канье Колледж,Баффало,НЮ,Грифы
strose,Колледж Святого Розы,Албани,НЮ,Золотые Рыцари
northwood,Северный университет Вудса,Мидленд,МИ,Тимбервулвз
friendsks,Универсиитет Фриндс,Уичита,КС,Сырыи
hawaiihilo,Университет Гавайи на Хило,Хило,Привет!,Вулканы
sonomast,Сонорский государственный университет,Рохнет-Парк,Калифорния,Морские волки
notredame,Университет Нотр-Дам,Южный Бенд,В,Бойцы Ирландии
wvwesleyan,Западно-Вирджинский университетский колледж,Букханнон,Западная Вирджиния,Бобры
georgiast,Грузинский государственный университет,Атланта,Да,Пантеры
lasalle,Университет Ла-С,Филадельфия,PA,Исследователи
emporiast,Университет Эмори,Эмпория,КС,Жук-клещ
stfranpa,Университет Святого Франциска,Лоретто,PA,Красный Флеш
plymouth,Плимутский государственный университет,Плимут,НХ,Пантеры
wlmpennia,Уильям Пенн Университет,Оскалоуза,Я,Государственные деятели
shaw,Шоу Университи,Рали,Н/Д,Медведи
floridaam,Флоридский университет сельского хозяйства и механизации,Таллахасси,ФЛ,Жерцы
sfaustin,Университет имени Стивена Ф. Остина,Начодочес,ТХ,Лумберджэки
yale,Ялинский университет,Нью-Хейвен,КТ,Бульдоги
gaswestern,Горасвилльский государственный университет Джорджии,Америкус,Да,Ураганы
coastcar,Универитет пригорного побережья,Конвей,"К сожалению, я не могу понять ваш запрос. Пожалуйста, уточните, что именно вы хотите перевести?",Клакеры
harvard,Гарвардский университет,Кембридж,МЯ,Кроваво-красный
stfrncisil,Университет Святого Франциска,Джолит,ЕЛ,Борцы за свободу
ccri,Общий колледж Род-Айленда,Уорик,Ри,Ιππόтики
kentucky,Университет Кентукки,Лексингтон,KY,Дикие кошки
newhaven,Университет Нью-Хейвена,Нью-Хейвен,КТ,Чарджеры
georgiasou,Университет Джорджии Саутерн,Стасборо,Да,Орлы
xavier,Университет Ксавьера,Цинциннати,ОХ,Мушкетеры
crdstritch,Университет кардинала Стритча,Милуоки,ВИ,Волки
millikin,Университет Милликена,Декатур,ЕЛ,Большой синий
erskine,Колледж Эрскина,Западный край,"К сожалению, я не могу понять ваш запрос. Пожалуйста, уточните, что именно вы хотите перевести?",Летный флот
auburnmont,Авебронский университет в Монтгомери,Монгомери,АЛ,Сенаторы
ithacany,Итака Колледж,Итака,НЮ,Бомжи
ilcollege,Колледж Иллинойса,Джексонвилл,ЕЛ,Блюбойз
amerintl,Международный колледж Америки,Спрингфилд,МЯ,Желтые жакеты
frankmarsh,Франклин и Маршалл Колледж,Ланкастер,PA,Дипломаты
sutah,Южный Университет Юты,КедроваяГород,УТ,Тандерберды
rhodeisle,Университет Род-Айленда,Кингстон,Ри,Рэмсы
washington,Вашингтонский университет,Сиэтл,Ва,Хаски
valdostast,Валдостский государственный университет,Валдоста,Да,Блузеры
samford,Университет Самфорда,Бирмингем,АЛ,Бульдоги
sandiego,Университет Сан-Диего,Сан-Диего,Калифорния,Тореро
lycomingpa,Лайкомингский колледж,Уильямспорт,PA,Воины
lsu,Луисианский государственный университет,Батон-Руж,Лос-Анджелес,Тигры
seoklahoma,Южно-восточный университет штата Оклахома,В течение,Хорошо.,Дикари
california,Университет Калифорнии,Беркли,Калифорния,Золотые медведи
edinboro,Университет Эдиньборо Пенсильвании,Эдинборо,PA,Борцы из Шотландии
mtstmarys,Колледж и семинария Святого Марии,Эммитсбург,МД,Горные альпинисты
norwichvt,Университет Норрич,Норфолк,ВТ,Кадеты
uncashe,Университет Северной Каролины в Ашвилле,Ашвилл,Н/Д,Бульдоги
njcity,Нью-Джерси Сити Университет,Джерби-Сити,НГ,Готические рыцари
txtech,Университет Техаса в Люборе,Луббок,ТХ,Красные рейдеры
