playerid,awardid,yearid,lgid,tie,notes
felscha01,Baseball Magazine All-Star,1917,AL,,ОФ
vandejo01,Baseball Magazine All-Star,1938,ML,,П3
speaktr01,Baseball Magazine All-Star,1920,ML,,ОФ
whitebi03,TSN All-Star,1964,NL,,1б
clarkja01,TSN All-Star,1978,NL,,ОФ
mussimi01,TSN All-Star,1995,AL,,Правая рука
santajo01,TSN Pitcher of the Year,2004,AL,,
giambja01,Hutch Award,2000,ML,,
cardele01,TSN All-Star,1971,AL,,СС
dickebi01,Baseball Magazine All-Star,1941,AL,,С
murphdw01,TSN All-Star,1981,AL,,ОФ
wilsoea01,TSN All-Star,1967,AL,,"""П"""
mussimi01,Gold Glove,1998,AL,,"""П"""
rosepe01,Hutch Award,1968,ML,,
smithle02,Rolaids Relief Man Award,1991,NL,,
loberha01,Baseball Magazine All-Star,1911,NL,,3В
wyattwh01,Baseball Magazine All-Star,1941,ML,,P2
ramirma02,Silver Slugger,1999,AL,,ОФ
torrejo01,Hutch Award,1971,ML,,
pujolal01,Hank Aaron Award,2003,NL,,
blairpa01,Gold Glove,1967,AL,,ОФ
camermi01,Gold Glove,2001,AL,,ОФ
boonebr01,Gold Glove,2004,AL,,Двое
hudsoti01,Hutch Award,2010,ML,,
frencla01,Baseball Magazine All-Star,1936,NL,,П3
bluegos01,Baseball Magazine All-Star,1927,AL,,3В
gwynnto01,TSN All-Star,1986,NL,,ОФ
hoffmtr01,TSN Fireman of the Year,1996,NL,,
terrybi01,Baseball Magazine All-Star,1932,NL,,1б
portuma01,Silver Slugger,1994,NL,,"""П"""
drabedo01,TSN All-Star,1990,NL,,Правая рука
robinbr01,World Series MVP,1970,ML,,
coopemo01,Baseball Magazine All-Star,1942,NL,,П1
hunteto01,Gold Glove,2003,AL,,ОФ
grohhe01,Baseball Magazine All-Star,1919,ML,,3В
francjo01,TSN Fireman of the Year,1988,NL,,
smithoz01,Gold Glove,1984,NL,,СС
cronijo01,Baseball Magazine All-Star,1939,AL,,СС
valvejo01,TSN Reliever of the Year,2007,NL,,
leonaje01,NLCS MVP,1987,NL,,
newcodo01,TSN All-Star,1956,ML,,"""П"""
glaustr01,Silver Slugger,2001,AL,,3В
burleri01,TSN All-Star,1981,AL,,СС
simmoal01,Baseball Magazine All-Star,1925,AL,,КФ
verlaju01,Rookie of the Year,2006,AL,,
mayswi01,TSN All-Star,1954,ML,,ОФ
evansdw01,Gold Glove,1984,AL,,ОФ
greenha01,Baseball Magazine All-Star,1945,ML,,Добро пожаловать! Чем я могу вам помочь?
wagneho01,Baseball Magazine All-Star,1910,ML,,СС
rosepe01,Most Valuable Player,1973,NL,,
jonesan01,Gold Glove,2003,NL,,ОФ
edmonji01,Gold Glove,1998,AL,,ОФ
youngdm01,Comeback Player of the Year,2007,NL,,
pettiga01,Gold Glove,1985,AL,,ОФ
griffke02,Gold Glove,1990,AL,,ОФ
mcdougi01,Lou Gehrig Memorial Award,1958,ML,,
applilu01,TSN All-Star,1940,ML,,СС
gordojo01,Most Valuable Player,1942,AL,,
dyeje01,Silver Slugger,2006,AL,,ОФ
doerrbo01,Baseball Magazine All-Star,1946,AL,,Двое
johnswa01,Baseball Magazine All-Star,1912,AL,,П1
lyonste01,Baseball Magazine All-Star,1927,AL,,П1
earnsge01,TSN All-Star,1931,ML,,"""П"""
maranra01,Baseball Magazine All-Star,1916,NL,,СС
scottji01,Baseball Magazine All-Star,1915,AL,,P2
ramirha01,Silver Slugger,2009,NL,,СС
scottge02,Gold Glove,1976,AL,,1б
grimebu01,Baseball Magazine All-Star,1921,NL,,П1
glavito02,Silver Slugger,1998,NL,,"""П"""
antonjo02,TSN All-Star,1959,ML,,"""П"""
crespcr01,Baseball Magazine All-Star,1941,NL,,Двое
carltst01,Pitching Triple Crown,1972,NL,,
harreke01,TSN Player of the Year,1968,AL,,
sasakka01,Rookie of the Year,2000,AL,,
whitebi03,Gold Glove,1964,NL,,1б
crawfca02,Gold Glove,2010,AL,,ОФ
dimagjo01,Baseball Magazine All-Star,1937,ML,,КФ
gehrilo01,Baseball Magazine All-Star,1930,AL,,1б
yastrca01,TSN All-Star,1965,AL,,ОФ
griffke02,Gold Glove,1994,AL,,ОФ
mcdowja01,TSN Pitcher of the Year,1993,AL,,
torrejo01,TSN All-Star,1965,NL,,С
grubeke01,Gold Glove,1990,AL,,3В
marshmi01,TSN Fireman of the Year,1973,NL,,
yorkru01,Baseball Magazine All-Star,1943,ML,,1б
randowi01,TSN All-Star,1987,AL,,Двое
donohpe01,Baseball Magazine All-Star,1925,NL,,П3
kinerra01,Baseball Magazine All-Star,1949,NL,,Добро пожаловать! Чем я могу вам помочь?
friscfr01,Baseball Magazine All-Star,1931,ML,,Двое
daubeja01,Most Valuable Player,1913,NL,,
bottoji01,Most Valuable Player,1928,NL,,
spahnwa01,TSN Pitcher of the Year,1957,NL,,
gibsobo01,Gold Glove,1965,NL,,"""П"""
ruthba01,Baseball Magazine All-Star,1931,AL,,РФ
heckegu01,Pitching Triple Crown,1884,AA,,
seaveto01,TSN All-Star,1969,NL,,Правая рука
hunteto01,Branch Rickey Award,2009,ML,,
oneilst01,Baseball Magazine All-Star,1920,AL,,С
koufasa01,TSN All-Star,1966,NL,,"""П"""
boggswa01,Silver Slugger,1993,AL,,3В
jeterde01,Hank Aaron Award,2009,AL,,
roushed01,Baseball Magazine All-Star,1924,ML,,КФ
willite01,Baseball Magazine All-Star,1950,AL,,Добро пожаловать! Чем я могу вам помочь?
eckerde01,TSN Fireman of the Year,1992,AL,,
hafeych01,Baseball Magazine All-Star,1929,NL,,Добро пожаловать! Чем я могу вам помочь?
newhoha01,Pitching Triple Crown,1945,AL,,
reulbed01,Baseball Magazine All-Star,1908,NL,,Пять
versazo01,Most Valuable Player,1965,AL,,
mathech01,Pitching Triple Crown,1908,NL,,
bakerdu01,NLCS MVP,1977,NL,,
fernato01,Gold Glove,1988,AL,,СС
berryke01,Gold Glove,1972,AL,,ОФ
stargwi01,Babe Ruth Award,1979,NL,,1б
williea02,Rookie of the Year,1971,NL,,
mayswi01,TSN All-Star,1959,ML,,ОФ
ramirma02,Hank Aaron Award,2004,AL,,
deandi01,Baseball Magazine All-Star,1934,ML,,П1
evansdw01,TSN All-Star,1984,AL,,ОФ
nealch01,Gold Glove,1959,NL,,Двое
fellebo01,Baseball Magazine All-Star,1940,AL,,П1
griffke02,Comeback Player of the Year,2005,NL,,
oneilst01,Baseball Magazine All-Star,1919,AL,,С
clemero01,Most Valuable Player,1966,NL,,
shantbo01,Gold Glove,1963,NL,,"""П"""
alfonan01,TSN Fireman of the Year,2000,NL,,
floodcu01,TSN All-Star,1968,NL,,ОФ
hendrge01,Silver Slugger,1980,NL,,ОФ
ruthba01,Baseball Magazine All-Star,1926,AL,,ОФ
mcgrifr01,Silver Slugger,1992,NL,,1б
cordech01,Rolaids Relief Man Award,2005,NL,,
rudijo01,TSN All-Star,1976,AL,,ОФ
smithoz01,NLCS MVP,1985,NL,,
hollima01,NLCS MVP,2007,NL,,
jacksjo01,Baseball Magazine All-Star,1912,AL,,ОФ
willibi01,TSN All-Star,1972,NL,,ОФ
riceji01,Most Valuable Player,1978,AL,,
wellsve01,Gold Glove,2004,AL,,ОФ
bakerfr01,Baseball Magazine All-Star,1911,AL,,3В
sandbry01,Silver Slugger,1985,NL,,Двое
whitede03,Gold Glove,1988,AL,,ОФ
jeterde01,TSN All-Star,2007,AL,,СС
whitnpi01,Baseball Magazine All-Star,1937,ML,,3В
jonesra01,TSN All-Star,1975,NL,,ЛГ
mageesh01,Baseball Magazine All-Star,1910,NL,,Добро пожаловать! Чем я могу вам помочь?
camildo01,Baseball Magazine All-Star,1941,NL,,1б
ripkeca01,Silver Slugger,1985,AL,,СС
kaatji01,Gold Glove,1965,AL,,"""П"""
vaughmo01,Silver Slugger,1995,AL,,1б
thomafr04,Silver Slugger,1994,AL,,1б
kinerra01,Baseball Magazine All-Star,1950,NL,,Добро пожаловать! Чем я могу вам помочь?
shantbo01,Most Valuable Player,1952,AL,,
smithoz01,Gold Glove,1981,NL,,СС
murphda05,Lou Gehrig Memorial Award,1985,ML,,
bridgto01,Baseball Magazine All-Star,1936,ML,,П3
lemonbo01,TSN All-Star,1948,ML,,"""П"""
jeterde01,Silver Slugger,2009,AL,,СС
garcida01,Silver Slugger,1982,AL,,Двое
santibe01,Gold Glove,1990,NL,,С
thompda01,Hutch Award,1974,ML,,
pettiga01,Gold Glove,1990,AL,,ОФ
loftoke01,Gold Glove,1994,AL,,ОФ
sewelri01,Baseball Magazine All-Star,1943,ML,,П3
pujolal01,TSN All-Star,2005,NL,,1б
willima04,Silver Slugger,1997,AL,,3В
cobbty01,Baseball Magazine All-Star,1911,AL,,КФ
cochrmi01,Baseball Magazine All-Star,1932,AL,,С
parkeda01,Gold Glove,1978,NL,,ОФ
sosasa01,Silver Slugger,1998,NL,,ОФ
delgaca01,TSN All-Star,2003,AL,,1б
fingero01,Most Valuable Player,1981,AL,,
bakerfr01,Baseball Magazine All-Star,1914,ML,,3В
wheatza01,Baseball Magazine All-Star,1925,ML,,Добро пожаловать! Чем я могу вам помочь?
rodriiv01,Gold Glove,2007,AL,,С
mantlmi01,Most Valuable Player,1962,AL,,
mattido01,Gold Glove,1994,AL,,1б
chandsp01,Baseball Magazine All-Star,1943,AL,,П1
rodriiv01,Silver Slugger,1994,AL,,С
bagweje01,Most Valuable Player,1994,NL,,
willima04,TSN All-Star,1990,NL,,3В
ruthba01,Baseball Magazine All-Star,1928,AL,,ОФ
bonilbo01,TSN All-Star,1991,NL,,ОФ
carltst01,TSN All-Star,1980,NL,,ЛГ
collied01,Baseball Magazine All-Star,1915,ML,,Двое
sullibi03,Baseball Magazine All-Star,1909,AL,,С2
willicy01,Baseball Magazine All-Star,1915,NL,,КФ
gibsobo01,Cy Young Award,1968,NL,,
henderi01,Gold Glove,1981,AL,,ОФ
easleda01,Silver Slugger,1998,AL,,Двое
duganjo01,Baseball Magazine All-Star,1922,ML,,3В
benchjo01,Most Valuable Player,1970,NL,,
rosenal01,TSN All-Star,1953,ML,,3В
salmoti01,TSN All-Star,1997,AL,,ОФ
hernake01,Gold Glove,1984,NL,,1б
yorkru01,Baseball Magazine All-Star,1944,ML,,1б
lidgebr01,Comeback Player of the Year,2008,NL,,
palmeji01,Gold Glove,1976,AL,,"""П"""
rosebjo01,Gold Glove,1961,NL,,С
podrejo01,World Series MVP,1955,ML,,
whitefr01,Gold Glove,1987,AL,,Двое
kingmda01,TSN All-Star,1979,NL,,ОФ
cobbty01,Baseball Magazine All-Star,1913,ML,,ОФ
leonade01,Hutch Award,1986,ML,,
gehrilo01,Baseball Magazine All-Star,1934,ML,,1б
gehrilo01,TSN All-Star,1931,ML,,1б
bondsba01,Silver Slugger,1990,NL,,ОФ
rolensc01,TSN All-Star,2003,NL,,3В
garvest01,Lou Gehrig Memorial Award,1984,ML,,
camparo01,TSN All-Star,1955,ML,,С
vaughar01,Baseball Magazine All-Star,1933,NL,,СС
fregoji01,TSN All-Star,1967,AL,,СС
morgajo02,TSN All-Star,1977,NL,,Двое
bellhe01,TSN Reliever of the Year,2010,NL,,
lajoina01,Baseball Magazine All-Star,1910,ML,,Двое
gomezle01,Baseball Magazine All-Star,1932,ML,,П3
newhoha01,Baseball Magazine All-Star,1944,ML,,П1
foxxji01,TSN All-Star,1938,ML,,1б
willite01,TSN All-Star,1955,ML,,ОФ
rodriiv01,Gold Glove,2000,AL,,С
brettge01,Lou Gehrig Memorial Award,1986,ML,,
gehrich01,Baseball Magazine All-Star,1937,ML,,Двое
molinya01,Gold Glove,2011,NL,,С
sandbry01,TSN All-Star,1991,NL,,Двое
valenfe01,TSN Pitcher of the Year,1981,NL,,
bresnro01,Baseball Magazine All-Star,1908,ML,,С
peterga01,Rookie of the Year,1963,AL,,
greensh01,Silver Slugger,1999,AL,,ОФ
trammal01,TSN All-Star,1988,AL,,СС
cochrmi01,TSN All-Star,1930,ML,,С
hubbeca01,Baseball Magazine All-Star,1936,NL,,П1
lyonste01,Baseball Magazine All-Star,1925,AL,,P2
cochrmi01,Baseball Magazine All-Star,1930,AL,,С
rhoderi01,Silver Slugger,1986,NL,,"""П"""
rolensc01,Gold Glove,2004,NL,,3В
collied01,Baseball Magazine All-Star,1912,AL,,Двое
cobbty01,Baseball Magazine All-Star,1912,AL,,ОФ
freylo01,Baseball Magazine All-Star,1939,NL,,Двое
cutshge01,Baseball Magazine All-Star,1918,NL,,Двое
traynpi01,Baseball Magazine All-Star,1929,NL,,3В
gossari01,TSN Fireman of the Year,1975,AL,,
suzukic01,Most Valuable Player,2001,AL,,
grovele01,Baseball Magazine All-Star,1929,AL,,П1
ripkeca01,TSN All-Star,1983,AL,,СС
lawve01,TSN All-Star,1960,ML,,"""П"""
dimagjo01,Baseball Magazine All-Star,1946,AL,,КФ
hoffmtr01,TSN Fireman of the Year,1998,NL,,
brandja01,Gold Glove,1959,NL,,Добро пожаловать! Чем я могу вам помочь?
sundbji01,Gold Glove,1978,AL,,С
blefacu01,Rookie of the Year,1965,AL,,
bondsba01,TSN All-Star,2001,NL,,ОФ
chandsp01,TSN All-Star,1943,ML,,"""П"""
seweljo01,Baseball Magazine All-Star,1926,AL,,СС
palmeji01,TSN All-Star,1973,AL,,Правая рука
santoro01,Gold Glove,1965,NL,,3В
bondsba01,TSN All-Star,1993,NL,,ОФ
rayjo01,Silver Slugger,1983,NL,,Двое
