franchid,franchname,active,naassoc
KCR,Канзас-Сити Ройалс,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",
CLV,Кливленд Спайдерс,"Yes, I can do that! Please provide the text you would like translated from English to Russian.",
CHP,Чикаго Пэтриотс,"Yes, I can do that! Please provide the text you would like translated from English to Russian.",
WOR,Уорикстер Руби Легс,"Yes, I can do that! Please provide the text you would like translated from English to Russian.",
PWS,Филадельфийские белые чулки,"Да, я могу помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести.",
MLU,Милуоки Брюэрс,"Yes, I can do that! Please provide the text you would like translated from English to Russian.",
BLU,Бальтиморские монументальные скульптуры,"Yes, I can do that! Please provide the text you would like translated from English to Russian.",
BLO,Балтимор Ориолс,"Yes, I can do that! Please provide the text you would like translated from English to Russian.",
ECK,Бруклин Эфферз,"Да, я могу помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести.",
NYU,Нью-Йорк Мутуалы,"Yes, I can do that! Please provide the text you would like translated from English to Russian.",ННА
CHC,Чикаго Кабс,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",КНА
SYR,Сиракузские звёзды,"Yes, I can do that! Please provide the text you would like translated from English to Russian.",
PIT,Питтсбург Пэйрэтс,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",
BWW,Вуду в Бруклине,"Yes, I can do that! Please provide the text you would like translated from English to Russian.",
CLI,Кливленд Инфантс,"Yes, I can do that! Please provide the text you would like translated from English to Russian.",
DTN,Детройт Уайлдхокс,"Yes, I can do that! Please provide the text you would like translated from English to Russian.",
SYS,Сиракузские звёзды,"Yes, I can do that! Please provide the text you would like translated from English to Russian.",
WNL,Вашингтон Нэшнлз,"Yes, I can do that! Please provide the text you would like translated from English to Russian.",
WNA,Вашингтон Нэшнлз,"Yes, I can do that! Please provide the text you would like translated from English to Russian.",
NHV,Новый Хэйвен Эλμ Ситис,"Да, я могу помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести.",
NYP,Нью-Йорк Метростерс,"Yes, I can do that! Please provide the text you would like translated from English to Russian.",
MIL,Милуоки Брюэрс,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",
SLR,Сент-Луис Ред Стокингс,"Да, я могу помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести.",
MLA,Милуоки Брюэрс,"Yes, I can do that! Please provide the text you would like translated from English to Russian.",
NNA,Нью-Йорк Мутуалы,"Да, я могу помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести.",Нью-Йоркский университет
BUF,Баффало Бильс,"Yes, I can do that! Please provide the text you would like translated from English to Russian.",
SLI,Сент-Луис Тьеррерс,"Yes, I can do that! Please provide the text you would like translated from English to Russian.",
KCN,Канзас-Сити Ковбояс,"Yes, I can do that! Please provide the text you would like translated from English to Russian.",
CLE,Кливленд Индианс,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",
ROC,Бронкоса из Рочестера,"Yes, I can do that! Please provide the text you would like translated from English to Russian.",
LGR,Луисвилл Грейс,"Yes, I can do that! Please provide the text you would like translated from English to Russian.",
CHH,Чикаго Вэллифиши,"Yes, I can do that! Please provide the text you would like translated from English to Russian.",
