awardid,yearid,lgid,playerid,pointswon,pointsmax,votesfirst
Cy Young,1982,NL,suttebr01,25,120,2.0
MVP,1954,AL,boonera01,1,336,0.0
MVP,1956,NL,virdobi01,13,336,0.0
MVP,1970,NL,gastoci01,5,336,0.0
MVP,1997,AL,rhodear01,5,392,0.0
MVP,1965,AL,olivato01,174,280,1.0
Rookie of the Year,1982,NL,deleolu01,10,120,0.0
MVP,1979,NL,garvest01,30,336,0.0
MVP,1976,AL,tiantlu01,3,336,0.0
MVP,1938,NL,wanerll01,5,336,0.0
Cy Young,1998,NL,leiteal01,3,160,0.0
Rookie of the Year,1962,AL,treshto01,13,20,13.0
MVP,1962,NL,matheed01,1,280,0.0
MVP,1961,NL,willsma01,36,224,0.0
MVP,1954,AL,mantlmi01,16,336,0.0
MVP,1990,AL,guilloz01,10,392,0.0
MVP,2012,NL,larocad01,86,448,0.0
MVP,1983,NL,madlobi01,45,336,0.0
MVP,1946,NL,walkeha01,9,336,0.0
MVP,1958,AL,runnepe01,29,336,0.0
MVP,1943,NL,walkedi02,5,336,0.0
MVP,1955,AL,kalinal01,201,336,4.0
MVP,1944,AL,richapa01,8,336,0.0
MVP,1991,NL,glavito02,16,336,0.0
MVP,1927,AL,jamiech01,3,64,0.0
MVP,1956,AL,maxwech01,8,336,0.0
MVP,1959,AL,berrayo01,26,336,0.0
MVP,1969,AL,blairpa01,28,336,0.0
MVP,1964,AL,lockdo01,1,280,0.0
MVP,1973,NL,maddoga01,3,336,0.0
Rookie of the Year,1972,NL,milnejo01,1,24,1.0
Rookie of the Year,1978,AL,trammal01,1,28,1.0
MVP,1983,AL,wrighge03,1,392,0.0
MVP,2004,AL,guillca01,2,392,0.0
Rookie of the Year,1986,AL,eichhma01,23,140,0.0
MVP,1949,NL,sisledi01,1,336,0.0
MVP,1933,NL,bergewa01,44,80,
MVP,1958,AL,powervi01,15,336,0.0
MVP,1964,NL,willibi01,6,280,0.0
MVP,2001,AL,thomeji01,107,392,0.0
Rookie of the Year,1977,NL,hendest01,9,24,9.0
MVP,1965,NL,floodcu01,13,280,0.0
MVP,1967,AL,fregoji01,70,280,0.0
MVP,1975,NL,benchjo01,117,336,0.0
MVP,2004,AL,ramirma02,238,392,1.0
MVP,1934,NL,hoytwa01,2,80,0.0
MVP,1962,NL,kaskoed01,1,280,0.0
MVP,1997,AL,griffke02,392,392,28.0
MVP,2005,AL,ortizda01,307,392,11.0
Cy Young,1966,ML,koufasa01,20,20,20.0
MVP,1975,AL,baylodo01,6,336,0.0
Cy Young,1975,NL,jonesra01,80,120,7.0
Rookie of the Year,2000,AL,quinnma01,56,140,4.0
MVP,1925,AL,simmoal01,41,64,
MVP,1922,AL,schalra01,26,64,
MVP,1936,AL,gehrich01,39,80,
MVP,1974,NL,ceyro01,1,336,0.0
MVP,1984,AL,bellbu01,4,392,0.0
MVP,1979,NL,schmimi01,32,336,0.0
MVP,1928,AL,morried02,4,64,0.0
MVP,1945,AL,ferreri01,6,336,0.0
MVP,2008,AL,youklke01,201,392,2.0
MVP,2005,AL,contrjo01,1,392,0.0
Cy Young,1999,AL,mussimi01,54,140,0.0
Cy Young,1987,AL,clemero02,124,140,21.0
MVP,1949,NL,wilkste01,8,336,0.0
MVP,1971,NL,willibi01,10,336,0.0
MVP,1998,AL,ramirma02,127,392,0.0
MVP,1913,NL,brownmo01,1,64,0.0
MVP,2004,NL,rolliji01,1,448,0.0
Cy Young,1972,AL,perryga01,64,120,9.0
MVP,1969,AL,mclaide01,85,336,0.0
MVP,1966,AL,valenfr01,4,280,0.0
Rookie of the Year,2001,NL,pujolal01,160,160,32.0
MVP,2011,NL,reyesjo01,31,448,0.0
MVP,2007,AL,hunteto01,5,392,0.0
MVP,2003,NL,bagweje01,14,448,0.0
Cy Young,1982,NL,carltst01,112,120,20.0
Rookie of the Year,1996,NL,hollato01,105,140,15.0
Rookie of the Year,1991,AL,maynebr01,1,140,0.0
MVP,1985,AL,puckeki01,3,392,0.0
MVP,1932,AL,manushe01,41,80,
MVP,1941,NL,vaughar01,2,336,0.0
MVP,1954,NL,wilheho01,17,336,0.0
Cy Young,1964,ML,jacksla01,2,20,2.0
MVP,1938,AL,cramedo01,1,336,0.0
MVP,1947,NL,caseyhu01,37,336,0.0
MVP,1976,NL,jonesra01,48,336,0.0
MVP,1975,AL,burleri01,28,336,0.0
Cy Young,1995,NL,nomohi01,29,140,0.0
Cy Young,1993,NL,myersra01,1,140,0.0
MVP,1992,NL,maddugr01,14,336,0.0
MVP,2006,AL,wangch01,2,392,0.0
MVP,1981,AL,murphdw01,45,392,0.0
MVP,1991,AL,whitede03,15,392,0.0
MVP,1924,NL,bottoji01,4,80,0.0
MVP,1962,NL,cepedor01,9,280,0.0
MVP,2007,AL,abreubo01,4,392,0.0
MVP,2008,NL,pujolal01,369,448,18.0
Rookie of the Year,1988,NL,jordari02,2,120,0.0
MVP,1942,AL,keltnke01,15,336,0.0
MVP,1973,AL,mayda01,65,336,0.0
Rookie of the Year,1997,NL,womacto01,3,140,0.0
MVP,1938,NL,lopezal01,5,336,0.0
