yearid,round,teamidwinner,lgidwinner,teamidloser,lgidloser,wins,losses,ties
2010,НЛКС,SFN,NL,PHI,NL,4,2,0
1937,"WS — это аббревиатура, которая может иметь несколько значений в зависимости от контекста:

1. Web Services (Услуги Интернета): WS может означать услуги веб-ориентированных протоколов, таких как SOAP или REST, которые позволяют приложениям обмениваться данными через Интернет.

2. Weather Service (Погода): WS может относиться к метеорологической службе или прогнозу погоды.

3. Work Study (Работа и учеба): WS может означать программу работы и учебы, которая позволяет студентам получать опыт работы в своей области изучения.

4. Water Supply (Водоснабжение): WS может относиться к водоснабжению или системе водоснабжения.

5. Weight Watchers: WS может быть аббревиатурой для организации по контролю веса под названием «Весы-наблюдатели».

Без дополнительного контекста сложно определить, какое именно значение подразумевается в данном случае. Можете ли вы предоставить больше информации или контекста, чтобы я могла дать более точный перевод?",NYA,AL,NY1,NL,4,1,0
1983,"WS — это аббревиатура, которая может иметь несколько значений в зависимости от контекста:

1. Web Services (Услуги Интернета): WS может означать услуги веб-ориентированных протоколов, таких как SOAP или REST, которые позволяют приложениям обмениваться данными через Интернет.

2. Weather Service (Погода): WS может относиться к метеорологической службе или прогнозу погоды.

3. Work Study (Работа и учеба): WS может означать программу работы и учебы, которая позволяет студентам получать опыт работы в своей области изучения.

4. Water Supply (Водоснабжение): WS может относиться к водоснабжению или системе водоснабжения.

5. Weight Watchers: WS может быть аббревиатурой для организации по контролю веса под названием «Весы-наблюдатели».

Без дополнительного контекста сложно определить, какое именно значение подразумевается в данном случае. Можете ли вы предоставить больше информации или контекста, чтобы я могла дать более точный перевод?",BAL,AL,PHI,NL,4,1,0
2000,НЛКС,NYN,NL,SLN,NL,4,1,0
1991,Аलस,MIN,AL,TOR,AL,4,1,0
1989,Аलस,OAK,AL,TOR,AL,4,1,0
1981,Аलस,NYA,AL,OAK,AL,3,0,0
2008,ALDS1,BOS,AL,LAA,AL,3,1,0
1998,"WS — это аббревиатура, которая может иметь несколько значений в зависимости от контекста:

1. Web Services (Услуги Интернета): WS может означать услуги веб-ориентированных протоколов, таких как SOAP или REST, которые позволяют приложениям обмениваться данными через Интернет.

2. Weather Service (Погода): WS может относиться к метеорологической службе или прогнозу погоды.

3. Work Study (Работа и учеба): WS может означать программу работы и учебы, которая позволяет студентам получать опыт работы в своей области изучения.

4. Water Supply (Водоснабжение): WS может относиться к водоснабжению или системе водоснабжения.

5. Weight Watchers: WS может быть аббревиатурой для организации по контролю веса под названием «Весы-наблюдатели».

Без дополнительного контекста сложно определить, какое именно значение подразумевается в данном случае. Можете ли вы предоставить больше информации или контекста, чтобы я могла дать более точный перевод?",NYA,AL,SDN,NL,4,0,0
2001,ALDS1,SEA,AL,CLE,AL,3,2,0
2004,Аलस,BOS,AL,NYA,AL,4,3,0
2007,ALDS1,BOS,AL,LAA,AL,3,0,0
1997,НЛДС2,ATL,NL,HOU,NL,3,0,0
1925,"WS — это аббревиатура, которая может иметь несколько значений в зависимости от контекста:

1. Web Services (Услуги Интернета): WS может означать услуги веб-ориентированных протоколов, таких как SOAP или REST, которые позволяют приложениям обмениваться данными через Интернет.

2. Weather Service (Погода): WS может относиться к метеорологической службе или прогнозу погоды.

3. Work Study (Работа и учеба): WS может означать программу работы и учебы, которая позволяет студентам получать опыт работы в своей области изучения.

4. Water Supply (Водоснабжение): WS может относиться к водоснабжению или системе водоснабжения.

5. Weight Watchers: WS может быть аббревиатурой для организации по контролю веса под названием «Весы-наблюдатели».

Без дополнительного контекста сложно определить, какое именно значение подразумевается в данном случае. Можете ли вы предоставить больше информации или контекста, чтобы я могла дать более точный перевод?",PIT,NL,WS1,AL,4,3,0
2000,Аलस,NYA,AL,SEA,AL,4,2,0
2003,ALDS2,BOS,AL,OAK,AL,3,2,0
2005,Аलस,CHA,AL,LAA,AL,4,1,0
1932,"WS — это аббревиатура, которая может иметь несколько значений в зависимости от контекста:

1. Web Services (Услуги Интернета): WS может означать услуги веб-ориентированных протоколов, таких как SOAP или REST, которые позволяют приложениям обмениваться данными через Интернет.

2. Weather Service (Погода): WS может относиться к метеорологической службе или прогнозу погоды.

3. Work Study (Работа и учеба): WS может означать программу работы и учебы, которая позволяет студентам получать опыт работы в своей области изучения.

4. Water Supply (Водоснабжение): WS может относиться к водоснабжению или системе водоснабжения.

5. Weight Watchers: WS может быть аббревиатурой для организации по контролю веса под названием «Весы-наблюдатели».

Без дополнительного контекста сложно определить, какое именно значение подразумевается в данном случае. Можете ли вы предоставить больше информации или контекста, чтобы я могла дать более точный перевод?",NYA,AL,CHN,NL,4,0,0
2005,ALDS1,CHA,AL,BOS,AL,3,0,0
