provider_no,provider_name,street,city,state_prov,mail_code,country,phone_no,issue_dt,expr_dt,region_no,provider_code
24,Prov. Computer, , ,,,,,1999-10-13T10:41:18,2000-10-12T10:41:18,9,
26,Prov. Computer, , ,,,,,1999-10-13T10:41:18,2000-10-12T10:41:18,9,
28,Prov. Computer, , ,,,,,1999-10-13T10:41:18,2000-10-12T10:41:18,9,
33,Prov. Driven Ma, , ,,,,,1999-10-13T10:41:18,2000-10-12T10:41:18,9,
34,Prov. Driven Ne, , ,,,,,1999-10-13T10:41:18,2000-10-12T10:41:18,8,
36,Prov. Driven Pe, , ,,,,,1999-10-13T10:41:18,2000-10-12T10:41:18,9,
38,Prov. Driven Re, , ,,,,,1999-10-13T10:41:18,2000-10-12T10:41:18,8,
39,Prov. Driven Sa, , ,,,,,1999-10-13T10:41:18,2000-10-12T10:41:18,9,
41,Prov. Expert Ke, , ,,,,,1999-10-13T10:41:18,2000-10-12T10:41:18,7,
42,Prov. Expert Li, , ,,,,,1999-10-13T10:41:18,2000-10-12T10:41:18,7,
45,Prov. Expert Op, , ,,,,,1999-10-13T10:41:18,2000-10-12T10:41:18,9,
46,Prov. Expert Pe, , ,,,,,1999-10-13T10:41:18,2000-10-12T10:41:18,7,
48,Prov. Expert Re, , ,,,,,1999-10-13T10:41:18,2000-10-12T10:41:18,7,
49,Prov. Expert Sa, , ,,,,,1999-10-13T10:41:19,2000-10-12T10:41:19,9,
50,Prov. Expert Tr, , ,,,,,1999-10-13T10:41:19,2000-10-12T10:41:19,8,
51,Prov. Famous Ke, , ,,,,,1999-10-13T10:41:19,2000-10-12T10:41:19,6,
55,Prov. Famous Op, , ,,,,,1999-10-13T10:41:19,2000-10-12T10:41:19,5,
57,Prov. Famous Qu, , ,,,,,1999-10-13T10:41:19,2000-10-12T10:41:19,7,
58,Prov. Famous Re, , ,,,,,1999-10-13T10:41:19,2000-10-12T10:41:19,9,
62,Prov. Giant Lig, , ,,,,,1999-10-13T10:41:19,2000-10-12T10:41:19,9,
63,Prov. Giant Mac, , ,,,,,1999-10-13T10:41:19,2000-10-12T10:41:19,6,
64,Prov. Giant Nee, , ,,,,,1999-10-13T10:41:19,2000-10-12T10:41:19,9,
65,Prov. Giant Ope, , ,,,,,1999-10-13T10:41:19,2000-10-12T10:41:19,9,
67,Prov. Giant Que, , ,,,,,1999-10-13T10:41:19,2000-10-12T10:41:19,8,
69,Prov. Giant Sai, , ,,,,,1999-10-13T10:41:19,2000-10-12T10:41:19,9,
70,Prov. Giant Tra, , ,,,,,1999-10-13T10:41:19,2000-10-12T10:41:19,9,
71,Prov. Humble Ke, , ,,,,,1999-10-13T10:41:19,2000-10-12T10:41:19,8,
72,Prov. Humble Li, , ,,,,,1999-10-13T10:41:19,2000-10-12T10:41:19,9,
73,Prov. Humble Ma, , ,,,,,1999-10-13T10:41:19,2000-10-12T10:41:19,9,
75,Prov. Humble Op, , ,,,,,1999-10-13T10:41:19,2000-10-12T10:41:19,9,
76,Prov. Humble Pe, , ,,,,,1999-10-13T10:41:19,2000-10-12T10:41:19,9,
77,Prov. Humble Qu, , ,,,,,1999-10-13T10:41:19,2000-10-12T10:41:19,8,
78,Prov. Humble Re, , ,,,,,1999-10-13T10:41:19,2000-10-12T10:41:19,9,
79,Prov. Humble Sa, , ,,,,,1999-10-13T10:41:19,2000-10-12T10:41:19,8,
80,Prov. Humble Tr, , ,,,,,1999-10-13T10:41:19,2000-10-12T10:41:19,9,
81,Prov. Imperial, , ,,,,,1999-10-13T10:41:19,2000-10-12T10:41:19,5,
