year,lgid,tmid,oppid,w,l,t,otl
1999,NHL,NYI,NJD,2,3,0.0,0
2005,NHL,PHI,DET,0,1,,0
1974,NHL,PHI,CHI,4,1,0.0,
1989,NHL,BUF,MTL,4,3,1.0,
1995,NHL,DET,BUF,1,1,0.0,
2010,NHL,MIN,NYI,0,1,,0
2005,NHL,CHI,ATL,1,0,,0
2007,NHL,NYR,AND,0,1,,0
1999,NHL,CAL,COL,0,6,0.0,0
1979,NHL,NYI,WAS,2,2,0.0,
2003,NHL,CAL,MIN,3,2,1.0,0
1984,NHL,DET,NYI,1,2,0.0,
2000,NHL,NYR,BOS,1,3,0.0,0
1956,NHL,CHI,DET,2,10,2.0,
1985,NHL,HAR,LAK,2,1,0.0,
1993,NHL,WAS,TOR,0,2,0.0,
1998,NHL,OTT,NJD,3,1,0.0,
2005,NHL,BOS,CAL,0,1,,0
2011,NHL,NJD,LAK,2,0,,0
2000,NHL,OTT,BOS,3,1,1.0,0
1961,NHL,TOR,DET,9,3,2.0,
1990,NHL,WAS,HAR,0,3,0.0,
1993,NHL,NJD,PIT,2,1,1.0,
2011,NHL,PHI,WAS,3,1,,0
1989,NHL,WIN,TOR,2,0,1.0,
1992,NHL,PHI,CAL,0,1,2.0,
2010,NHL,CBS,NYR,1,0,,0
2008,NHL,NYR,CHI,2,0,,0
1998,NHL,STL,LAK,3,0,1.0,
1994,NHL,CAL,TOR,1,2,1.0,
1982,NHL,VAN,WIN,4,3,1.0,
1993,NHL,BUF,MTL,4,1,0.0,
1944,NHL,CHI,NYR,3,3,4.0,
1988,NHL,NJD,PHI,2,5,0.0,
1995,NHL,VAN,ANA,3,2,0.0,
1991,NHL,NYR,TOR,0,1,1.0,
2002,NHL,COL,PHO,2,0,2.0,0
1992,NHL,TOR,QUE,0,3,0.0,
2000,NHL,PHO,NAS,1,2,0.0,1
1916,NHA,TOB,QU1,2,1,0.0,
1951,NHL,MTL,TOR,8,5,1.0,
2002,NHL,TBL,ANA,1,0,0.0,0
1963,NHL,BOS,NYR,5,7,2.0,
2011,NHL,TBL,MIN,0,1,,0
2005,NHL,COL,CAL,3,4,,1
2002,NHL,ANA,TOR,0,1,0.0,0
1995,NHL,OTT,CAL,1,1,0.0,
1971,NHL,NYR,TOR,2,2,2.0,
2008,NHL,WAS,NYR,3,0,,1
1982,NHL,VAN,STL,3,0,0.0,
1923,NHL,HAM,TRS,4,4,0.0,
1983,NHL,MTL,PHI,0,2,1.0,
1996,NHL,NJD,DAL,1,1,0.0,
2002,NHL,ANA,BOS,1,0,0.0,0
2003,NHL,ANA,ATL,0,1,0.0,0
2001,NHL,FLO,BOS,0,4,0.0,0
1997,NHL,CAR,SJS,1,1,0.0,
1974,NHL,MTL,BOS,3,0,2.0,
1954,NHL,NYR,BOS,4,5,5.0,
2000,NHL,TBL,PHI,1,2,1.0,0
1991,NHL,VAN,QUE,1,1,1.0,
1992,NHL,LAK,VAN,2,7,0.0,
2010,NHL,VAN,TBL,0,0,,1
1967,NHL,PHI,CHI,1,3,0.0,
1983,NHL,BOS,BUF,4,4,0.0,
1999,NHL,CAL,MTL,0,1,1.0,0
1986,NHL,PIT,CAL,1,2,0.0,
2005,NHL,NJD,NAS,1,0,,0
2003,NHL,BUF,COL,1,0,0.0,0
1974,NHL,PHI,KCS,4,0,1.0,
1985,NHL,TOR,MNS,0,7,1.0,
2003,NHL,NYR,SJS,0,0,1.0,0
1930,NHL,TOR,OTS,4,1,1.0,
1986,NHL,CAL,NJD,2,1,0.0,
1967,NHL,PIT,CHI,1,2,1.0,
2011,NHL,AND,DET,1,2,,1
2005,NHL,COL,TOR,1,0,,0
2006,NHL,MIN,TBL,0,1,,0
2009,NHL,BOS,STL,1,0,,0
1995,NHL,CHI,COL,1,3,0.0,
1994,NHL,OTT,MTL,0,4,0.0,
1984,NHL,STL,TOR,4,3,1.0,
1983,NHL,NJD,WIN,1,2,0.0,
1948,NHL,DET,CHI,9,3,0.0,
2009,NHL,BOS,WAS,1,2,,1
2002,NHL,COL,NAS,2,1,1.0,0
2010,NHL,DET,VAN,2,2,,0
1987,NHL,BOS,VAN,2,1,0.0,
1986,NHL,CHI,PHI,0,2,1.0,
2007,NHL,TOR,NAS,1,0,,0
1978,NHL,VAN,STL,4,1,3.0,
2000,NHL,EDM,BOS,1,0,0.0,0
1929,NHL,TOR,PIP,3,1,0.0,
2001,NHL,STL,VAN,2,1,1.0,0
2002,NHL,OTT,STL,0,0,1.0,0
2010,NHL,ATL,DET,1,0,,0
1999,NHL,MTL,TBL,3,1,0.0,0
2011,NHL,AND,MIN,2,2,,0
2001,NHL,COL,WAS,0,1,0.0,0
1989,NHL,NYR,STL,0,2,1.0,
2000,NHL,TOR,MIN,1,0,0.0,0
1987,NHL,DET,LAK,2,1,0.0,
1915,NHA,MOW,OT1,2,4,0.0,
2003,NHL,ANA,PHI,1,0,0.0,0
1977,NHL,NYI,PIT,2,1,1.0,
2008,NHL,CHI,MIN,1,3,,0
1981,NHL,BUF,WAS,3,0,0.0,
1976,NHL,BOS,CHI,4,0,0.0,
1995,NHL,CAL,CHI,2,0,2.0,
1977,NHL,NYI,LAK,2,0,2.0,
2005,NHL,CHI,NYI,0,0,,1
