year,lgid,tmid,g,w,l,t,gf,ga,pim,benchminor,ppg,ppc,sha,pkg,pkc,shf
1943,NHL,DET,5,1,4,0,8,17,39,,,,,,,
1954,NHL,DET,11,8,3,0,41,26,143,,,,,,,
1926,NHL,NYR,2,0,1,1,1,3,36,,,,,,,
1934,NHL,TOR,7,3,4,0,11,12,61,,,,,,,
1978,NHL,PHI,8,3,5,0,23,37,173,2,6,31,5,8,49,0
1980,NHL,CHI,3,0,3,0,9,15,43,2,1,11,0,3,11,1
1997,NHL,PIT,6,2,4,0,15,18,70,0,4,33,0,5,27,3
1997,NHL,LAK,4,0,4,0,8,16,108,0,1,29,0,8,36,0
1980,NHL,BUF,8,4,4,0,30,30,175,0,10,27,1,5,28,0
1921,PCHA,VML,4,3,1,0,7,2,,,,,,,,
1923,PCHA,VAM,5,2,2,1,11,13,,,,,,,,
1997,NHL,COL,7,3,4,0,16,19,209,0,5,35,0,7,46,1
1979,NHL,HAR,3,0,3,0,8,18,22,0,0,7,0,2,10,1
1925,WCHL,VIC,4,2,0,2,9,6,,,,,,,,
1958,NHL,MTL,11,8,3,0,39,28,133,,,,,,,
2009,NHL,PIT,13,7,6,0,42,38,136,4,15,57,1,12,43,1
1968,NHL,NYR,4,0,4,0,7,16,38,,1,,0,5,,0
1986,NHL,LAK,5,1,4,0,20,32,118,0,5,28,1,8,30,0
1997,NHL,WAS,21,12,9,0,53,44,319,6,14,84,2,15,115,3
1923,NHL,MTL,2,2,0,0,5,2,15,,,,,,,
1992,NHL,NJD,5,1,4,0,13,23,99,0,4,28,1,7,27,1
1985,NHL,BOS,3,0,3,0,6,10,162,4,2,16,1,3,20,1
1997,NHL,PHO,6,2,4,0,18,24,127,0,6,33,0,7,42,2
1992,NHL,WAS,6,2,4,0,22,23,134,2,9,26,1,2,30,1
1999,NHL,STL,7,3,4,0,22,20,114,0,8,39,1,6,35,0
1989,NHL,NJD,6,2,4,0,18,21,225,2,5,31,0,4,29,1
1935,NHL,DET,7,6,1,0,24,12,36,,,,,,,
1977,NHL,BUF,8,3,5,0,22,22,188,0,4,29,0,7,22,0
1943,NHL,CHI,9,4,5,0,25,24,60,,,,,,,
1992,NHL,WIN,6,2,4,0,17,21,85,0,6,23,0,4,29,1
2000,NHL,LAK,13,7,6,0,25,34,146,4,6,50,0,14,63,0
1983,NHL,QUE,9,5,4,0,26,25,344,2,4,35,1,3,43,2
1973,NHL,NYR,13,7,6,0,38,39,245,,7,,1,8,,0
1972,WHA,CLC,9,5,4,0,33,22,,,9,39,0,8,55,1
1987,NHL,BOS,23,12,10,1,85,72,813,6,20,131,,24,125,6
1997,NHL,PHI,5,1,4,0,9,18,90,4,3,36,2,9,31,0
1990,NHL,LAK,12,6,6,0,46,37,306,2,12,53,1,8,56,1
2006,NHL,ATL,4,0,4,0,6,17,115,2,1,17,0,5,24,0
1937,NHL,MTL,3,1,2,0,8,11,24,,,,,,,
1992,NHL,NYI,18,9,9,0,58,65,313,2,8,85,2,15,76,5
1987,NHL,DET,16,9,7,0,69,57,550,0,21,80,,20,104,3
2005,NHL,CAR,25,16,9,0,73,60,319,8,31,129,2,20,137,2
1922,NHL,OTS,2,1,1,0,3,2,8,,,,,,,
1935,NHL,BOS,2,1,1,0,6,8,28,,,,,,,
1982,NHL,STL,4,1,3,0,10,16,116,0,5,22,0,3,23,0
2002,NHL,NYI,5,1,4,0,7,13,108,0,3,31,0,4,30,0
1948,NHL,DET,11,4,7,0,22,26,164,,,,,,,
1984,NHL,DET,3,0,3,0,8,23,101,0,2,16,0,7,16,0
1990,NHL,HAR,6,2,4,0,17,24,192,0,6,23,0,10,36,1
1937,NHL,TOR,7,4,3,0,14,13,59,,,,,,,
1995,NHL,MTL,6,2,4,0,17,19,72,2,3,31,1,8,31,2
1918,NHL,MTL,5,4,1,0,26,18,87,,,,,,,
1990,NHL,MNS,23,14,9,0,81,75,674,4,35,152,3,24,136,4
1979,NHL,BOS,10,4,6,0,35,33,346,0,6,37,1,8,33,2
1995,NHL,BOS,5,1,4,0,16,22,147,0,7,27,0,5,30,2
2006,NHL,NJD,11,5,6,0,30,29,126,4,10,50,2,8,46,0
2009,NHL,BOS,13,7,6,0,36,37,175,4,11,45,0,5,50,0
1997,NHL,OTT,11,5,6,0,20,30,135,2,8,51,4,7,39,1
2010,NHL,MTL,7,3,4,0,17,17,54,4,6,27,0,0,21,1
2006,NHL,MIN,5,1,4,0,9,12,79,0,2,27,1,5,19,1
1929,NHL,MTL,6,5,0,1,14,6,100,,,,,,,
1940,NHL,BOS,11,8,3,0,27,23,81,,,,,,,
