year,round,series,tmidwinner,lgidwinner,tmidloser,lgidloser,w,l,t,goalswinner,goalsloser,note
1944,SF,B,DET,NHL,BOS,NHL,4,3,0,22,22,
2006,CF,M,OTT,NHL,BUF,NHL,4,1,0,15,10,
1980,Pre,C,EDM,NHL,MTL,NHL,3,0,0,15,6,
1948,SCF,C,TOR,NHL,DET,NHL,4,0,0,12,5,
2003,CQF,D,TOR,NHL,OTT,NHL,4,3,0,14,11,
1971,SF,F,NYR,NHL,CHI,NHL,4,0,0,17,9,
1950,SCF,C,TOR,NHL,MTL,NHL,4,1,0,13,10,
1986,DSF,A,QUE,NHL,HAR,NHL,4,2,0,27,19,
2008,SCF,O,PIT,NHL,DET,NHL,4,3,0,14,17,
1976,SF,J,BOS,NHL,PHI,NHL,4,0,0,14,8,
1912,SCF,,VA1,PCHA,QU1,NHA,2,1,0,16,12,EX
1978,SCF,K,MTL,NHL,NYR,NHL,4,1,0,19,11,
1918,F,,SEA,PCHA,VML,PCHA,1,1,0,7,5,TG
1971,QF,B,NYR,NHL,MTL,NHL,4,2,0,19,14,
1980,Pre,F,PHI,NHL,QUE,NHL,3,2,0,22,17,
2010,CQF,F,SJS,NHL,LAK,NHL,4,2,0,20,20,
1930,QF,C,NYR,NHL,MTM,NHL,2,0,0,8,1,TG
1999,CQF,C,TOR,NHL,OTT,NHL,4,2,0,17,10,
1993,CQF,A,NYR,NHL,NYI,NHL,4,0,0,22,3,
2006,CQF,C,NYR,NHL,ATL,NHL,4,0,0,17,6,
1956,SF,B,MTL,NHL,NYR,NHL,4,1,0,22,12,
1983,DSF,B,QUE,NHL,BUF,NHL,3,0,0,13,5,
1914,F,,OT1,NHA,MOW,NHA,1,1,0,4,1,TG
2010,CSF,K,VAN,NHL,NAS,NHL,4,2,0,14,11,
1968,SF,F,STL,NHL,LAK,NHL,4,0,0,16,5,
1933,QF,C,MTM,NHL,NYR,NHL,1,0,1,2,1,TG
1991,DF,J,PIT,NHL,NYR,NHL,4,2,0,24,19,
1991,DF,L,EDM,NHL,VAN,NHL,4,2,0,18,15,
2010,CQF,C,BOS,NHL,MTL,NHL,4,3,0,17,17,
1993,CSF,L,VAN,NHL,DAL,NHL,4,1,0,18,11,
1992,DSF,A,BUF,NHL,BOS,NHL,4,0,0,19,12,
1922,SCF,,OTS,NHL,EDE,WCHL,2,0,0,3,1,
1987,DSF,D,WAS,NHL,PHI,NHL,4,3,0,31,25,
1940,QF,C,CHI,NHL,MTL,NHL,2,1,0,8,7,
1981,DSF,G,LAK,NHL,EDM,NHL,3,2,0,27,23,
1978,ACF,,WIJ,WHA,EDO,WHA,4,2,0,21,26,
2001,CSF,I,CAR,NHL,MTL,NHL,4,2,0,21,12,
1998,CQF,D,TOR,NHL,PHI,NHL,4,2,0,9,11,
1982,SCF,O,NYI,NHL,EDM,NHL,4,0,0,17,6,
2001,SCF,O,DET,NHL,CAR,NHL,4,1,0,14,7,
1969,QF,D,PIT,NHL,OAK,NHL,4,0,0,13,6,
1997,SCF,O,DET,NHL,WAS,NHL,4,0,0,13,7,
1981,DSF,A,QUE,NHL,MTL,NHL,3,2,0,11,16,
1921,SF,,REG,WCHL,CAT,WCHL,1,0,1,2,1,TG
2000,CQF,H,STL,NHL,SJS,NHL,4,2,0,16,11,
1977,QF,,WIJ,WHA,BIR,WHA,4,1,0,29,12,
1983,DF,J,NYI,NHL,WAS,NHL,4,1,0,20,13,
1972,SF,E,MTL,NHL,PHI,NHL,4,1,0,19,13,
2000,CF,N,COL,NHL,STL,NHL,4,1,0,17,11,
1921,F,,TRS,NHL,OTS,NHL,1,0,1,5,4,TG
1984,DSF,G,EDM,NHL,LAK,NHL,3,0,0,11,7,
1942,SF,B,BOS,NHL,MTL,NHL,4,1,0,18,17,
1918,F,,MTL,NHL,OTS,NHL,4,1,0,26,18,
1937,SF,A,TOR,NHL,BOS,NHL,3,0,0,6,3,
1976,SF,I,MTL,NHL,NYI,NHL,4,2,0,19,13,
1938,QF,C,DET,NHL,MTL,NHL,2,1,0,8,5,
