corp_no,corp_name,street,city,state_prov,country,mail_code,phone_no,expr_dt,region_no,corp_code
37,Corp. Driven QuestsInc., , ,,,,,2004-10-12T10:41:26,1,
168,Corp. Giant RestaurantsCo., , ,,,,,2004-10-12T10:41:26,7,
195,Corp. Just OperaCo., , ,,,,,2004-10-12T10:41:26,3,
207,Corp. Apex QuestsCorp., , ,,,,,2004-10-12T10:41:26,3,
264,Corp. Giant NeedleworkCorp., , ,,,,,2004-10-12T10:41:26,7,
278,Corp. Humble RestaurantsCorp., , ,,,,,2004-10-12T10:41:26,1,
366,Corp. Giant PetroleumLtd., , ,,,,,2004-10-12T10:41:26,8,
441,Corp. Expert Key StonesAg., , ,,,,,2004-10-12T10:41:26,8,
462,Corp. Giant LightingAg., , ,,,,,2004-10-12T10:41:26,7,
486,Corp. Imperial PetroleumAg., , ,,,,,2004-10-12T10:41:26,5,
488,Corp. Imperial RestaurantsAg., , ,,,,,2004-10-12T10:41:26,2,
183,Corp. Imperial MachineryCo., , ,,,,,2004-10-12T10:41:26,7,
295,Corp. Just OperaCorp., , ,,,,,2004-10-12T10:41:26,6,
342,Corp. Expert LightingLtd., , ,,,,,2004-10-12T10:41:26,5,
387,Corp. Imperial QuestsLtd., , ,,,,,2004-10-12T10:41:26,8,
453,Corp. Famous MachineryAg., , ,,,,,2004-10-12T10:41:26,8,
496,Corp. Just PetroleumAg., , ,,,,,2004-10-12T10:41:26,3,
58,Corp. Famous RestaurantsInc., , ,,,,,2004-10-12T10:41:26,3,
150,Corp. Expert TransitCo., , ,,,,,2004-10-12T10:41:26,3,
213,Corp. Boston MachineryCorp., , ,,,,,2004-10-12T10:41:26,4,
270,Corp. Giant TransitCorp., , ,,,,,2004-10-12T10:41:26,3,
301,Corp. Apex Key StonesLtd., , ,,,,,2004-10-12T10:41:26,5,
347,Corp. Expert QuestsLtd., , ,,,,,2004-10-12T10:41:26,1,
410,Corp. Apex TransitAg., , ,,,,,2004-10-12T10:41:26,3,
417,Corp. Boston QuestsAg., , ,,,,,2004-10-12T10:41:26,6,
440,Corp. Driven TransitAg., , ,,,,,2004-10-12T10:41:26,4,
451,Corp. Famous Key StonesAg., , ,,,,,2004-10-12T10:41:26,2,
459,Corp. Famous Sail MakersAg., , ,,,,,2004-10-12T10:41:26,2,
46,Corp. Expert PetroleumInc., , ,,,,,2004-10-12T10:41:26,8,
388,Corp. Imperial RestaurantsLtd., , ,,,,,2004-10-12T10:41:26,5,
244,Corp. Expert NeedleworkCorp., , ,,,,,2004-10-12T10:41:26,1,
477,Corp. Humble QuestsAg., , ,,,,,2004-10-12T10:41:26,5,
482,Corp. Imperial LightingAg., , ,,,,,2004-10-12T10:41:26,1,
332,Corp. Driven LightingLtd., , ,,,,,2004-10-12T10:41:26,7,
71,Corp. Humble Key StonesInc., , ,,,,,2004-10-12T10:41:26,4,
287,Corp. Imperial QuestsCorp., , ,,,,,2004-10-12T10:41:26,1,
137,Corp. Driven QuestsCo., , ,,,,,2004-10-12T10:41:26,5,
290,Corp. Imperial TransitCorp., , ,,,,,2004-10-12T10:41:26,1,
154,Corp. Famous NeedleworkCo., , ,,,,,2004-10-12T10:41:26,5,
378,Corp. Humble RestaurantsLtd., , ,,,,,2004-10-12T10:41:26,2,
86,Corp. Imperial PetroleumInc., , ,,,,,2004-10-12T10:41:26,2,
454,Corp. Famous NeedleworkAg., , ,,,,,2004-10-12T10:41:26,5,
230,Corp. Computer TransitCorp., , ,,,,,2004-10-12T10:41:26,3,
432,Corp. Driven LightingAg., , ,,,,,2004-10-12T10:41:26,1,
21,Corp. Computer Key StonesInc., , ,,,,,2004-10-12T10:41:26,6,
115,Corp. Boston OperaCo., , ,,,,,2004-10-12T10:41:26,7,
480,Corp. Humble TransitAg., , ,,,,,2004-10-12T10:41:26,1,
425,Corp. Computer OperaAg., , ,,,,,2004-10-12T10:41:26,1,
406,Corp. Apex PetroleumAg., , ,,,,,2004-10-12T10:41:26,8,
65,Corp. Giant OperaInc., , ,,,,,2004-10-12T10:41:26,8,
433,Corp. Driven MachineryAg., , ,,,,,2004-10-12T10:41:26,4,
78,Corp. Humble RestaurantsInc., , ,,,,,2004-10-12T10:41:26,8,
142,Corp. Expert LightingCo., , ,,,,,2004-10-12T10:41:26,2,
164,Corp. Giant NeedleworkCo., , ,,,,,2004-10-12T10:41:26,8,
233,Corp. Driven MachineryCorp., , ,,,,,2004-10-12T10:41:26,2,
66,Corp. Giant PetroleumInc., , ,,,,,2004-10-12T10:41:26,8,
126,Corp. Computer PetroleumCo., , ,,,,,2004-10-12T10:41:26,6,
201,Corp. Apex Key StonesCorp., , ,,,,,2004-10-12T10:41:26,7,
232,Corp. Driven LightingCorp., , ,,,,,2004-10-12T10:41:26,8,
429,Corp. Computer Sail MakersAg., , ,,,,,2004-10-12T10:41:26,1,
166,Corp. Giant PetroleumCo., , ,,,,,2004-10-12T10:41:26,7,
475,Corp. Humble OperaAg., , ,,,,,2004-10-12T10:41:26,4,
234,Corp. Driven NeedleworkCorp., , ,,,,,2004-10-12T10:41:26,7,
169,Corp. Giant Sail MakersCo., , ,,,,,2004-10-12T10:41:26,4,
11,Corp. Boston Key StonesInc., , ,,,,,2004-10-12T10:41:26,5,
334,Corp. Driven NeedleworkLtd., , ,,,,,2004-10-12T10:41:26,5,
13,Corp. Boston MachineryInc., , ,,,,,2004-10-12T10:41:26,5,
396,Corp. Just PetroleumLtd., , ,,,,,2004-10-12T10:41:26,3,
50,Corp. Expert TransitInc., , ,,,,,2004-10-12T10:41:26,6,
96,Corp. Just PetroleumInc., , ,,,,,2004-10-12T10:41:26,2,
360,Corp. Famous TransitLtd., , ,,,,,2004-10-12T10:41:26,8,
191,Corp. Just Key StonesCo., , ,,,,,2004-10-12T10:41:26,2,
478,Corp. Humble RestaurantsAg., , ,,,,,2004-10-12T10:41:26,7,
416,Corp. Boston PetroleumAg., , ,,,,,2004-10-12T10:41:26,7,
206,Corp. Apex PetroleumCorp., , ,,,,,2004-10-12T10:41:26,6,
492,Corp. Just LightingAg., , ,,,,,2004-10-12T10:41:26,3,
372,Corp. Humble LightingLtd., , ,,,,,2004-10-12T10:41:26,4,
