orderid,customerid,employeeid,orderdate,requireddate,shippeddate,shipvia,freight,shipname,shipaddress,shipcity,shipregion,shippostalcode,shipcountry
10250,HANAR,4,1996-07-08 00:00:00,1996-08-05 00:00:00,1996-07-12 00:00:00,2,65.83,Ханари Карнес,"Улица Хлеба, 67",Рио-де-Жанейро,РЖ,05454-876,Бразилия
10322,PERIC,7,1996-10-04 00:00:00,1996-11-01T00:00:00,1996-10-23 00:00:00,3,0.4,Периклес Классические блюда,"улица доктора Хорхе Каша, 321",Мексико ДФ,,5033,Мексика
10395,HILAA,6,1996-12-26 00:00:00,1997-01-23 00:00:00,1997-01-03 00:00:00,1,184.41,Хиларион-Абастос,Каррера 22 кон Аве. Карлос Соублете #8-35,Сан-Кристобаль,Чира,5022,Венесуэла
10401,RATTC,1,1997-01-01 00:00:00,1997-01-29 00:00:00,1997-01-10 00:00:00,1,12.51,Ратсаснэл-канион Гроузи,2817 Мильтон-драйв.,Альбукерке,НМ,87110,США
10452,SAVEA,8,1997-02-20 00:00:00,1997-03-20 00:00:00,1997-02-26 00:00:00,1,140.26,Рынки Сави Лот,187Suffolk Лн.,Боис,ИД,83720,США
10469,WHITC,1,1997-03-10 00:00:00,1997-04-07 00:00:00,14.03.1997 г. 00:00:00,1,60.18,Белый Клюв Маркетс,1029 - 12-я авеню ЮЗ,Сиэтл,ВА,98124,США
10482,LAZYK,1,1997-03-21 00:00:00,18.04.1997 г.,1997-04-10 00:00:00,3,7.48,Лениный К Краарто Стёр,12 Оркестровая аллея,Вала-Вала,ВА,99362,США
10537,RICSU,1,1997-05-14 00:00:00,1997-05-28 00:00:00,1997-05-19 00:00:00,1,78.85,Ричтер Супермаркет,Старенвег 5,Женева,,1204,Швейцария
10545,LAZYK,8,1997-05-22 00:00:00,1997-06-19 00:00:00,1997-06-26 00:00:00,2,11.92,Лениный К Краарто Стёр,12 Оркестровая аллея,Вала-Вала,ВА,99362,США
10574,TRAIH,4,1997-06-19 00:00:00,1997-07-17 00:00:00,1997-06-30 00:00:00,2,37.6,Поставщики деликатесов Трейл-Хед,722 Да Винчи-бульвар,Киркленд,ВА,98034,США
10579,LETSS,1,1997-06-25 00:00:00,1997-07-23 00:00:00,1997-07-04 00:00:00,2,13.73,Позвольте остановиться на Н магазине,"87 Полк-стрит, офис 5",Сан-Франциско,Калифорния,94117,США
10589,GREAL,8,1997-07-04 00:00:00,1997-08-01 00:00:00,14.07.1997 г.,2,4.42,"Рынок продуктов "" Великие озера""",Буллвин. Бейкер 2732,Евгений,О'Р,97403,США
10596,WHITC,8,1997-07-11 00:00:00,1997-08-08 00:00:00,12 августа 1997 г.,1,16.34,Белый Клюв Маркетс,1029 - 12-я авеню ЮЗ,Сиэтл,ВА,98124,США
10598,RATTC,1,14.07.1997 г.,1997-08-11 00:00:00,1997-07-18 00:00:00,3,44.42,Ратсаснэл-канион Гроузи,2817 Мильтон-драйв.,Альбукерке,НМ,87110,США
10603,SAVEA,8,1997-07-18 00:00:00,1997-08-15 00:00:00,1997-08-08 00:00:00,2,48.77,Рынки Сави Лот,187Suffolk Лн.,Боис,ИД,83720,США
10611,WOLZA,6,1997-07-25 00:00:00,1997-08-22 00:00:00,1997-08-01 00:00:00,2,80.65,Волский Заказ,"ул. Фильтровая, 68",Варшава,,01-012,Польша
10612,SAVEA,1,1997-07-28 00:00:00,1997-08-25 00:00:00,1997-08-01 00:00:00,2,544.08,Рынки Сави Лот,187Suffolk Лн.,Боис,ИД,83720,США
10616,GREAL,1,31.07.1997 г. 00:00,1997-08-28 00:00:00,1997-08-05 00:00:00,2,116.53,"Рынок продуктов "" Великие озера""",Буллвин. Бейкер 2732,Евгений,О'Р,97403,США
10627,SAVEA,8,1997-08-11 00:00:00,1997-09-22 00:00:00,1997-08-21 00:00:00,3,107.46,Рынки Сави Лот,187Suffolk Лн.,Боис,ИД,83720,США
10645,HANAR,4,1997-08-26 00:00:00,1997-09-23 00:00:00,1997-09-02 00:00:00,1,12.41,Ханари Карнес,"Улица Хлеба, 67",Рио-де-Жанейро,РЖ,05454-876,Бразилия
10660,HUNGC,8,1997-09-08 00:00:00,1997-10-06 00:00:00,1997-10-15 00:00:00,1,111.29,Жадный койот Импорт Магазин,"City Center Plaza, 516 Main St.",Эльгин,О'Р,97827,США
10665,LONEP,1,11.09.1997 г.,1997-10-09 00:00:00,1997-09-17 00:00:00,2,26.31,Ресторан Лонли-Пайн,89 Чиароскуро Роуд.,Портленд,О'Р,97219,США
10680,OLDWO,1,1997-09-24 00:00:00,1997-10-22 00:00:00,1997-09-26 00:00:00,1,26.61,Старинный мир деликатесов,2743 Беринг ст.,Анкоридж,АК,99508,США
10693,WHITC,3,1997-10-06 00:00:00,1997-10-20 00:00:00,1997-10-10 00:00:00,3,139.34,Белый Клюв Маркетс,1029 - 12-я авеню ЮЗ,Сиэтл,ВА,98124,США
10696,WHITC,8,1997-10-08 00:00:00,1997-11-19 00:00:00,1997-10-14 00:00:00,3,102.55,Белый Клюв Маркетс,1029 - 12-я авеню ЮЗ,Сиэтл,ВА,98124,США
10706,OLDWO,8,1997-10-16 00:00:00,1997-11-13 00:00:00,1997-10-21 00:00:00,3,135.63,Старинный мир деликатесов,2743 Беринг ст.,Анкоридж,АК,99508,США
10713,SAVEA,1,1997-10-22 00:00:00,1997-11-19 00:00:00,1997-10-24 00:00:00,1,167.05,Рынки Сави Лот,187Suffolk Лн.,Боис,ИД,83720,США
10719,LETSS,8,1997-10-27 00:00:00,1997-11-24 00:00:00,1997-11-05 00:00:00,2,51.44,Позвольте остановиться на Н магазине,"87 Полк-стрит, офис 5",Сан-Франциско,Калифорния,94117,США
10722,SAVEA,8,1997-10-29 00:00:00,1997-12-10 00:00:00,1997-11-04 00:00:00,1,74.58,Рынки Сави Лот,187Suffolk Лн.,Боис,ИД,83720,США
10736,HUNGO,9,1997-11-11 00:00:00,1997-12-09 00:00:00,1997-11-21 00:00:00,2,44.1,Голодный сова круглосуточные магазины,8 Jalan Johnston,Корд,Корк,,Ирландия
10752,NORTS,2,1997-11-24 00:00:00,1997-12-22 00:00:00,1997-11-28 00:00:00,3,1.39,Север/Юг,"Южный дом, 300 Квинсбридж",Лондон,,SW7-1RZ,Великобритания
10756,SPLIR,8,1997-11-27 00:00:00,1997-12-25 00:00:00,1997-12-02 00:00:00,2,73.21,Сливовое пиво Сплит-Рейл,П.О. ящик 555,Ландер,ВY,82520,США
10774,FOLKO,4,1997-12-11 00:00:00,1997-12-25 00:00:00,1997-12-12 00:00:00,1,48.2,Народ и фейри,Кергатан 24,Брэке,,С-844/67,Швеция
10791,FRANK,6,1997-12-23 00:00:00,1998-01-20 00:00:00,1998-01-01 00:00:00,2,16.85,Франкенверсанд,Берлинская площадь 43,Мюнхен,,80805,Германия
10859,FRANK,1,1998-01-29 00:00:00,1998-02-26 00:00:00,1998-02-02 00:00:00,2,76.1,Франкенверсанд,Берлинская площадь 43,Мюнхен,,80805,Германия
10863,HILAA,4,1998-02-02 00:00:00,1998-03-02 00:00:00,1998-02-17 00:00:00,2,30.26,Хиларион-Абастос,Каррера 22 кон Аве. Карлос Соублете #8-35,Сан-Кристобаль,Чира,5022,Венесуэла
10913,QUEEN,4,1998-02-26 00:00:00,1998-03-26 00:00:00,1998-03-04 00:00:00,1,33.05,Королева Кухня,"Алмеда дос Канриос, 891",Сан-Паулу,SP,05487-020,Бразилия
10954,LINOD,5,1998-03-17 00:00:00,1998-04-28 00:00:00,1998-03-20 00:00:00,1,27.91,Лино-Деликатесы,"Пятница, 5 мая, Пуэрто-Морелос",De Маргарита,Новая Спарта,4980,Венесуэла
11025,WARTH,6,1998-04-15 00:00:00,13.05.1998 г. 00:00:00,1998-04-24,3,29.17,Вариан Герку,"Торикату, 38",Улу,,90110,Финляндия
11028,KOENE,2,1998-04-16 00:00:00,1998-05-14 00:00:00,1998-04-22 00:00:00,1,29.59,Книлья Эссен,Маубельстр. 90,Бранденбург,,14776,Германия
11060,FRANS,2,1998-04-30 00:00:00,1998-05-28 00:00:00,1998-05-04 00:00:00,2,10.98,Франчи С.п.А.,"Вия Монте Бяке, 34",Турин,,10100,Италия
