supplierid,companyname,contactname,contacttitle,address,city,region,postalcode,country,phone,fax,homepage
1,Экзотические жидкости,Шарлотта Купер,Менеджер по закупкам,49 Гилберт-стрит.,Лондон,,ЭК-1 4СД,Великобритания,(171) 555-2222,,
2,Кайунские деликатесы,Шелли Берк,Администратор заказа,П.О. hộp 78934,Новый Орлеан,Лос-Анджелес,70117,США,(100) 555-4822,,#CAJUN.HTML#
3,Дом надоедливой бабушки Келли,Регина Мюрфи,Продажи Представитель,707 Оксфорд-роуд.,Анна-Арбор,МИ,48104,США,(313) 555-5735,(313) 555-3349,
4,Токийские трейдеры,Йоси Нагасе,Менеджер по маркетингу,"9-8 Сэкимай
Мусасино-си",Токио,,100,Япония,(03) 3555-5011,,
5,"Кооператив сыров ""Лас Кабрас""",Антонио дель Вале Сакариас,Экспорт-администратор,"улица Калле-дель-Росал, 4",Иовио,Астурия,33007,Испания,(98) 598-76-54,,
6,Майуми,Майуми Оно,Маркетинг-представитель,"92 Сецуко
Чёду-ку",Осака,,545,Япония,(06) 431-7877,,Майуми (на Всемирной паутине)#http://www.microsoft.com/accessdev/sampleapps/mayumi.htm#
7,"Павлова, ОOOO",Иан Девлинг,Менеджер по маркетингу,"74 ул. Розы
Муни-Пондс",Мельбурн,Виктория,3058,Австралия,(03) 444-2343,(03) 444-6588,
8,"Специализированные булки, Лимитед",Питер Уилсон,Продажи Представитель,29 Король-пути,Манчестер,,М14 ГСД,Великобритания,(161) 555-4448,,
9,ПБ Конекберд АБ,Ларс Петерссон,Продавец,"Калоадагатан, 13",Гётеборг,,С-345/67,Швеция,031-987 65 43,031-987 65 91,
10,Рефрескос Американаса ЛТД,Карлос Диас,Менеджер по маркетингу,"Авеню Америки, 12 890",Сан-Паулу,,5442,Бразилия,(11) 555-4640,,
11,Хели Сварен ГмбХ & Ко. КГ,Петра Винкер,Менеджер по продажам,"Тиргартенштрассе, 5",Берлин,,10785,Германия,(010) 998-45-10,,
12,Плюстер Продукты ГМБХ,Мартин Бейн,Международный менеджер по маркетингу,Богеналlee 51,Франкфурт,,60439,Германия,(069) 992-755,,Плутцер (на Всемирной паутине)#http://www.microsoft.com/accessdev/sampleapps/plutzer.htm#
13,"Торговое общество ""Норд-Ост-Фиш""",Свен Петерсен,Координатор внешних рынков,Фрахмереддер 112а,Куксгавен,,27478,Германия,(04721) 87-13,(047-21) 87-14,
14,Сырная компания Фордини,Элио Росси,Продажи Представитель,"Виале Данте, 75",Равенна,,48100,Италия,(0544) 603-23,(0544) 60-60-33,#Формагги.ХТМ#
15,Норские Мейериер,Беат Вайлайд,Менеджер по маркетингу,Хатлевеген 5,Сандвика,,1320,Норвегия,(0)2-953-01-00,,
16,Бигфут Брейкери,Чэрл Сэйлор,Региональный Аккаунт-Репрезентант,"Аллея Третьей Авеню, 3400
Квартира 210",Кружка,О'Р,97101,США,(503) 555-9931,,
17,Swedish Seafood AB,Майкл Бьёрн,Продажи Представитель,Броваллавген 231,Стокгольм,,S-123/45,Швеция,08-123 45 67,,
18,Счастливого церковного праздника,Гайлен Нодье,Менеджер по продажам,"Улица Фризов, 203",Париж,,75004,Франция,(1) 03.83.00.68,(1) 03.83.00.62,
19,Морепродукты Новой Англии консервные,Робб Мерчант,Дистрибьюторный агент счетов,"Отдел обработки заказов
2100 بول Ревир Блюв.",Бостон,МА,02134,США,(617) 555-3267,(617) 555-3389,
20,Лека Трейдинг,Чандра Лека,Владелец,"471 Сераконн Луп, № #402",Сингапур,,0512,Сингапур,555-8787,,
21,Лёнгбюсе́льд,Нильс Петерсен,Менеджер по продажам,"Лингби-Сильд
Фискебаккен 10",Лингби,,2800,Дания,43844108,43844115,
22,Зaanse Сноепфабрик,Дирк Люхт,Бухгалтерский менеджер,"Продажа
Райнвей, 22",Заандам,,9999 ЗЗ,Нидерланды,(12345) 12-12,(12345) 1210 Подумайте,
23,Каркки Оϋ,Анна Хейконен,Продукт-менеджер,Валлатакату 12,Лаппеенранта,,53120,Финляндия,(953) 109-56-65,,
24,"Здравствуйте, Мат",Венди МакКензи,Продажи Представитель,"170 Принц-Эдвард Парад
Хантерс Хилл",Сидней,Новый Южный Уэльс,2042,Австралия,(02) 555-5914,(02) 555-4873,"Здравствуй, Матэ (на Всемирной паутине)#http://www.microsoft.com/accessdev/sampleapps/gdaymate.htm#"
25,Моя домика,Жан-Гийом Лузон,Менеджер по маркетингу,"Улица Святого Лаврентия, 2960",Монреаль,Квебек,Х1Джей 1С3,Канада,(514) 555-9022,,
26,Паста Баттини С.р.л.,Иван Джудичи,Администратор заказа,"Вия де Гельсомини, 153",Салерно,,84100,Италия,(089) 65-47-66-5,(089) 654-7667,
27,Новые escargots,Мари Деламари,Менеджер по продажам,"22, улица Х. Вьёрон",Монто́,,71300,Франция,85.57.00.07,,
28,Гай-птураж,Елиане Ноз,Продажи Представитель,"Бат. Б
3, улица Альп",Анси,,74000,Франция,38.76.98.06,38.76.98.58,
29,Форты драблей,Чантал Гуле,Бухгалтерский менеджер,"Улица Чазюэля, 148",Сте-Якинтан,Квебек,J2С 7С8,Канада,(514) 555-2955,(514) 555-2921,
