orderid,customerid,employeeid,orderdate,requireddate,shippeddate,shipvia,freight,shipname,shipaddress,shipcity,shipregion,shippostalcode,shipcountry
10400,EASTC,1,1997-01-01 00:00:00,1997-01-29 00:00:00,16.01.1997 г.,3,83.93,Восточное соединение,35 короля Георга,Лондон,,WX3 6FW,Великобритания
10401,RATTC,1,1997-01-01 00:00:00,1997-01-29 00:00:00,1997-01-10 00:00:00,1,12.51,"Супермаркет ""Каньон змеи""",2817 Мильтон-др.,Албукирк,НМ,87110,США
10402,ERNSH,8,1997-01-02 00:00:00,1997-02-13 00:00:00,1997-01-10 00:00:00,2,67.88,Эрнст Хендель,Кирхгассе 6,Граз,,8010,Австрия
10403,ERNSH,4,1997-01-03 00:00:00,1997-01-31 00:00:00,1997-01-09 00:00:00,3,73.79,Эрнст Хендель,Кирхгассе 6,Граз,,8010,Австрия
10404,MAGAA,2,1997-01-03 00:00:00,1997-01-31 00:00:00,1997-01-08 00:00:00,1,155.97,Магазин пищевых товаров,"Вия Лодовико Моро, 22",Бергамо,,24100,Италия
10405,LINOD,1,1997-01-06 00:00:00,1997-02-03 00:00:00,1997-01-22 00:00:00,1,34.82,Лино-Деликатесы,День пяти мая Порамаре,Маргарита,Новая Esparta,4980,Венесуэла
10406,QUEEN,7,1997-01-07 00:00:00,18 февраля 1997 года,1997-01-13 00:00:00,1,108.04,Королева Кулинарная,"Аллея двух рек, 891",Сан-Паулу,Спасибо,05487-020,Бразилия
10407,OTTIK,2,1997-01-07 00:00:00,1997-02-04 00:00:00,1997-01-30 00:00:00,2,91.48,Оцилльи Кселаден,Mehrheimerstraße 369,Клин,,50739,Германия
10408,FOLIG,8,1997-01-08 00:00:00,1997-02-05 00:00:00,1997-01-14 00:00:00,1,11.26,Фоли-гуרמанде,"184, улице Турнон",Лилль,,59000,Франция
10409,OCEAN,3,1997-01-09 00:00:00,1997-02-06 00:00:00,1997-01-14 00:00:00,1,29.83,Окано Атлантик Лтд.,"Инж. Густаво Монкада 8585, 20-й этаж",Буэнос-Айрес,,1010,Аргентина
10410,BOTTM,3,1997-01-10 00:00:00,1997-02-07 00:00:00,1997-01-15 00:00:00,3,2.4,Рынки Bottom-Dollar,Бульвар Тсавассен 23,Цавассен,БС,T2F 8M4,Канада
10411,BOTTM,9,1997-01-10 00:00:00,1997-02-07 00:00:00,1997-01-21 00:00:00,3,23.65,Рынки Bottom-Dollar,Бульвар Тсавассен 23,Цавассен,БС,T2F 8M4,Канада
10412,WARTH,8,1997-01-13 00:00:00,1997-02-10 00:00:00,1997-01-15 00:00:00,2,3.77,Вариантный герк,"Торикату, 38",Улу,,90110,Финляндия
10413,LAMAI,3,1997-01-14 00:00:00,11 февраля 1997 года,16.01.1997 г.,2,95.66,Дом Азии,1 улица Эльзаса-Лотарингии,Тулуза,,31000,Франция
10414,FAMIA,2,1997-01-14 00:00:00,11 февраля 1997 года,1997-01-17 00:00:00,3,21.48,Семья Акибардо,"Руа Орс, 92",Сан-Паулу,Спасибо,05442-030,Бразилия
10415,HUNGC,3,1997-01-15 00:00:00,1997-02-12 00:00:00,1997-01-24 00:00:00,1,0.2,Голодный койот Импорт Магазин,Центр города Плаза 516 Main St.,Эльгин,"О'Райли был удивлен, когда увидел, что у него в руках плюшевый мишка. Он никогда не видел ничего подобного.",97827,США
10416,WARTH,8,16.01.1997 г.,1997-02-13 00:00:00,1997-01-27 00:00:00,3,22.72,Вариантный герк,"Торикату, 38",Улу,,90110,Финляндия
10417,SIMOB,4,16.01.1997 г.,1997-02-13 00:00:00,1997-01-28 00:00:00,3,70.29,Бистро Симонс,Винблет 34,Копенгаген,,1734,Дания
10418,QUICK,4,1997-01-17 00:00:00,1997-02-14 00:00:00,1997-01-24 00:00:00,1,17.55,Быстрый-остановка,"Тауэрстрассе, 10",Кюневальд,,1307,Германия
10419,RICSU,4,1997-01-20 00:00:00,1997-02-17 00:00:00,1997-01-30 00:00:00,2,137.35,Ричтер Супермаркет,Старенвейг 5,Женева,,1204,Швейцария
10420,WELLI,3,1997-01-21 00:00:00,18 февраля 1997 года,1997-01-27 00:00:00,1,44.12,Уэллингтон Импортер,"Руа До Меркадо, 12",Резенде,Спасибо,08737-363,Бразилия
10421,QUEDE,8,1997-01-21 00:00:00,1997-03-04 00:00:00,1997-01-27 00:00:00,1,99.23,Ква-дельция,"Улица Пекариш, 12",Рио-де-Жанейро,РЖ,02389-673,Бразилия
10422,FRANS,2,1997-01-22 00:00:00,1997-02-19 00:00:00,1997-01-31 00:00:00,1,3.02,Франчи С.п.а.,"Вия Мон-Бланк, 34",Торино,,10100,Италия
10423,GOURL,6,1997-01-23 00:00:00,1997-02-06 00:00:00,1997-02-24 00:00:00,3,24.5,Гурман Лончоне́ты,"Аvenue Бразиль, 442",Кампинас,Спасибо,04876-786,Бразилия
10424,MEREP,7,1997-01-23 00:00:00,1997-02-20 00:00:00,1997-01-27 00:00:00,2,370.61,Мре Паилярд,43 улица Сент-Лоуренс,Монреаль,Квебек,Хадж-1К3,Канада
10425,LAMAI,6,1997-01-24 00:00:00,1997-02-21 00:00:00,1997-02-14 00:00:00,2,7.93,Дом Азии,1 улица Эльзаса-Лотарингии,Тулуза,,31000,Франция
10426,GALED,4,1997-01-27 00:00:00,1997-02-24 00:00:00,1997-02-06 00:00:00,1,18.69,Друзья гурманы,"Рамбла-де-Каталуня, 23",Барселона,,8022,Испания
10427,PICCO,4,1997-01-27 00:00:00,1997-02-24 00:00:00,1997-03-03 00:00:00,2,31.29,Пикколо и другие,Геислевег 14,Залцкег,,5020,Австрия
10428,REGGC,7,1997-01-28 00:00:00,1997-02-25 00:00:00,1997-02-04 00:00:00,1,11.09,Реггиани Кейсифики,省级 дорога 124,Реггіо-Эмилия,,42100,Италия
10429,HUNGO,3,1997-01-29 00:00:00,1997-03-12 00:00:00,1997-02-07 00:00:00,2,56.63,Голодный сова все ночь магазины,8 улицы Джонтонта,Кёрк,Корк,,Ирландия
10430,ERNSH,4,1997-01-30 00:00:00,1997-02-13 00:00:00,1997-02-03 00:00:00,1,458.78,Эрнст Хендель,Кирхгассе 6,Граз,,8010,Австрия
