supplierid,companyname,contactname,contacttitle,address,city,region,postalcode,country,phone,fax,homepage
1,Экзотические жидкости,Шарлотт Коупер,Менеджер по закупкам,49 Гилберт-стрит,Лондон,,ЭК-1 4СД,Великобритания,(171) 555-2222,,
2,Новые Орлеанские каджунские изыски,Шелли Берк,Администратор заказа,П.О. ящик 78934,Новый Орлеан,Лос-Анджелес,70117,США,(100) 555-4822,,#КАЖУН.ХТМ#
3,Домашний уют бабушки Келли,Регина Мёрфи,Продажи Представитель,707 Оксфорд-роуд,Анн-Арбор,МИ,48104,США,(313) 555-5735,(313) 555-3349,
4,Токийские трейдеры,Йоси Нагасае,Маркетинговый менеджер,"9-8 Секимай
Мусасино",Токио,,100,Япония,(03) 3555-5011,,
5,"Кооператив сыров ""Лас Кабрас""",Антонио дель Валле Сааведра,Экспортный администратор,"Улица Розала, 4",Овиедо,Астурия,33007,Испания,(98) 598-76-54,,
6,Майуми,Майуми Оно,Маркетинговый представитель,"92 Сецуко
Чёдзу-ку",Осака,,545,Япония,(06) 431-7877,,Майуми (на Веб-сайте)#http://www.microsoft.com/accessdev/sampleapps/mayumi.htm#
7,"Павлова, ООО",Иан Девлинг,Маркетинговый менеджер,"74 ул. Розы
Мунни Пондс",Мелбурн,Виктория,3058,Австралия,(03) 444-2343,(03) 444-6588,
8,"Специализированные бисквиты, Лtd.",Питер Уилсон,Продажи Представитель,29 King Way,Манчестер,,М14 ГСД,Великобритания,(161) 555-4448,,
9,ПБ Коньеброд АБ,Ларс Петерсон,Продавец,Калоадагатэн 13,Гётеборг,,С-345-67,Швеция,031-987 65 43,031-987 65 91,
10,Американские холодные напитки Ltd.,Карлос Диас,Маркетинговый менеджер,Авенида дас Америкас 12890,Сан-Паулу,,5442,Бразилия,(11) 555-4640,,
11,Гели Сварен ГмбХ & Ко. КГ,Петра Виннер,Менеджер продаж,"Тиргартенштрасе, 5",Берлин,,10785,Германия,(010) 998-45-10,,
12,Plutzer Продуктовые магазины ОГ,Мартин Бейн,Международный менеджер по маркетингу,"Богеналлее, 51",Франкфурт,,60439,Германия,(069) 992-755,,Плюсцер (на Всемирной паутине)#http://www.microsoft.com/accessdev/sampleapps/plutzer.htm#
13,Северо-Восточная Рыбная Торговая Компания GmbH,Свен Петерсен,Координатор международных рынков,Фрахмреддер 112а,Куксхабен,,27478,Германия,(047-21) 87-13,(047-21) 87-14,
14,Срни-Фортини,Эλιο Росси,Продажи Представитель,"Вияле Данте, 75",Равенна,,48100,Италия,(0544) 60-32-3,(0544) 60-60-33,#Формаггий.html#
15,Норское Мюрер,Беат Вилейд,Маркетинговый менеджер,Гатлевеген 5,Сандвика,,1320,Норвегия,(0)2-953-010,,
16,Бигфут Брейкери,Чэрл Сэйлор,Региональный Репрезентант,"3400 - 8-й авеню
Квартира 210",Взять в форму,"О'Райли был удивлен, когда увидел, что у него в руках плюшевый мишка. Он никогда не видел ничего подобного.",97101,США,(503) 555-9931,,
17,Свенск Сйфда АБ,Майкл Бьёрн,Продажи Представитель,Броваллавген 231,Стокгольм,,С-123/45,Швеция,08-123 45 67,,
18,Аукси радостных церковных,Гайлин Нодье,Менеджер продаж,"Улица Фрибоургов, 203",Париж,,75004,Франция,(1) 03-83-00-68,(1) 03.83.00.62,
19,Нью-Энди Морепродукты Поматерни,Робб Мерчант,Оптовый агент по счетам,"Отдел обработки заказов
2100 بول Ревир Блюв.",Бостон,МА,02134,США,(617) 555-3267,(617) 555-3389,
20,Лека Трейдинг,Чандра Лека,Владелец,"471 Серангуэн Луп, Suite #402",Сингапур,,0512,Сингапур,555-8787,,
21,Лингбысильд,Нильс Петерсен,Менеджер продаж,"Лингби-Сильд
Фишбэккен 10",Лингби,,2800,Дания,43844108,43844115,
22,Занесный Сноеп Фабрикат,Дирк Люхте,Бухгалтерский менеджер,"Продажа
Райнвейг 22",Заандам,,9999 ЗЗ,Нидерланды,(12345) 1212,(12345) 12-10,
23,Каркки ОО,Анна Хейконен,Продукт-менеджер,"Вальтакату, 12",Лаппеенранта,,53120,Финляндия,(953) 10956,,
24,"Здравствуй, Матей",Венди МакКензи,Продажи Представитель,"Пресня, 170, пр. Эдуарда",Сидней,Нью-Саундленд,2042,Австралия,(02) 555-5914,(02) 555-4873,"Здравствуй, Матей (на Всемирной паутине)#http://www.microsoft.com/accessdev/sampleapps/gdaymate.htm#"
25,Моя домика,Жан-Гийом Лузон,Маркетинговый менеджер,улица Сен-Лоран 2960,Монреаль,Квебек,Хадж-1К3,Канада,(514) 555-9022,,
26,Паста Баттини СРЛ,Джонни Джудити,Администратор заказа,"Вия дэ Джелсмони, 153",Салерно,,84100,Италия,(089) 65-47-66-55,(089) 654-7667,
27,Улиги новые,Мари Деламар,Менеджер продаж,"Улица Х. Вьёрона, 22",Монцоу,,71300,Франция,85.57.00.07,,
28,Гай-птур,Элиане Ноз,Продажи Представитель,"Бат. Б
3, улица Альп",Анси,,74000,Франция,38.76.98.06,38.76.98.58,
29,Форты д'раблэ,Шанталь Гуллет,Бухгалтерский менеджер,148 улица Охотника,Сте-Хакинт,Квебек,J2С 7С8,Канада,(514) 555-2955,(514) 555-2921,
