territoryid,territorydescription,regionid
94105,Сан-Франсиско,2
55439,Миннесота,3
2116,Бостон,1
27403,Грейсборо,1
45839,Финлайя,3
11747,Мелвиле,1
60179,Hoffman Дома,2
98004,Беллвей,2
90405,Санта-Моника,2
3049,Холлис,3
1833,Георгияв,1
19713,Нейвард,1
75234,Даллас,4
53404,Ракин,3
19428,Филадельфия,3
2903,Приведение,1
27511,Кари,1
20852,Роквидл,1
1581,Вестборн,1
55113,Розвилл,3
32859,Орландо,4
80909,Колорадо Спрингс,2
30346,Атланда,4
60601,Чикаго,2
95054,Санта Клара,2
29202,Колумбия,4
78759,Аустин,4
2184,Бра-тей-н-ей-т,1
8837,Эдисон,1
44122,Бейчмуд,3
40222,Луизиаполис,1
10038,Нью-Йорк,1
6897,Вилтон,1
10019,Нью-Йорк,1
1730,Бедфорд,1
98052,Редмонд,2
7960,Мористон,1
94025,Менло-парк,2
85251,Скоттсвалд,2
95060,Санта Крус,2
14450,Файпорт,1
2139,Камбоджа,1
31406,Саванна,4
33607,Тампа,4
80202,Денвер,2
85014,Феникс,2
48084,Трою,3
3801,Порт-Симпсон,3
72716,Бентонвилл,4
48075,Сонфилд,3
98104,Сейдэл,2
95008,Кампель,2
48304,Блумфилд-Хилс,3
