constructorstandingsid,raceid,constructorid,points,position,positiontext,wins
2575,238,15,10.0,7,7,0
10345,443,25,0.0,15,15,0
9780,410,34,2.0,8,8,0
25413,216,17,17.0,6,6,0
2068,192,20,0.0,7,7,0
23265,551,57,1.0,11,11,0
26229,936,131,383.0,1,1,8
23480,529,57,0.0,14,14,0
24342,345,9,218.0,2,2,4
22061,609,66,5.0,6,6,0
10277,439,21,3.0,7,7,0
73,25,1,58.0,3,3,2
11119,488,34,25.0,2,2,2
22493,578,63,0.0,13,13,0
24256,339,6,76.0,1,1,1
22515,580,26,0.0,14,14,0
25810,43,6,89.0,1,1,4
6369,57,7,7.0,7,7,0
10190,434,18,0.0,13,13,0
5884,132,3,57.0,2,2,1
2170,202,6,102.0,2,2,5
9150,371,39,1.0,15,15,0
11061,484,27,1.0,8,8,0
4733,281,6,9.0,6,6,0
22719,583,32,6.0,6,6,0
5446,175,17,6.0,2,2,0
21907,621,63,2.0,6,6,0
9720,406,26,0.0,10,10,0
2201,205,1,142.0,1,1,8
6263,102,19,7.0,8,8,0
5971,140,6,221.0,1,1,15
23303,553,34,23.0,5,5,0
1820,78,9,22.0,6,6,0
9546,395,22,5.0,7,7,0
23312,553,66,0.0,16,16,0
9497,391,27,1.0,10,10,0
7824,331,6,63.0,2,2,4
9263,378,21,9.0,5,5,0
8733,14,1,59.0,4,4,2
19106,753,104,0.0,7,7,0
24081,518,21,3.0,7,7,0
9643,401,39,0.0,13,13,0
18872,760,167,0.0,6,6,0
6281,104,1,52.0,5,5,1
25138,880,131,10.0,4,4,0
11034,482,21,5.0,10,10,0
10119,430,50,0.0,12,12,0
24087,518,54,0.0,11,11,0
24407,350,5,10.0,9,9,0
5088,244,28,0.0,13,13,0
18902,762,169,0.0,8,8,0
2522,233,18,0.0,10,10,0
21581,647,85,0.0,10,10,0
24891,868,131,98.0,5,5,1
9713,406,25,2.0,7,7,0
5961,139,3,89.0,2,2,1
22141,614,37,8.0,6,6,0
5893,132,21,2.0,10,10,0
22771,586,202,6.5,6,6,0
22916,564,204,3.0,7,7,0
7766,328,41,6.0,6,6,0
10145,431,26,0.0,17,17,0
26030,909,131,366.0,1,1,9
4806,287,3,158.0,1,1,10
