File,Row,Column,Length_Orig,Length_Trans,Diff_%,Original,Translated
draft.csv,195,lastname,7,26,271.4,Hillery,Горнорудная промышленность
draft.csv,707,lastname,5,17,240.0,Diute,Ненужное значение
draft.csv,859,draftfrom,4,19,375.0,Navy,Военно-морские силы
draft.csv,1469,lastname,4,16,300.0,Core,Основные ресурсы
draft.csv,3140,lastname,4,13,225.0,Lock,Заблокировать
draft.csv,3270,lastname,4,13,225.0,Dare,Озабоченность
draft.csv,3601,lastname,7,27,285.7,Fazekas,&lt; &lt; Фазекас &gt; &gt;
draft.csv,3657,lastname,7,24,242.9,de Colo,&lt; &lt; Коло &gt; &gt;
players.csv,6,highschool,14,43,207.1,Power Memorial,Мемориал &lt; &lt; Пауэр мемориал &gt; &gt;
players.csv,193,lastname,7,27,285.7,Fazekas,&lt; &lt; Фазекас &gt; &gt;
players.csv,317,highschool,13,44,238.5,Monaca Senior,Старший сотрудник &lt; &lt; Монака &gt; &gt;
players.csv,443,highschool,10,39,290.0,Vocational,Профессионально-техническое образование
players.csv,575,lastname,6,26,333.3,Sibert,&lt; &lt; Сиберт &gt; &gt;
players.csv,634,hscity,7,27,285.7,Edmonds,&lt; &lt; Эдмондс &gt; &gt;
players.csv,978,highschool,9,41,355.6,Englewood,Englewood ( &lt; &lt; Энглвуд &gt; &gt; )
players.csv,1056,highschool,14,43,207.1,Power Memorial,Мемориал &lt; &lt; Пауэр мемориал &gt; &gt;
players.csv,1070,highschool,9,41,355.6,Englewood,Englewood ( &lt; &lt; Энглвуд &gt; &gt; )
players.csv,1080,usefirst,4,23,475.0,Scot,Шотландский шотландский
players.csv,1080,firstname,4,23,475.0,Scot,Шотландский шотландский
players.csv,1103,namenick,4,13,225.0,L.A.,Лос-Анджелес.
players.csv,1170,highschool,6,25,316.7,Ecorse,&lt; &lt; Экорс &gt; &gt;
players.csv,1170,hscity,6,25,316.7,Ecorse,&lt; &lt; Экорс &gt; &gt;
players.csv,1268,highschool,6,23,283.3,Preble,Предварительный вариант
players.csv,1492,birthcity,6,24,300.0,Summit,Встреча на высшем уровне
players.csv,1651,firstname,7,26,271.4,Hillery,Горнорудная промышленность
players.csv,1953,highschool,13,44,238.5,Monaca Senior,Старший сотрудник &lt; &lt; Монака &gt; &gt;
players.csv,2038,hscity,9,41,355.6,Englewood,Englewood ( &lt; &lt; Энглвуд &gt; &gt; )
players.csv,2084,highschool,15,64,326.7,Hartford Public,Hartford Public ( &lt; &lt; Общественность Хартфор...
players.csv,2159,lastname,5,16,220.0,Wager,Заработная плата
players.csv,2198,lastname,4,13,225.0,Dare,Озабоченность
players.csv,2530,birthcity,5,17,240.0,Pound,фунтов стерлингов
players.csv,2530,highschool,5,17,240.0,Pound,фунтов стерлингов
players.csv,2530,hscity,5,17,240.0,Pound,фунтов стерлингов
players.csv,2574,collegeother,4,19,375.0,Navy,Военно-морские силы
players.csv,2658,lastname,4,23,475.0,Usry,Выражаю признательность
players.csv,2872,hscity,9,41,355.6,Englewood,Englewood ( &lt; &lt; Энглвуд &gt; &gt; )
players.csv,2980,lastname,6,19,216.7,Outlaw,Незаконченное право
players.csv,3025,firstname,5,21,320.0,Urgel,Настоятельно призвать
players.csv,3080,highschool,14,43,207.1,Power Memorial,Мемориал &lt; &lt; Пауэр мемориал &gt; &gt;
players.csv,3097,highschool,14,43,207.1,Power Memorial,Мемориал &lt; &lt; Пауэр мемориал &gt; &gt;
players.csv,3115,college,4,19,375.0,Navy,Военно-морские силы
players.csv,3117,namenick,5,27,440.0,Stock,Товарно-материальные запасы
