stor_id,ord_num,ord_date,qty,payterms,title_id
7896,QQ2299,1993-10-28 00:00:00,15,Нет 60,BU7832
7131,П3087а,1993-05-29 00:00:00,25,Нет 60,PS7777
8042,П723,1993-03-11 00:00:00,25,Срок оплаты 30 дней,BU1111
7131,П3087а,1993-05-29 00:00:00,20,Нет 60,PS1372
8042,423LL922,1994-09-14 00:00:00,15,По счёту,MC3021
7067,P2121,1992-06-15 00:00:00,20,Срок оплаты 30 дней,TC4203
7067,P2121,1992-06-15 00:00:00,20,Срок оплаты 30 дней,TC7777
7067,P2121,1992-06-15 00:00:00,40,Срок оплаты 30 дней,TC3218
7131,П3087а,1993-05-29 00:00:00,25,Нет 60,PS2106
7066,A2976,1993-05-24 00:00:00,50,Срок оплаты 30 дней,PC8888
7131,Н914008,1994-09-14 00:00:00,20,Срок оплаты 30 дней,PS2091
7131,N914014,1994-09-14 00:00:00,25,Срок оплаты 30 дней,MC3021
7896,X999,1993-02-21 00:00:00,35,По счёту,BU2075
8042,ВВ-879.1,1993-05-22 00:00:00,30,Срок оплаты 30 дней,PC1035
6380,722-а,13.09.1994 г.,3,Нет 60,PS2091
6380,6871,1994-09-14 00:00:00,5,Нет 60,BU1032
7131,П3087а,1993-05-29 00:00:00,15,Нет 60,PS3333
7066,QA-7442.3,13.09.1994 г.,75,По счёту,PS2091
8042,423LL930,1994-09-14 00:00:00,10,По счёту,BU1032
7067,Д4482,1994-09-14 00:00:00,10,Нет 60,PS2091
7896,ТК456,1993-12-12 00:00:00,10,Нет 60,MC2222
