title_id,title,type,pub_id,price,advance,royalty,ytd_sales,notes,pubdate
PC1035,Но удобно ли это для пользователя?,популярный,1389,22.95,7000.0,16.0,8780.0,"Опрос программного обеспечения для новичков, с акцентом на «дружелюбие» каждого из них.",30.06.1991 г. 00:00
PC9999,Нет-этикет,популярный,1389,,,,,Необходимая книга для конференц-связи.,2014-11-07 10:39:37
MC2222,Гастрономические изыски Кремниевой долины,Мод_кук,877,19.99,0.0,12.0,2032.0,"Любимые рецепты быстрых, простых и изысканных блюд.",1991-06-08T15:00:00
BU1032,Свободного Эксперта's Гид по Базам Данных,бизнес,1389,19.99,5000.0,10.0,4095.0,Обзор доступных баз данных с акцентом на общие бизнес-приложения. Иллюстрировано.,1991-06-12 00:00:00
TC7777,"Суши, кто есть кто?",трад-кук,877,14.99,8000.0,10.0,4095.0,Детальные инструкции по приготовлению настоящего японского супа в вашем свободное время.,1991-06-12 00:00:00
PS2091,Гнев — враг?,психология,736,10.95,2275.0,12.0,2045.0,Изученное с помощью метаданных исследование последствий сильных эмоций для организма. Включает в себя диаграммы метаболизма.,1991-06-15 00:00:00
TC4203,Пятьдесят лет в кухнях Букингемского дворца,трад-кук,877,11.95,4000.0,14.0,15096.0,"Больше анекдотов от любимого повара королевы, описывающих жизнь среди английской королевской семьи. Рецепты, техники, нежные заметки.",1991-06-12 00:00:00
PS3333,Продолженная де приватизация данных: четыре кейса,психология,736,19.99,2000.0,10.0,4072.0,"Что происходит, когда данные заканчиваются? Поиск оценок последствий нехватки информации.",1991-06-12 00:00:00
MC3026,Психология компьютерного приготовления пищи,неопределённый,877,,,,,,2014-11-07 10:39:37
MC3021,Гурмет-микраоволновая печь,Мод_кук,877,2.99,15000.0,24.0,22246.0,"Традиционные французские изыски на завтрак, адаптированные для современного микроволнового приготовления.",1991-06-18 00:00:00
PS1372,Компьютерно-фобические и не-компьютерно-фобические личности: вариации поведения,психология,877,21.59,7000.0,10.0,375.0,"Для специалиста эта книга обязательна: в ней исследуется различие между теми, кто ненавидит и боится компьютеры, и теми, кто не испытывает таких чувств.",1991-10-21 00:00:00
PS7777,Эмоциональная безопасность: новый алгоритм,психология,736,7.99,4000.0,10.0,3336.0,Защита себя и своих близких от излишнего эмоционального стресса в современном мире. Использование компьютера и диетических добавок подчеркивается.,1991-06-12 00:00:00
PS2106,Жизнь без страха,психология,736,7.0,6000.0,10.0,111.0,"Новый фитнес, медитация и питательные приемы, которые могут снизить стресс ежедневных взаимодействий. Популярная аудитория. Включены примерные меню, видео с упражнениями доступно отдельно.",1991-10-05 00:00:00
PC8888,Тайны Силиконовой долины,популярный,1389,20.0,8000.0,10.0,4095.0,Репортажи о мукрарке на крупнейших в мире производителей компьютерного оборудования и программного обеспечения.,1994-06-12 00:00:00
BU1111,Программирование кулинарных рецептов: скрытые балансовые отчеты,бизнес,1389,11.95,5000.0,10.0,3876.0,Советы по эффективному использованию электронных ресурсов.,1991-06-08T15:00:00
BU7832,Прямолинейный разговор о компьютерах,бизнес,1389,19.99,5000.0,10.0,4095.0,"Аннотированный анализ того, что могут сделать компьютеры для вас: руководство для критического пользователя без излишеств.",1991-06-22 00:00:00
TC3218,"Лук, чеснок и лук-порей: секреты приготовления в средиземноморской кухне",трад-кук,877,20.95,7000.0,10.0,375.0,"Обильно иллюстрированный цветом, этот прекрасный подарочный книжный подарок для друга, интересующегося кухней.",1991-10-21 00:00:00
BU2075,Вы можете бороться со стрессом от компьютера!,бизнес,736,2.99,10125.0,24.0,18722.0,Последние медицинские и психологические техники для работы с электронным офисом. Простые в понимании объяснения.,30.06.1991 г. 00:00
