playerid,year,tmid,lgid,pos,gp,g,a,pts,pim
gardihe01,1923,CAT,WCHL,D,2,1,0,1,0
taylocy01,1917,VML,PCHA,L,5,9,0,9,15
dennecy01,1920,OTS,NHL,L,5,2,2,4,10
lalonne01,1918,MTL,NHL,C,5,6,0,6,3
morribe01,1916,SEA,PCHA,R,4,14,2,16,0
nighbfr01,1920,OTS,NHL,C,5,0,1,1,0
benedcl01,1919,OTS,NHL,G,5,0,0,0,0
lehmahu01,1923,VAM,PCHA,G,2,0,0,0,0
manthsy01,1924,MTL,NHL,D,4,0,0,0,2
smithto01,1912,QU1,NHA,L,3,4,0,4,0
noblere01,1925,MTM,NHL,D,4,0,0,0,4
mcnamho01,1915,MOC,NHA,D,5,0,1,1,21
headlfe01,1924,MTL,NHL,D,4,0,0,0,0
cookll01,1922,VAM,PCHA,D,4,0,1,1,4
holwaal01,1925,MTM,NHL,D,2,0,0,0,0
berlilo01,1915,MOC,NHA,L,2,0,0,0,0
fredrfr01,1925,VIC,WCHL,C,4,1,1,2,10
rowebo01,1916,SEA,PCHA,D,4,0,2,2,0
sheppjo01,1922,EDE,WCHL,C,1,0,0,0,0
munrodu01,1925,MTM,NHL,D,4,1,0,1,6
cotchch01,1923,VAM,PCHA,L,1,0,0,0,0
joliaau01,1924,MTL,NHL,L,4,2,0,2,16
stanlba01,1914,VML,PCHA,R,3,6,0,6,0
keatsdu01,1922,EDE,WCHL,C,2,0,0,0,4
dyeba01,1921,TRS,NHL,R,5,9,1,10,3
patrile01,1913,VA1,PCHA,D,3,2,0,2,5
cookll01,1920,VML,PCHA,D,5,2,0,2,20
rossar01,1914,OT1,NHA,D,3,0,0,0,12
gerared01,1914,OT1,NHA,L,3,1,2,3,14
skinnal01,1922,VAM,PCHA,R,3,1,1,2,6
marksja01,1912,QU1,NHA,R,3,2,0,2,2
dennecy01,1922,OTS,NHL,L,6,1,1,2,8
malonjo01,1912,QU1,NHA,C,3,2,0,2,2
helmaha01,1922,OTS,NHL,D,2,0,0,0,0
poulisk01,1912,VA1,PCHA,L,3,2,0,2,5
harrism01,1922,VAM,PCHA,L,4,1,0,1,8
lindsbe01,1913,VA1,PCHA,G,3,0,0,0,0
gerared01,1920,OTS,NHL,D,5,0,0,0,44
brucemo01,1919,OTS,NHL,F,5,0,0,0,0
harrism01,1915,PO1,PCHA,L,5,4,2,6,23
bostrhe01,1922,EDE,WCHL,D,1,0,0,0,0
skinnal01,1920,VML,PCHA,R,3,4,0,4,14
bouchfr01,1923,VAM,PCHA,C,2,1,1,2,2
coutubi01,1924,MTL,NHL,D,4,1,0,1,10
camerha01,1913,TBS,NHA,D,2,1,0,1,4
morenho01,1923,MTL,NHL,C,4,4,2,6,4
mackami01,1920,VML,PCHA,C,5,0,1,1,0
carsofr01,1925,MTM,NHL,R,4,0,0,0,0
oatmaru01,1925,VIC,WCHL,R,4,0,0,0,10
mattejo01,1923,VAM,PCHA,D,2,1,0,1,2
rothssa01,1925,MTM,NHL,F,4,0,0,0,0
corbebe01,1918,MTL,NHL,D,5,0,1,1,3
bensobo01,1923,CAT,WCHL,D,2,0,0,0,0
mcgifro01,1913,TBS,NHA,F,3,2,0,2,25
tobinch01,1921,VML,PCHA,R,5,0,0,0,0
walkeja01,1918,SEA,PCHA,C,5,3,0,3,9
vezinge01,1918,MTL,NHL,G,5,0,0,0,0
kerral02,1913,VA1,PCHA,R,3,1,0,1,3
griffsi01,1917,VML,PCHA,D,5,1,0,1,9
brandru01,1922,EDE,WCHL,L,1,0,0,0,0
foystfr01,1916,SEA,PCHA,L,4,7,2,9,3
stanlba01,1914,VML,PCHA,R,3,6,0,6,0
taylocy01,1920,VML,PCHA,L,3,0,1,1,5
stackte01,1921,TRS,NHL,D,4,0,0,0,0
crawfru01,1912,QU1,NHA,R,3,3,0,3,19
halljo01,1918,MTL,NHL,D,5,0,0,0,6
smyliro01,1921,TRS,NHL,L,5,1,3,4,0
crawfru01,1923,CAT,WCHL,L,2,0,0,0,0
stanlba01,1917,VML,PCHA,R,5,2,0,2,6
bouchfr01,1923,VAM,PCHA,C,2,1,1,2,2
vezinge01,1918,MTL,NHL,G,5,0,0,0,0
duttore01,1923,CAT,WCHL,D,2,0,0,0,9
smithto01,1916,MOC,NHA,C,4,2,0,2,3
rowebo01,1919,SEA,PCHA,D,5,2,1,3,13
fredrfr01,1925,VIC,WCHL,C,4,1,1,2,10
mackami01,1914,VML,PCHA,L,3,4,2,6,6
merriho01,1914,OT1,NHA,D,3,0,0,0,0
mcdonja01,1918,MTL,NHL,C,5,1,1,2,3
gerared01,1919,OTS,NHL,D,5,2,1,3,3
wilsocu01,1916,SEA,PCHA,R,4,1,2,3,0
manthsy01,1923,MTL,NHL,D,4,0,0,0,0
bouchge01,1919,OTS,NHL,D,5,2,0,2,2
prodggo01,1912,VA1,PCHA,R,2,1,0,1,2
berlilo01,1918,MTL,NHL,L,5,1,1,2,0
helmaha01,1922,OTS,NHL,D,2,0,0,0,0
darraja01,1914,OT1,NHA,C,2,3,0,3,6
dennecy01,1920,OTS,NHL,L,5,2,2,4,10
broadpu01,1920,OTS,NHL,R,4,2,0,2,0
joliaau01,1924,MTL,NHL,L,4,2,0,2,16
anderer02,1923,CAT,WCHL,R,2,0,0,0,2
adamsja01,1921,VML,PCHA,C,5,6,1,7,18
grahale01,1914,OT1,NHA,L,3,1,0,1,0
brucemo01,1920,OTS,NHL,F,5,0,0,0,0
munrodu01,1925,MTM,NHL,D,4,1,0,1,6
walkeja01,1913,TBS,NHA,L,3,1,0,1,3
stewane01,1925,MTM,NHL,C,4,6,1,7,14
loughcl01,1925,VIC,WCHL,D,4,1,0,1,8
holmeha01,1917,TOA,NHL,G,5,0,0,0,0
wilsocu01,1923,CAT,WCHL,L,2,0,0,0,2
walkeja01,1924,VIC,WCHL,L,4,4,2,6,0
adamsja01,1920,VML,PCHA,C,5,2,1,3,6
morenho01,1923,MTL,NHL,C,4,4,2,6,4
hartgi01,1924,VIC,WCHL,R,4,2,1,3,0
arbouty01,1922,EDE,WCHL,L,2,0,0,0,0
denneco01,1922,VAM,PCHA,C,3,0,0,0,0
broadpu01,1919,OTS,NHL,R,4,0,0,0,3
nighbfr01,1922,OTS,NHL,C,6,1,1,2,10
bouchbo01,1923,MTL,NHL,F,3,0,0,0,0
mummeha01,1917,TOA,NHL,D,5,0,6,6,0
dundeto01,1913,VA1,PCHA,C,3,2,0,2,11
cookll01,1914,VML,PCHA,D,3,3,0,3,9
adamsbi01,1920,VML,PCHA,R,4,0,0,0,0
cleghod01,1923,MTL,NHL,R/C,4,0,1,1,0
hartgi01,1925,VIC,WCHL,R,4,0,0,0,2
anderjo03,1924,VIC,WCHL,L,4,1,0,1,10
cookll01,1921,VML,PCHA,D,5,1,0,1,6
smailwa01,1912,VA1,PCHA,L,1,0,0,0,0
benedcl01,1920,OTS,NHL,G,5,0,0,0,0
gardihe01,1923,CAT,WCHL,D,2,1,0,1,0
holmeha01,1924,VIC,WCHL,G,4,0,0,0,0
gengebo01,1913,VA1,PCHA,C,3,0,0,0,15
mackami01,1921,VML,PCHA,L,5,1,0,1,6
lalonne01,1915,MOC,NHA,C,4,3,2,5,28
camerha01,1917,TOA,NHL,D,5,3,1,4,0
camerha01,1913,TBS,NHA,D,2,1,0,1,4
rowebo01,1912,VA1,PCHA,D,3,2,0,2,9
bouchge01,1920,OTS,NHL,D,5,2,0,2,9
lavioja01,1915,MOC,NHA,L,2,0,0,0,6
nichosi01,1919,SEA,PCHA,L,4,0,0,0,0
mcdonra01,1917,VML,PCHA,L,3,2,1,3,9
holmeha01,1925,VIC,WCHL,G,4,0,0,0,0
broadpu01,1914,OT1,NHA,R,3,3,0,3,9
mattejo01,1923,VAM,PCHA,D,2,1,0,1,2
benedcl01,1914,OT1,NHA,G,3,0,0,0,0
nighbfr01,1914,VML,PCHA,C,3,4,6,10,6
mcgifro01,1913,TBS,NHA,F,3,2,0,2,25
parkeer01,1922,VAM,PCHA,R,4,0,2,2,2
fredrfr01,1924,VIC,WCHL,C,4,3,3,6,6
irvinde01,1915,PO1,PCHA,D,5,0,0,0,14
darraja01,1920,OTS,NHL,R/L,5,5,0,5,12
mcnamge02,1913,TBS,NHA,D,3,2,0,2,4
rickero01,1916,SEA,PCHA,D,4,0,1,1,23
rossar01,1914,OT1,NHA,D,3,0,0,0,12
rossar01,1914,OT1,NHA,D,3,0,0,0,12
vezinge01,1924,MTL,NHL,G,4,0,0,0,0
bouchge01,1922,OTS,NHL,D,6,2,1,3,6
adamsja01,1920,VML,PCHA,C,5,2,1,3,6
gardihe01,1923,CAT,WCHL,D,2,1,0,1,0
corbebe01,1918,MTL,NHL,D,5,0,1,1,3
broadpu01,1914,OT1,NHA,R,3,3,0,3,9
benedcl01,1925,MTM,NHL,G,4,0,0,0,0
mackami01,1917,VML,PCHA,C,5,5,5,10,12
stanlba01,1914,VML,PCHA,R,3,6,0,6,0
mcdonra01,1918,SEA,PCHA,L,5,1,1,2,3
bellbi01,1923,MTL,NHL,F,3,0,0,0,0
tobinch01,1921,VML,PCHA,R,5,0,0,0,0
lehmahu01,1922,VAM,PCHA,G,4,0,0,0,0
nighbfr01,1914,VML,PCHA,C,3,4,6,10,6
cookll01,1920,VML,PCHA,D,5,2,0,2,20
poulisk01,1912,VA1,PCHA,L,3,2,0,2,5
duttore01,1923,CAT,WCHL,D,2,0,0,0,9
lalonne01,1918,MTL,NHL,C,5,6,0,6,3
denneco01,1922,VAM,PCHA,C,3,0,0,0,0
lavioja01,1916,MOC,NHA,L,4,1,2,3,9
oatmaed01,1921,VML,PCHA,R,5,1,1,2,14
bouchbi01,1924,MTL,NHL,R,4,1,1,2,13
darraja01,1919,OTS,NHL,R/L,5,5,2,7,3
loughcl01,1924,VIC,WCHL,D,4,1,0,1,4
clancki01,1922,OTS,NHL,D,6,1,0,1,4
foystfr01,1919,SEA,PCHA,C,5,6,1,7,7
carsofr01,1925,MTM,NHL,R,4,0,0,0,0
randake01,1921,TRS,NHL,D/R,4,1,0,1,19
malleke01,1914,VML,PCHA,C,3,0,0,0,0
camerbi01,1923,MTL,NHL,R,4,0,0,0,0
camerha01,1917,TOA,NHL,D,5,3,1,4,0
bouchfr01,1923,VAM,PCHA,C,2,1,1,2,2
desirsy01,1920,VML,PCHA,D,4,0,0,0,6
foystfr01,1916,SEA,PCHA,L,4,7,2,9,3
davidal01,1913,TBS,NHA,R,2,1,0,1,7
bouchge01,1919,OTS,NHL,D,5,2,0,2,2
adamsbi01,1920,VML,PCHA,R,4,0,0,0,0
lalonne01,1915,MOC,NHA,C,4,3,2,5,28
duncaar01,1920,VML,PCHA,D,5,2,1,3,3
cleghod01,1918,MTL,NHL,C,5,2,0,2,9
tobinch01,1919,SEA,PCHA,R,5,0,0,0,0
lehmahu01,1923,VAM,PCHA,G,2,0,0,0,0
gerared01,1920,OTS,NHL,D,5,0,0,0,44
holmeha01,1916,SEA,PCHA,G,4,0,0,0,0
cotchch01,1923,VAM,PCHA,L,1,0,0,0,0
skinnal01,1922,VAM,PCHA,R,3,1,1,2,6
morribe01,1919,SEA,PCHA,C,5,0,2,2,0
vezinge01,1923,MTL,NHL,G,4,0,0,0,0
moranpa01,1912,QU1,NHA,G,3,0,0,0,0
