year,lgid,tmid,g,w,l,t,gf,ga,pim,benchminor,ppg,ppc,sha,pkg,pkc,shf
1965,NHL,DET,12,6,6,0,36,28,154.0,,,,,,,
1939,NHL,NYA,3,1,2,0,7,9,18.0,,,,,,,
2001,NHL,VAN,6,2,4,0,16,22,62.0,0.0,4.0,27.0,3.0,7.0,25.0,0.0
2008,NHL,AND,13,7,6,0,35,32,220.0,6.0,13.0,50.0,0.0,11.0,55.0,0.0
1985,NHL,MTL,20,15,5,0,56,41,689.0,6.0,17.0,93.0,3.0,10.0,82.0,4.0
1999,NHL,OTT,6,2,4,0,10,17,81.0,0.0,2.0,22.0,0.0,2.0,23.0,0.0
1998,NHL,BOS,12,6,6,0,30,27,126.0,2.0,9.0,59.0,1.0,8.0,47.0,0.0
1972,NHL,PHI,11,5,6,0,27,31,205.0,,6.0,,0.0,8.0,,1.0
1986,NHL,NYI,14,7,7,0,35,42,293.0,0.0,11.0,50.0,2.0,9.0,58.0,0.0
1985,NHL,WAS,9,5,4,0,36,24,209.0,0.0,9.0,40.0,1.0,7.0,36.0,2.0
1967,NHL,MTL,13,12,1,0,48,25,150.0,,10.0,,2.0,6.0,,3.0
1993,NHL,PIT,6,2,4,0,12,20,140.0,2.0,2.0,27.0,2.0,3.0,30.0,0.0
1983,NHL,BOS,3,0,3,0,2,10,77.0,0.0,1.0,13.0,0.0,2.0,12.0,0.0
1992,NHL,MTL,20,16,4,0,66,51,277.0,0.0,15.0,82.0,1.0,13.0,86.0,1.0
1985,NHL,BOS,3,0,3,0,6,10,162.0,4.0,2.0,16.0,1.0,3.0,20.0,1.0
2001,NHL,OTT,12,7,5,0,29,18,115.0,0.0,9.0,55.0,0.0,6.0,41.0,0.0
1976,NHL,MNS,2,0,2,0,3,11,25.0,0.0,0.0,6.0,0.0,1.0,5.0,0.0
1961,NHL,NYR,6,2,4,0,15,22,46.0,,,,,,,
2002,NHL,OTT,18,11,7,0,43,34,214.0,2.0,12.0,83.0,1.0,6.0,73.0,3.0
1935,NHL,TOR,9,4,5,0,25,27,76.0,,,,,,,
1987,NHL,TOR,6,2,4,0,20,32,189.0,0.0,6.0,41.0,,11.0,32.0,2.0
1972,WHA,PHB,4,0,4,0,6,19,,,4.0,25.0,1.0,4.0,17.0,0.0
1976,NHL,STL,4,0,4,0,4,19,60.0,0.0,0.0,13.0,1.0,4.0,16.0,0.0
2007,NHL,WAS,7,3,4,0,20,23,87.0,6.0,8.0,35.0,0.0,8.0,36.0,0.0
2002,NHL,PHI,13,6,7,0,34,33,152.0,4.0,5.0,50.0,4.0,9.0,50.0,1.0
1972,WHA,MFS,5,1,4,0,16,23,,,4.0,11.0,0.0,7.0,13.0,0.0
1978,NHL,CHI,4,0,4,0,3,14,45.0,0.0,0.0,9.0,0.0,2.0,11.0,0.0
1989,NHL,NYR,10,5,5,0,37,35,291.0,2.0,15.0,63.0,2.0,11.0,54.0,4.0
1964,NHL,TOR,6,2,4,0,14,17,136.0,,,,,,,
1985,NHL,HAR,10,6,4,0,29,23,260.0,4.0,7.0,39.0,3.0,9.0,41.0,1.0
1980,NHL,BUF,8,4,4,0,30,30,175.0,0.0,10.0,27.0,1.0,5.0,28.0,0.0
1968,NHL,PHI,4,0,4,0,3,17,83.0,,1.0,,0.0,3.0,,1.0
1977,WHA,WIJ,9,8,1,0,53,20,,,,,,,,
1999,NHL,PIT,11,6,5,0,31,23,173.0,4.0,8.0,56.0,1.0,7.0,45.0,0.0
1993,NHL,WAS,11,5,6,0,32,32,256.0,0.0,5.0,55.0,0.0,6.0,52.0,3.0
1970,NHL,CHI,18,11,7,0,59,42,289.0,,17.0,,1.0,11.0,,1.0
1921,WCHL,CAT,2,0,1,1,1,2,,,,,,,,
1931,NHL,DTF,2,0,1,1,1,3,10.0,,,,,,,
1990,NHL,HAR,6,2,4,0,17,24,192.0,0.0,6.0,23.0,0.0,10.0,36.0,1.0
1938,NHL,TOR,10,5,5,0,22,20,86.0,,,,,,,
1955,NHL,DET,10,5,5,0,23,28,117.0,,,,,,,
1930,NHL,NYR,4,2,2,0,8,4,35.0,,,,,,,
2001,NHL,COL,21,11,10,0,54,56,168.0,6.0,10.0,77.0,2.0,9.0,62.0,0.0
1974,NHL,LAK,3,1,2,0,6,7,82.0,0.0,2.0,9.0,0.0,0.0,9.0,0.0
1984,NHL,STL,3,0,3,0,5,9,72.0,0.0,2.0,15.0,0.0,2.0,9.0,1.0
1957,NHL,DET,4,0,4,0,6,19,68.0,,,,,,,
1984,NHL,BUF,5,2,3,0,22,22,151.0,4.0,2.0,25.0,0.0,6.0,25.0,0.0
1950,NHL,MTL,11,5,6,0,23,25,86.0,,,,,,,
1981,NHL,MNS,4,1,3,0,14,14,145.0,2.0,5.0,25.0,1.0,3.0,18.0,0.0
1986,NHL,LAK,5,1,4,0,20,32,118.0,0.0,5.0,28.0,1.0,8.0,30.0,0.0
1988,NHL,PIT,11,7,4,0,43,42,452.0,2.0,16.0,70.0,,17.0,69.0,1.0
1984,NHL,MTL,12,6,6,0,43,41,320.0,0.0,13.0,51.0,0.0,8.0,49.0,1.0
1996,NHL,OTT,7,3,4,0,13,14,91.0,2.0,7.0,35.0,1.0,2.0,27.0,0.0
1984,NHL,NYI,10,4,6,0,25,28,256.0,0.0,7.0,33.0,1.0,7.0,52.0,0.0
1936,NHL,NYR,9,6,3,0,18,10,68.0,,,,,,,
1932,NHL,NYR,8,6,1,1,25,13,103.0,,,,,,,
1924,WCHL,SAS,2,0,1,1,4,6,,,,,,,,
1975,WHA,NEW,17,10,7,0,53,40,,,,,,,,
1999,NHL,TOR,12,6,6,0,26,26,154.0,0.0,2.0,43.0,1.0,7.0,47.0,1.0
1954,NHL,MTL,12,7,5,0,36,36,174.0,,,,,,,
1995,NHL,DET,19,10,9,0,58,46,302.0,4.0,20.0,112.0,1.0,13.0,89.0,5.0
1974,NHL,TOR,7,2,5,0,13,21,108.0,0.0,4.0,36.0,0.0,5.0,20.0,0.0
2011,NHL,FLO,7,3,4,0,17,18,66.0,0.0,9.0,27.0,0.0,5.0,25.0,1.0
2005,NHL,CAL,7,3,4,0,16,17,129.0,4.0,6.0,43.0,1.0,6.0,44.0,2.0
1945,NHL,CHI,4,0,4,0,7,26,68.0,,,,,,,
1994,NHL,CHI,16,9,7,0,45,39,203.0,0.0,9.0,68.0,1.0,11.0,75.0,1.0
1943,NHL,DET,5,1,4,0,8,17,39.0,,,,,,,
1992,NHL,QUE,6,2,4,0,16,19,94.0,2.0,4.0,18.0,0.0,4.0,21.0,0.0
2010,NHL,CHI,7,3,4,0,22,16,76.0,0.0,6.0,29.0,0.0,4.0,18.0,1.0
1956,NHL,MTL,10,8,2,0,37,18,122.0,,,,,,,
1973,NHL,PHI,17,12,5,0,54,36,578.0,,14.0,,1.0,9.0,,2.0
1958,NHL,CHI,6,2,4,0,16,21,93.0,,,,,,,
1969,NHL,BOS,14,12,2,0,65,33,330.0,,14.0,,0.0,14.0,,5.0
2005,NHL,DAL,5,1,4,0,15,18,64.0,0.0,5.0,31.0,1.0,5.0,28.0,1.0
1953,NHL,DET,12,8,4,0,29,20,120.0,,,,,,,
1990,NHL,NJD,7,3,4,0,21,21,211.0,2.0,8.0,33.0,0.0,7.0,38.0,1.0
2006,NHL,PIT,5,1,4,0,10,18,78.0,0.0,4.0,28.0,0.0,6.0,24.0,0.0
1940,NHL,DET,9,4,5,0,17,20,96.0,,,,,,,
1969,NHL,MNS,6,2,4,0,16,20,82.0,,7.0,,1.0,10.0,,0.0
1979,NHL,PIT,5,2,3,0,14,21,125.0,4.0,5.0,18.0,2.0,4.0,18.0,0.0
1926,NHL,BOS,8,2,2,4,16,13,125.0,,,,,,,
1982,NHL,CHI,13,7,6,0,49,51,269.0,4.0,12.0,60.0,2.0,17.0,62.0,2.0
2003,NHL,VAN,7,3,4,0,16,19,99.0,2.0,8.0,39.0,1.0,6.0,40.0,0.0
1946,NHL,MTL,11,6,5,0,29,23,171.0,,,,,,,
1947,NHL,TOR,9,8,1,0,38,20,102.0,,,,,,,
1979,NHL,NYR,9,4,5,0,21,22,194.0,0.0,5.0,39.0,2.0,4.0,40.0,1.0
1977,NHL,CHI,4,0,4,0,9,19,33.0,0.0,4.0,15.0,0.0,4.0,9.0,0.0
1977,WHA,QUN,11,5,6,0,43,41,,,,,,,,
2010,NHL,BUF,7,3,4,0,18,22,109.0,2.0,7.0,31.0,0.0,5.0,35.0,0.0
1989,NHL,NYI,5,1,4,0,13,22,175.0,0.0,4.0,26.0,2.0,10.0,31.0,0.0
2008,NHL,SJS,6,2,4,0,10,18,85.0,0.0,4.0,24.0,0.0,5.0,23.0,0.0
1996,NHL,CHI,6,2,4,0,14,28,160.0,0.0,1.0,27.0,0.0,12.0,45.0,2.0
1996,NHL,NYR,15,9,6,0,36,35,218.0,2.0,10.0,64.0,1.0,14.0,68.0,1.0
1980,NHL,CAL,16,9,7,0,55,60,365.0,2.0,17.0,74.0,5.0,19.0,65.0,0.0
1967,NHL,STL,18,8,10,0,42,50,323.0,,10.0,,3.0,12.0,,5.0
1998,NHL,DAL,23,16,7,0,64,44,279.0,2.0,13.0,107.0,0.0,9.0,95.0,3.0
1966,NHL,TOR,12,8,4,0,35,30,150.0,,,,,,,
2011,NHL,SJS,5,1,4,0,8,14,97.0,0.0,2.0,17.0,0.0,6.0,18.0,0.0
1991,NHL,HAR,7,3,4,0,18,21,147.0,0.0,6.0,40.0,1.0,8.0,41.0,2.0
1988,NHL,PHI,19,10,9,0,64,60,612.0,2.0,20.0,96.0,,26.0,119.0,8.0
1939,NHL,DET,5,2,3,0,11,12,51.0,,,,,,,
2007,NHL,PIT,20,14,6,0,61,43,323.0,2.0,21.0,92.0,2.0,11.0,85.0,1.0
1938,NHL,BOS,12,8,4,0,26,18,98.0,,,,,,,
1998,NHL,PIT,13,6,7,0,35,36,183.0,2.0,8.0,45.0,1.0,6.0,50.0,0.0
1982,NHL,NYR,9,5,4,0,33,37,171.0,2.0,9.0,47.0,3.0,10.0,40.0,1.0
2008,NHL,MTL,4,0,4,0,6,17,103.0,2.0,0.0,8.0,0.0,4.0,16.0,0.0
1917,NHL,MTL,2,1,1,0,7,10,59.0,,,,,,,
1965,NHL,TOR,4,0,4,0,6,15,151.0,,,,,,,
1985,NHL,EDM,10,6,4,0,41,30,321.0,6.0,8.0,39.0,2.0,8.0,51.0,4.0
1954,NHL,BOS,5,1,4,0,9,16,55.0,,,,,,,
1925,WCHL,EDE,2,0,1,1,3,5,,,,,,,,
1955,NHL,TOR,5,1,4,0,10,14,65.0,,,,,,,
2002,NHL,COL,7,3,4,0,17,16,68.0,2.0,4.0,26.0,1.0,7.0,29.0,0.0
1984,NHL,NYR,3,0,3,0,10,14,76.0,0.0,4.0,11.0,0.0,5.0,16.0,0.0
2001,NHL,TOR,20,10,10,0,44,49,389.0,4.0,13.0,90.0,0.0,20.0,99.0,0.0
1950,NHL,DET,6,2,4,0,12,13,26.0,,,,,,,
2001,NHL,CAR,23,13,10,0,47,43,263.0,4.0,16.0,103.0,2.0,15.0,96.0,1.0
1930,NHL,TOR,2,0,1,1,3,4,13.0,,,,,,,
1926,NHL,MTM,2,0,1,1,1,2,18.0,,,,,,,
2011,NHL,DET,5,1,4,0,9,13,55.0,0.0,4.0,23.0,0.0,2.0,22.0,0.0
2010,NHL,LAK,6,2,4,0,20,20,85.0,0.0,5.0,24.0,0.0,2.0,23.0,0.0
1993,NHL,NYR,23,16,7,0,81,50,379.0,2.0,22.0,104.0,3.0,9.0,103.0,2.0
1985,NHL,NYR,16,8,8,0,47,55,426.0,4.0,13.0,70.0,3.0,14.0,81.0,4.0
1983,NHL,EDM,19,15,4,0,94,56,460.0,4.0,17.0,76.0,3.0,20.0,89.0,3.0
2009,NHL,PHO,7,3,4,0,18,26,81.0,0.0,6.0,33.0,0.0,8.0,34.0,1.0
1939,NHL,BOS,6,2,4,0,9,15,22.0,,,,,,,
1991,NHL,LAK,6,2,4,0,18,23,153.0,2.0,6.0,35.0,0.0,10.0,34.0,0.0
2005,NHL,SJS,11,6,5,0,29,29,144.0,2.0,11.0,72.0,2.0,12.0,62.0,0.0
1972,NHL,MNS,6,2,4,0,12,14,112.0,,3.0,,1.0,4.0,,0.0
1953,NHL,BOS,4,0,4,0,4,16,54.0,,,,,,,
1982,NHL,STL,4,1,3,0,10,16,116.0,0.0,5.0,22.0,0.0,3.0,23.0,0.0
1995,NHL,BOS,5,1,4,0,16,22,147.0,0.0,7.0,27.0,0.0,5.0,30.0,2.0
1971,NHL,MNS,7,3,4,0,19,19,111.0,,4.0,,0.0,6.0,,0.0
2011,NHL,NYR,20,10,10,0,43,41,218.0,2.0,13.0,73.0,0.0,11.0,69.0,0.0
