year,hofid,name,category
1971,wirtzar01h,Arthur Wirtz,Builder
1947,nelsofr01h,Francis Nelson,Builder
1958,conneal01h,Alec Connell,Player
2000,savarde01h,Denis Savard,Player
1961,ionmi01h,Mickey Ion,Referee/Linesman
1998,murraat01h,Athol Murray,Builder
2000,bushwa01h,Walter Bush,Builder
1993,knoxse01h,Seymour Knox,Builder
2008,larioig01h,Igor Larionov,Player
1984,parenbe01h,Bernie Parent,Player
1945,allanmo01h,Montagu Allan,Builder
1962,humefr01h,Fred Hume,Builder
1972,geoffbe01h,Bernie Geoffrion,Player
1950,triheha01h,Harry Trihey,Player
1947,nighbfr01h,Frank Nighbor,Player
1979,howelha01h,Harry Howell,Player
1966,lindste01h,Ted Lindsay,Player
1990,poilebu01h,Bud Poile,Builder
1982,cournyv01h,Yvan Cournoyer,Player
1962,crawfru01h,Rusty Crawford,Player
1962,whitcfr01h,Fred Whitcroft,Player
1958,hayge01h,George Hay,Player
1985,mariujo01h,John Mariucci,Builder
1945,morenho01h,Howie Morenz,Player
1950,malonjo01h,Joe Malone,Player
2009,hullbr01h,Brett Hull,Player
1960,selkefr01h,Frank Selke,Builder
1952,cookbi01h,Bill Cook,Player
1978,pronoma01h,Marcel Pronovost,Player
2004,bourqra01h,Raymond Bourque,Player
2004,fletccl01h,Cliff Fletcher,Builder
1965,russebl01h,Blair Russell,Player
1970,lebelro01h,Bob LeBel,Builder
1958,norrija02h,James Norris Sr.,Builder
1975,drillgo01h,Gordie Drillon,Player
1966,campbcl01h,Clarence Campbell,Builder
1965,lockhth01h,Tommy Lockhart,Builder
1972,adamswe01h,Weston Adams,Builder
2001,gartnmi01h,Mike Gartner,Player
1962,smithal03h,Alf Smith,Player
1967,storere01h,Red Storey,Referee/Linesman
1974,vossca01h,Carl Voss,Builder
1992,gainebo01h,Bob Gainey,Player
1945,phillto01h,Tommy Phillips,Player
1971,sawchte01h,Terry Sawchuk,Player
1983,hullbo01h,Bobby Hull,Player
1960,walkeja01h,Jack Walker,Player
1973,harvedo01h,Doug Harvey,Player
1962,ruttaja01h,Jack Ruttan,Player
1973,udvarfr01h,Frank Udvari,Referee/Linesman
1966,kennete01h,Ted Kennedy,Player
1982,gilbero01h,Rod Gilbert,Player
1976,quackbi01h,Bill Quackenbush,Player
1988,laflegu01h,Guy Lafleur,Player
1998,goulemi01h,Michel Goulet,Player
1974,haych01h,Charles Hay,Builder
1984,esposph01h,Phil Esposito,Player
1965,benedcl01h,Clint Benedict,Player
1994,watsoha02h,Harry Watson,Player
1974,burchbi01h,Billy Burch,Player
1966,lachel01h,Elmer Lach,Player
1997,trottbr01h,Bryan Trottier,Player
1963,primejo01h,Joe Primeau,Player
1949,rossar01h,Art Ross,Player
1971,jacksbu01h,Busher Jackson,Player
1966,bouchbu01h,Butch Bouchard,Player
1983,mikitst01h,Stan Mikita,Player
1995,cookbu01h,Bun Cook,Player
1966,reardke01h,Ken Reardon,Player
1988,hayesge01h,George Hayes,Referee/Linesman
1968,dunnji01h,Jimmy Dunn,Builder
2011,howema01h,Mark Howe,Player
1945,gerared01h,Eddie Gerard,Player
1950,drinkgr01h,Graham Drinkwater,Player
1958,clancki01h,King Clancy,Player
1993,lapraed01h,Edgar Laprade,Player
1950,richage01h,George Richardson,Player
1996,arboual01h,Al Arbour,Builder
1961,schmimi01h,Milt Schmidt,Player
1963,mclaufr01h,Frederic McLaughlin,Builder
2004,coffepa01h,Paul Coffey,Player
1950,davidal01h,Scotty Davidson,Player
1992,dumarwo01h,Woody Dumart,Player
1975,armstge01h,George Armstrong,Player
1945,stanlfr01h,Frederick Stanley,Builder
1961,appssy01h,Syl Apps,Player
1945,vezinge01h,Georges Vezina,Player
1962,broadpu01h,Punch Broadbent,Player
1966,brimsfr01h,Frank Brimsek,Player
1995,sabetgu01h,Gunther Sabetzki,Builder
1963,seibeea01h,Earl Seibert,Player
1958,irvindi01h,Dick Irvin,Player
1960,manthsy01h,Sylvio Mantha,Player
1974,tarasan01h,Anatoli Tarasov,Builder
1947,joliaau01h,Aurel Joliat,Player
1993,grifffr01h,Frank Griffiths,Builder
1975,baileac01h,Ace Bailey,Player
1989,bauerda01h,David Bauer,Builder
1975,bucklfr01h,Frank Buckland,Builder
1991,bossymi01h,Mike Bossy,Player
1971,weilaco01h,Cooney Weiland,Player
1969,wortero01h,Roy Worters,Player
1996,bauerbo01h,Bobby Bauer,Player
1961,loicqpa01h,Paul Loicq,Builder
1950,lalonne01h,Newsy Lalonde,Player
1965,russeer01h,Ernie Russell,Player
2010,jamesan01h,Angela James,Player
1958,foystfr01h,Frank Foyston,Player
1977,cattajo01h,Joseph Cattarinich,Builder
1962,hylanha01h,Harry Hyland,Player
1986,keonda01h,Dave Keon,Player
1967,brodatu01h,Turk Broda,Player
1958,gardihe01h,Herb Gardiner,Player
1996,salmibo01h,Borje Salming,Player
1974,mooredi01h,Dickie Moore,Player
1962,camerha01h,Harry Cameron,Player
1958,moranpa01h,Paddy Moran,Player
1976,rossph01h,Philip Ross,Builder
1962,darraja01h,Jack Darragh,Player
1965,marshja02h,Jack Marshall,Player
1962,schrisw01h,Sweeney Schriner,Player
1961,brownge03h,George Brown,Builder
2011,belfoed01h,Ed Belfour,Player
1991,smithcl01h,Clint Smith,Player
1998,stastpe01h,Peter Stastny,Player
1963,gormato01h,Tommy Gorman,Builder
1991,armstne01h,Neil Armstrong,Referee/Linesman
1967,colvine01h,Neil Colville,Player
1962,westwha01h,Harry Westwick,Player
1950,griffsi01h,Si Griffis,Player
1969,abelsi01h,Sid Abel,Player
1994,conacli01h,Lionel Conacher,Player
1952,goheemo01h,Moose Goheen,Player
1979,richahe01h,Henri Richard,Player
1947,hewitwi01h,William Hewitt,Builder
1962,simpsjo01h,Joe Simpson,Player
1993,pagefr01h,Fred Page,Builder
1998,conacro01h,Roy Conacher,Player
1968,hendyji01h,Jim Hendy,Builder
1965,mosiebi01h,Bill Mosienko,Player
1962,hoopeto01h,Tom Hooper,Player
1958,johnsch01h,Ching Johnson,Player
1964,stewaja01h,Jack Stewart,Player
1964,durnabi01h,Bill Durnan,Player
1966,bentlma01h,Max Bentley,Player
2003,kilrebr01h,Brian Kilrea,Builder
1992,mathefr01h,Frank Mathers,Builder
1985,pilouru01h,Rudy Pilous,Builder
1945,mcgeefr01h,Frank McGee,Player
2007,gregoji01h,Jim Gregory,Builder
2010,develji01h,Jim Devellano,Builder
1973,raynech01h,Chuck Rayner,Player
1972,belivje01h,Jean Beliveau,Player
1958,raymodo01h,Donat Raymond,Builder
1972,howego01h,Gordie Howe,Player
1977,ahearbu01h,Bunny Ahearne,Builder
2009,lamorlo01h,Lou Lamoriello,Builder
2000,mullejo01h,Joe Mullen,Player
1969,hextabr01h,Bryan Hextall,Player
1985,ratelje01h,Jean Ratelle,Player
1961,halljo01h,Joe Hall,Player
1962,wilsoph01h,Phat Wilson,Player
1958,mcnamge02h,George McNamara,Player
1973,smithto01h,Tommy Smith,Player
2002,federbe01h,Bernie Federko,Player
1945,pulfoha01h,Harvey Pulford,Player
1960,bouchge01h,Georges Boucher,Player
1993,shuttst01h,Steve Shutt,Player
1945,bakerho01h,Hobey Baker,Player
2007,stevesc01h,Scott Stevens,Player
1986,savarse01h,Serge Savard,Player
1977,ballaha01h,Harold Ballard,Builder
1966,prattba01h,Babe Pratt,Player
1947,caldefr01h,Frank Calder,Builder
1965,scanlfr01h,Fred Scanlon,Player
1978,bickejo01h,John Bickell,Builder
1999,gretzwa01h,Wayne Gretzky,Player
1961,conacch01h,Charlie Conacher,Player
1985,olmstbe01h,Bert Olmstead,Player
1962,stanlba01h,Barney Stanley,Player
1987,giacoed01h,Ed Giacomin,Player
1958,duttore01h,Red Dutton,Player
1995,torrebi01h,Bill Torrey,Builder
2007,francro01h,Ron Francis,Player
2003,lafonpa01h,Pat LaFontaine,Player
2009,yzermst01h,Steve Yzerman,Player
2010,seamado01h,Doc Seaman,Builder
1993,lapoigu01h,Guy Lapointe,Player
1997,lemiema01h,Mario Lemieux,Player
1971,robergo02h,Gord Roberts,Player
1974,ivanto01h,Tommy Ivan,Builder
