playerid,year,stint,tmid,lgid,pos,gp,g,a,pts,pim,+/-,ppg,ppa,shg,sha,gwg,gtg,sog,postgp,postg,posta,postpts,postpim,post+/-,postppg,postppa,postshg,postsha,postgwg,postsog
cavalpa01,1987,1,WAS,NHL,D,24.0,2.0,3.0,5.0,66.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,18.0,,,,,,,,,,,,
bourqph01,1990,1,PIT,NHL,L,78.0,20.0,14.0,34.0,106.0,7.0,1.0,0.0,4.0,1.0,0.0,0.0,122.0,24.0,6.0,7.0,13.0,16.0,6.0,0.0,1.0,0.0,0.0,0.0,39.0
drouije01,2011,1,AND,NHL,G,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,
kushnda01,1991,1,PHI,NHL,L,19.0,3.0,2.0,5.0,18.0,-5.0,0.0,0.0,0.0,0.0,1.0,0.0,19.0,,,,,,,,,,,,
lambjo01,1927,1,MTM,NHL,C/R,21.0,8.0,5.0,13.0,39.0,,,,,,,,,8.0,1.0,0.0,1.0,32.0,,,,,,,
foystfr01,1919,1,SEA,PCHA,C,22.0,26.0,3.0,29.0,3.0,,,,,,,,,2.0,3.0,1.0,4.0,0.0,,,,,,,
marshpe01,1978,1,CIN,WHA,L,80.0,43.0,23.0,66.0,95.0,-31.0,23.0,,0.0,,,,325.0,3.0,1.0,0.0,1.0,0.0,1.0,,,,,0.0,
croziro01,1972,1,BUF,NHL,G,49.0,0.0,0.0,0.0,4.0,0.0,0.0,,0.0,,0.0,0.0,0.0,4.0,0.0,1.0,1.0,2.0,,0.0,,0.0,,0.0,
samueul01,1998,1,NYR,NHL,D,67.0,4.0,8.0,12.0,93.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,37.0,,,,,,,,,,,,
fleurth01,1998,2,COL,NHL,R,15.0,10.0,14.0,24.0,18.0,8.0,1.0,4.0,0.0,0.0,2.0,1.0,51.0,18.0,5.0,12.0,17.0,20.0,-2.0,2.0,2.0,0.0,0.0,0.0,56.0
mioed01,1979,1,EDM,NHL,G,34.0,0.0,1.0,1.0,4.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,,,,,,,,,,,
ronnicl01,1992,1,VAN,NHL,C,79.0,29.0,56.0,85.0,30.0,19.0,10.0,18.0,0.0,0.0,2.0,0.0,209.0,12.0,2.0,9.0,11.0,6.0,8.0,0.0,2.0,0.0,0.0,0.0,35.0
lambjo01,1935,1,MTM,NHL,C/R,35.0,0.0,3.0,3.0,12.0,,,,,,,,,3.0,0.0,0.0,0.0,2.0,,,,,,,
mullebr01,1986,1,WIN,NHL,L,69.0,19.0,32.0,51.0,20.0,-2.0,7.0,,0.0,,4.0,0.0,185.0,9.0,4.0,2.0,6.0,0.0,-2.0,2.0,,0.0,,0.0,22.0
debolda01,1979,1,HAR,NHL,C,48.0,12.0,14.0,26.0,4.0,-5.0,0.0,,0.0,,1.0,0.0,96.0,3.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,
corbere01,1996,1,COL,NHL,L,76.0,12.0,15.0,27.0,67.0,14.0,1.0,2.0,0.0,0.0,3.0,1.0,128.0,17.0,2.0,2.0,4.0,27.0,0.0,0.0,1.0,0.0,0.0,0.0,31.0
bourqra01,1985,1,BOS,NHL,D,74.0,19.0,58.0,77.0,68.0,17.0,11.0,,0.0,,3.0,0.0,289.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,7.0
larsore01,1978,1,DET,NHL,D,79.0,18.0,49.0,67.0,169.0,-20.0,6.0,,2.0,,0.0,3.0,271.0,,,,,,,,,,,,
mondoar01,1936,1,MTL,NHL,L/C,7.0,1.0,1.0,2.0,0.0,,,,,,,,,5.0,0.0,0.0,0.0,0.0,,,,,,,
brownar01,1966,1,NYR,NHL,D,69.0,2.0,10.0,12.0,61.0,,0.0,,0.0,,0.0,1.0,,4.0,0.0,0.0,0.0,6.0,,,,,,0.0,
simjo01,2003,1,LAK,NHL,L,48.0,6.0,7.0,13.0,27.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,73.0,,,,,,,,,,,,
poulipa01,1993,2,CHI,NHL,L,58.0,12.0,13.0,25.0,40.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,83.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
hamelje01,1976,1,DET,NHL,D,71.0,1.0,10.0,11.0,63.0,-18.0,0.0,,0.0,,0.0,0.0,85.0,,,,,,,,,,,,
halleke01,1990,1,BUF,NHL,D,21.0,1.0,8.0,9.0,20.0,9.0,1.0,3.0,0.0,0.0,0.0,0.0,42.0,6.0,1.0,4.0,5.0,10.0,-1.0,0.0,2.0,0.0,1.0,0.0,13.0
rutlewa01,1969,1,LAK,NHL,G,20.0,0.0,0.0,0.0,5.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,,,,,,,,,,,
ferguge01,1975,1,TOR,NHL,R,79.0,12.0,32.0,44.0,76.0,11.0,3.0,,2.0,,2.0,1.0,140.0,10.0,2.0,4.0,6.0,2.0,,0.0,,0.0,,1.0,
egersja01,1974,1,WAS,NHL,R,14.0,3.0,2.0,5.0,8.0,-14.0,1.0,,0.0,,1.0,1.0,21.0,,,,,,,,,,,,
gorinbu01,1983,1,NYI,NHL,C,71.0,22.0,24.0,46.0,8.0,9.0,0.0,,5.0,,3.0,0.0,89.0,21.0,1.0,5.0,6.0,2.0,2.0,1.0,,0.0,,0.0,16.0
modinfr01,2010,2,CAL,NHL,L,4.0,0.0,0.0,0.0,2.0,-3.0,0.0,0.0,0.0,0.0,0.0,,3.0,,,,,,,,,,,,
staplmi01,1993,1,PIT,NHL,C,58.0,7.0,4.0,11.0,18.0,-4.0,3.0,3.0,0.0,0.0,0.0,0.0,59.0,,,,,,,,,,,,
karpoal01,1998,1,NYR,NHL,D,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,,,,,,,,,,,,
samsose01,1998,1,BOS,NHL,L,79.0,25.0,26.0,51.0,18.0,-6.0,6.0,10.0,0.0,0.0,8.0,1.0,160.0,11.0,3.0,1.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,21.0
hadfivi01,1971,1,NYR,NHL,L,78.0,50.0,56.0,106.0,142.0,60.0,23.0,,0.0,,7.0,6.0,242.0,16.0,7.0,9.0,16.0,22.0,,2.0,,0.0,,1.0,
robindo01,1970,1,LAK,NHL,L,61.0,15.0,13.0,28.0,8.0,-8.0,3.0,,0.0,,3.0,2.0,85.0,,,,,,,,,,,,
wilkide01,1998,1,TBL,NHL,G,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
