playerid,year,stint,tmid,s,g,gdg
perryco01,2009,1,AND,13,3,0
milledr01,2009,2,DET,2,1,1
kovalil01,2009,2,NJD,1,0,0
subbapk01,2011,1,MTL,0,1,0
cammami01,2008,1,CAL,5,1,0
hainsro01,2006,1,CBS,1,0,0
doughdr01,2009,1,LAK,2,1,0
clearda01,2006,1,DET,4,2,0
spezzja01,2009,1,OTT,7,3,1
paveljo01,2010,1,SJS,9,2,1
samsose01,2005,1,BOS,3,0,0
bourqre01,2011,2,MTL,2,4,0
filppva01,2009,1,DET,4,1,0
smolibr01,2006,2,VAN,1,1,0
kwiatjo01,2006,1,FLO,1,0,0
ribeimi01,2009,1,DAL,12,1,0
weighdo01,2007,1,STL,1,0,0
richabr02,2009,1,LAK,1,0,0
muellpe01,2009,2,COL,1,1,0
oreilca01,2010,1,NAS,6,3,1
hagmani01,2008,1,TOR,5,1,1
taffeje01,2006,1,PHO,1,0,0
spezzja01,2011,1,OTT,6,10,3
hortona01,2011,1,BOS,1,1,0
connoti01,2007,1,BUF,3,0,0
johnser01,2010,1,STL,2,0,0
kopitan01,2007,1,LAK,8,3,0
kulikdm01,2011,1,FLO,2,4,1
sykorpe01,2005,2,NYR,6,5,3
nealja01,2010,2,PIT,4,3,2
havlama01,2005,1,OTT,1,0,0
giontbr01,2010,1,MTL,6,1,1
vanekth01,2005,1,BUF,6,2,1
niedero01,2005,1,ANA,1,1,1
brassde01,2008,1,CBS,2,1,0
clowery01,2009,1,SJS,9,3,2
berglpa01,2009,1,STL,1,0,0
kronwni01,2009,1,DET,2,1,1
robitlu01,2005,1,LAK,3,2,1
burnsbr01,2008,1,MIN,3,0,0
tangual01,2005,1,COL,6,2,1
kozlovi01,2007,1,WAS,7,3,1
stollja01,2006,1,EDM,1,0,0
kubafi01,2006,1,TBL,2,0,0
kotalal01,2006,1,BUF,7,5,4
lupuljo01,2009,1,AND,2,1,0
sturmma01,2006,1,BOS,11,4,2
umberrj01,2009,1,CBS,2,0,0
nealja01,2008,1,DAL,7,5,2
wolskwo01,2011,2,FLO,3,7,1
kaneev01,2010,1,ATL,4,0,0
