year,lgid,tmid,oppid,w,l,t,otl
1972,NHL,CLF,VAN,1,4,0.0,
1995,NHL,MTL,BUF,2,3,0.0,
2008,NHL,DET,SJS,2,2,,0
1996,NHL,NYI,PHI,3,1,1.0,
1998,NHL,SJS,NYR,0,1,1.0,
1968,NHL,STL,TOR,1,4,1.0,
1996,NHL,FLO,DET,1,1,0.0,
1982,NHL,WIN,NYR,1,1,1.0,
1974,NHL,STL,WAS,4,0,0.0,
2008,NHL,LAK,WAS,2,0,,0
2009,NHL,CHI,MIN,3,0,,1
1987,NHL,HAR,CHI,2,1,0.0,
1982,NHL,WIN,DET,3,0,0.0,
1981,NHL,WAS,NYR,2,3,3.0,
2001,NHL,ATL,DET,0,1,0.0,0
2011,NHL,CBS,BUF,1,1,,0
1973,WHA,NYJ,WIJ,2,4,0.0,
1995,NHL,OTT,PHI,0,4,0.0,
2001,NHL,WAS,STL,0,2,0.0,0
2001,NHL,BOS,NJD,2,0,0.0,2
2008,NHL,TBL,COL,0,1,,1
2009,NHL,DET,TBL,1,0,,0
2009,NHL,CAR,TOR,3,1,,0
2011,NHL,NJD,FLO,2,2,,0
1997,NHL,NJD,BUF,4,0,0.0,
1970,NHL,MTL,BOS,1,5,0.0,
2002,NHL,LAK,CHI,1,2,0.0,1
1995,NHL,NYR,NYI,5,1,0.0,
1992,NHL,TOR,BUF,0,1,1.0,
2003,NHL,NAS,EDM,2,1,1.0,0
1971,NHL,BUF,NYR,0,6,0.0,
1997,NHL,FLO,PHO,0,2,0.0,
1981,NHL,TOR,CAL,0,1,2.0,
1992,NHL,MTL,HAR,5,2,0.0,
2010,NHL,COL,CAL,1,5,,0
1985,NHL,STL,NYR,1,1,1.0,
2001,NHL,MTL,ATL,3,0,1.0,0
1983,NHL,PHI,STL,1,2,0.0,
1992,NHL,MNS,STL,3,5,1.0,
1995,NHL,SJS,OTT,1,0,1.0,
1977,NHL,MTL,CLE,4,1,0.0,
1991,NHL,BOS,NJD,1,2,0.0,
2011,NHL,NYI,AND,0,1,,0
1981,NHL,BUF,BOS,2,5,1.0,
2010,NHL,MTL,CAL,1,1,,0
1988,NHL,NYI,PHI,1,5,1.0,
1995,NHL,HAR,WIN,1,1,0.0,
1969,NHL,BOS,DET,1,2,5.0,
2002,NHL,ANA,MTL,1,0,1.0,0
1990,NHL,HAR,WIN,1,2,0.0,
2010,NHL,NYR,PIT,4,1,,1
1977,NHL,DET,LAK,3,2,1.0,
2000,NHL,WAS,NYR,1,3,0.0,0
1987,NHL,BOS,TOR,2,1,0.0,
2005,NHL,VAN,NYI,1,0,,0
2008,NHL,FLO,CAL,1,0,,0
1975,NHL,BUF,PHI,0,3,1.0,
2005,NHL,MIN,DAL,1,2,,1
2007,NHL,MTL,STL,0,0,,1
2010,NHL,FLO,CBS,0,0,,2
2002,NHL,ATL,COL,1,0,0.0,0
1983,NHL,WIN,MNS,1,2,0.0,
1997,NHL,PIT,FLO,1,2,1.0,
1995,NHL,COL,FLO,1,0,1.0,
1946,NHL,MTL,NYR,6,5,1.0,
2010,NHL,CAR,OTT,3,1,,0
2000,NHL,CAL,FLO,0,0,1.0,0
1983,NHL,QUE,MTL,5,3,0.0,
1910,NHA,MOW,OT1,1,3,0.0,
1988,NHL,DET,NYR,3,0,0.0,
2000,NHL,PHI,PHO,0,2,0.0,0
1926,NHL,PIP,BOS,2,4,0.0,
2010,NHL,PHI,CHI,1,0,,0
1924,WCHL,VMR,REG,4,1,0.0,
2011,NHL,NYR,PIT,2,4,,0
2001,NHL,BUF,MTL,4,1,0.0,0
1999,NHL,NYR,CAL,1,0,0.0,0
2000,NHL,DAL,NJD,0,2,0.0,0
2008,NHL,STL,SJS,2,1,,1
1998,NHL,NAS,STL,2,4,0.0,
2009,NHL,MTL,PIT,1,3,,0
2010,NHL,COL,SJS,1,2,,1
1983,NHL,TOR,HAR,1,2,0.0,
1981,NHL,PIT,EDM,0,3,0.0,
1997,NHL,STL,PHI,1,1,0.0,
2006,NHL,PHI,NJD,1,4,,3
2007,NHL,TOR,WAS,2,2,,0
1969,NHL,TOR,MNS,2,2,2.0,
1992,NHL,OTT,PIT,1,3,0.0,
1996,NHL,BUF,COL,1,0,1.0,
1998,NHL,LAK,EDM,3,0,1.0,
2005,NHL,VAN,EDM,2,4,,2
2008,NHL,PIT,OTT,1,2,,1
2002,NHL,BUF,TOR,2,2,0.0,1
1983,NHL,DET,PIT,3,0,0.0,
1966,NHL,MTL,DET,10,4,0.0,
1991,NHL,DET,MNS,3,4,1.0,
1916,NHA,MOW,TOB,2,1,0.0,
2002,NHL,STL,MTL,1,0,0.0,0
1991,NHL,QUE,HAR,5,3,0.0,
1996,NHL,PHI,NYI,1,3,1.0,
1971,NHL,MTL,CHI,2,1,3.0,
2006,NHL,CBS,COL,1,3,,0
2009,NHL,ATL,NJD,1,3,,0
2007,NHL,TOR,BOS,3,5,,0
1987,NHL,STL,PHI,1,2,0.0,
1997,NHL,MTL,WAS,1,2,1.0,
2003,NHL,CAR,ANA,0,2,0.0,0
1987,NHL,TOR,HAR,0,3,0.0,
1981,NHL,CAL,EDM,2,5,1.0,
1972,WHA,CLC,QUN,5,2,1.0,
1994,NHL,WAS,HAR,2,1,1.0,
1935,NHL,CHI,TOR,3,3,0.0,
2002,NHL,FLO,DAL,1,1,0.0,0
1991,NHL,CAL,WIN,2,4,1.0,
2008,NHL,LAK,TOR,0,1,,0
1975,WHA,EDO,CLC,2,2,0.0,
1996,NHL,LAK,HAR,2,0,0.0,
1974,WHA,CHC,SDM,3,3,0.0,
