playerid,year,ppa,sha
tantito01,1990,5,
brookbo01,1989,1,2
kennede01,1988,,2
stastpe01,1989,23,
huberwi01,1987,14,
hullbr01,1987,10,
poulida02,1989,1,1
tuckejo01,1990,1,
archida01,1989,4,
paslagr01,1990,3,1
manthmo01,1987,15,1
grahadi01,1987,7,1
macdepa01,1989,2,
bassebo01,1988,,1
carpebo01,1988,4,
hunteda01,1987,1,4
carsoli01,1987,1,1
nichobe01,1989,37,1
petitmi01,1987,9,1
makelmi01,1989,1,
libaig01,1988,6,
fentopa01,1990,2,
ysebapa01,1990,4,1
ciccadi01,1988,10,1
sheehne01,1987,1,
coxecr01,1987,1,
erickbr01,1987,6,
bennibr01,1989,5,
ferrara01,1990,5,
adamsgr01,1988,1,
donnemi01,1987,2,
ledyagr01,1988,6,
murphla01,1990,19,
ramagro01,1987,19,2
samueul01,1990,,2
hunteda01,1988,,1
pederma01,1990,7,
loisecl01,1990,1,1
gingrga01,1987,9,
sandsto01,1989,20,
cunnera01,1989,4,
josepch01,1987,6,
dineego01,1988,2,
archida01,1989,4,
lawlepa01,1987,3,
erickbr01,1987,6,
frasecu01,1987,2,
loisecl01,1990,1,1
adamsgr01,1988,1,
malondo01,1988,2,
wilsoca01,1990,4,
cunnera01,1989,4,
libaig01,1988,6,
grahadi01,1987,7,1
pavesji01,1987,1,
maroima01,1988,3,
cyrpa01,1987,1,
playfla01,1988,,1
maclebr01,1988,8,
larsore01,1988,14,
poulida02,1989,1,1
bennibr01,1989,5,
creigad01,1988,7,
foligmi01,1990,1,
carsoji01,1989,5,
ciccadi01,1988,10,1
joycebo01,1989,3,
vaiveri01,1988,15,
goulemi01,1989,15,1
sandsto01,1989,20,
bodgedo01,1988,25,1
maclebr01,1988,8,
archida01,1989,4,
deblolu01,1990,,1
franclo01,1990,1,1
malondo01,1988,2,
bullami01,1988,13,
dineego01,1988,2,
tuckejo01,1989,6,
mcintjo01,1990,,2
mcbeawa01,1988,1,
manthmo01,1987,15,1
murphla01,1988,22,
donnemi01,1987,2,
nichobe01,1989,37,1
