type,code,fullname
Division,AD,Adams Division
Round,F,Finals
Playoffs,WF,Lost WCHL finals
Playoffs,DF,Lost NHL division finals
Round,SF,Semi-Finals
Round,CSF,Conference Semi-Finals
Division,WW,WHA West Division
Division,NE,Northeast Division
Playoffs,ND,ND - Stanley Cup finals halted (influenza epidemic)
Playoffs,QF,Lost NHL quarter-finals
Round,SCF,Stanley Cup Finals
Playoffs,AVC,Won AVCO Cup
Division,NO,Norris Division
Playoffs,AVQF,Lost AVCO Cup quarter-finals
Round,CQF,Conference Quarter-Finals
Conference,EC,Eastern Conference
Playoffs,WSF,Lost WCHL semi-finals
Round,SCSF,Stanley Cup Semi-Finals
Playoffs,NHLF,Lost NHL finals
Playoffs,CQF,Lost NHL conference quarter-finals
Division,PT,Patrick Division
Playoffs,SC,Won Stanley Cup
Division,SM,Smythe Division
Division,AT,Atlantic Division
Round,WP,Western Playoff
Playoffs,SF,Lost NHL semi-finals
Round,DSF,Division Semi-Finals
Division,WD,West Division
Division,AM,American Division
Playoffs,F,Lost Stanley Cup finals
Playoffs,PF,Lost PCHA finals
Conference,WC,Western Conference
Playoffs,SCSF,Lost Stanley Cup semi-finals
Playoffs,PRE,Lost NHL preliminary round
Playoffs,AVPRE,Lost AVCO Cup preliminary round
Round,ACF,Avco Cup Finals
Conference,CC,Campbell Conference
Division,EW,WHA East Division
Round,QF,Quarter-Finals
Division,CW,WHA Canadian Division
Division,NW,Northwest Division
Division,PC,Pacific Division
Playoffs,WCS,Won Challenge Series
Playoffs,CF,Lost NHL conference finals
Playoffs,AVSF,Lost AVCO Cup semi-finals
Playoffs,LCS,Won Stanley Cup / Lost Challenge Series
Round,DF,Division Finals
Playoffs,NHAF,Lost NHA finals
Round,CF,Conference Finals
Division,CE,Central Division
Division,CA,Canadian Division
Playoffs,CSF,Lost NHL conference semi-finals
Playoffs,AVF,Lost AVCO Cup finals
Conference,WA,Wales Conference
Division,SE,Southeast Division
Division,ED,East Division
Playoffs,DSF,Lost NHL division semi-finals
Round,Pre,Preliminary
