year,lgid,tmid,hw,hl,ht,hotl,rw,rl,rt,rotl,sepw,sepl,sept,sepol,octw,octl,octt,octol,novw,novl,novt,novol,decw,decl,dect,decol,janw,janl,jant,janol,febw,febl,febt,febol,marw,marl,mart,marol,aprw,aprl,aprt,aprol
1943,NHL,BOS,15,8,2.0,,4,18,3.0,,,,,,0,0,1,,5,6,1,,5,2,2,,3,8,0.0,,3,6,0.0,,3,4,1,,,,,
2008,NHL,NAS,24,13,,4,16,21,,4,,,,,5,4,,1,6,6,,1,6,6,,1,4,8,,0,10,4,,1,7,3,,4,2,3,,0
1973,WHA,EDO,24,14,1.0,,14,23,2.0,,,,,,6,1,0,,9,5,0,,5,9,0,,5,8,0.0,,5,7,0.0,,7,6,3,,1,1,0,
1913,NHA,MOW,4,6,0.0,,3,7,0.0,,,,,,,,,,,,,,2,0,0,,0,9,0.0,,4,4,0.0,,1,0,0,,,,,
1984,NHL,LAK,20,14,6.0,,14,18,8.0,,,,,,2,6,3,,9,3,0,,4,5,5,,7,6,1.0,,6,4,2.0,,5,7,2,,1,1,1,
1985,NHL,DET,10,26,4.0,,7,31,2.0,,,,,,1,8,2,,5,5,2,,2,11,0,,3,11,1.0,,1,10,0.0,,4,9,1,,1,3,0,
1998,NHL,NYR,17,19,5.0,,16,19,6.0,,,,,,3,4,3,,3,5,4,,7,6,0,,6,7,0.0,,6,6,0.0,,6,5,3,,2,5,1,
1995,NHL,NYR,22,10,9.0,,19,17,5.0,,,,,,7,3,1,,7,5,2,,11,3,3,,5,0,4.0,,5,6,1.0,,4,4,3,,2,6,0,
2007,NHL,VAN,21,15,,5,18,18,,5,,,,,5,7,,0,9,2,,2,8,5,,2,4,7,,1,6,1,,5,7,8,,0,0,3,,0
1998,NHL,NAS,15,22,4.0,,13,25,3.0,,,,,,3,5,1,,6,7,0,,4,6,2,,5,9,1.0,,3,6,2.0,,5,8,1,,2,6,0,
1997,NHL,COL,21,10,10.0,,18,16,7.0,,,,,,7,2,5,,6,4,3,,8,2,4,,5,5,4.0,,5,1,0.0,,6,7,0,,2,5,1,
1993,NHL,DET,23,13,6.0,,23,17,2.0,,,,,,5,7,0,,6,3,2,,9,3,1,,8,3,2.0,,9,4,0.0,,7,7,1,,2,3,2,
1970,NHL,VAN,17,18,4.0,,7,28,4.0,,,,,,3,6,2,,6,7,1,,5,7,0,,1,10,2.0,,3,7,1.0,,5,8,2,,1,1,0,
1976,WHA,NEW,20,16,4.0,,15,24,2.0,,,,,,4,4,1,,4,8,2,,8,6,1,,4,10,1.0,,6,6,1.0,,8,5,0,,1,1,0,
1984,NHL,NYR,16,18,6.0,,10,26,4.0,,,,,,4,4,1,,4,7,1,,4,8,3,,5,6,3.0,,3,8,1.0,,5,9,1,,1,2,0,
1981,NHL,HAR,13,17,10.0,,8,24,8.0,,,,,,1,4,5,,3,7,3,,6,7,1,,4,6,3.0,,3,8,2.0,,4,8,3,,0,1,1,
1972,NHL,NYR,26,8,5.0,,21,15,3.0,,,,,,6,3,1,,9,4,1,,8,5,1,,11,1,1.0,,7,3,2.0,,6,7,1,,0,0,1,
1909,NHA,OT1,5,1,0.0,,4,2,0.0,,,,,,,,,,,,,,,,,,4,0,0.0,,5,1,0.0,,0,2,0,,,,,
1973,NHL,BOS,33,4,2.0,,19,13,7.0,,,,,,7,2,1,,9,2,1,,8,2,1,,9,2,3.0,,9,2,1.0,,9,5,2,,1,2,0,
1923,WCHL,CAT,13,2,0.0,,5,9,1.0,,,,,,,,,,,,,,6,1,0,,7,5,0.0,,5,5,0.0,,0,0,1,,,,,
1971,NHL,CLF,14,12,13.0,,7,27,5.0,,,,,,3,5,3,,5,9,0,,3,6,4,,6,5,3.0,,1,6,5.0,,3,7,3,,0,1,0,
1973,WHA,WIJ,26,11,2.0,,8,28,3.0,,,,,,4,5,1,,5,8,2,,8,5,1,,7,4,0.0,,5,8,1.0,,5,7,0,,0,2,0,
1988,NHL,MNS,17,15,8.0,,10,22,8.0,,,,,,2,8,1,,5,5,3,,5,6,3,,4,4,5.0,,4,6,2.0,,7,7,2,,0,1,0,
1927,NHL,OTS,13,4,5.0,,7,10,5.0,,,,,,,,,,3,4,0,,4,2,4,,5,4,1.0,,4,1,4.0,,4,3,1,,,,,
1911,NHA,MOC,4,5,0.0,,4,5,0.0,,,,,,,,,,,,,,,,,,5,4,0.0,,2,6,0.0,,1,0,0,,,,,
1976,NHL,ATF,22,11,7.0,,12,23,5.0,,,,,,5,6,2,,6,2,4,,7,5,1,,5,4,4.0,,3,9,0.0,,7,8,0,,1,0,1,
1945,NHL,MTL,16,6,3.0,,12,11,2.0,,,,,,1,0,0,,7,4,0,,5,3,3,,4,5,0.0,,7,3,0.0,,4,2,2,,,,,
1954,NHL,NYR,10,12,13.0,,7,23,5.0,,,,,,5,4,1,,3,6,3,,1,8,6,,4,7,3.0,,1,6,4.0,,3,4,1,,,,,
1915,NHA,MOW,5,6,0.0,,5,8,0.0,,,,,,,,,,,,,,4,0,0,,3,5,0.0,,3,4,0.0,,0,5,0,,,,,
2006,NHL,CAR,21,16,,4,19,18,,4,,,,,5,5,,2,9,5,,1,7,6,,1,5,5,,2,6,6,,1,6,5,,1,2,2,,0
1988,NHL,CHI,16,14,10.0,,11,27,2.0,,,,,,3,9,1,,3,7,3,,4,8,0,,6,5,3.0,,6,3,3.0,,4,8,2,,1,1,0,
1985,NHL,EDM,32,6,2.0,,24,11,5.0,,,,,,8,1,0,,8,3,3,,10,3,1,,10,4,1.0,,7,3,1.0,,11,2,1,,2,1,0,
2009,NHL,OTT,26,11,,4,18,21,,2,,,,,6,4,,2,7,3,,2,8,9,,0,10,5,,0,5,2,,0,6,7,,1,2,2,,1
2002,NHL,MIN,25,13,3.0,0,17,16,7.0,1,,,,,8,1,2,0,5,6,3,0,7,4,2,1,5,7,1.0,0,7,4,0.0,0,9,5,2,0,1,2,0,0
1954,NHL,BOS,16,10,9.0,,7,16,12.0,,,,,,1,4,3,,5,5,2,,4,6,2,,7,4,5.0,,3,2,8.0,,3,5,1,,,,,
1989,NHL,DET,20,14,6.0,,8,24,8.0,,,,,,4,6,2,,2,10,1,,6,5,3,,6,6,0.0,,5,5,4.0,,5,6,3,,0,0,1,
2001,NHL,MTL,21,13,6.0,1,15,18,6.0,2,,,,,5,5,1,0,7,3,2,1,4,8,2,1,6,5,3.0,1,3,3,0.0,0,6,5,4,0,5,2,0,0
1973,NHL,PHI,28,6,5.0,,22,10,7.0,,,,,,6,3,0,,7,3,2,,8,2,2,,9,3,2.0,,5,3,4.0,,12,1,2,,3,1,0,
2005,NHL,DET,27,9,,5,31,7,,3,,,,,11,1,,0,7,5,,2,8,3,,1,8,4,,2,5,1,,0,11,1,,3,8,1,,0
2002,NHL,BOS,23,11,5.0,2,13,20,6.0,2,,,,,6,2,2,0,10,1,1,1,5,8,1,0,5,8,1.0,0,2,6,3.0,1,7,5,2,2,1,1,1,0
1967,NHL,MTL,26,5,6.0,,16,17,4.0,,,,,,5,1,2,,3,8,3,,6,5,3,,10,0,1.0,,10,2,1.0,,8,6,0,,,,,
1982,NHL,HAR,13,22,5.0,,6,32,2.0,,,,,,2,6,2,,3,8,1,,5,8,2,,3,10,1.0,,3,10,0.0,,3,10,1,,0,2,0,
1989,NHL,VAN,13,16,11.0,,12,25,3.0,,,,,,7,5,1,,2,7,3,,3,7,4,,2,11,1.0,,6,6,2.0,,5,5,3,,,,,
1972,NHL,BOS,27,10,2.0,,24,12,3.0,,,,,,5,5,1,,9,2,2,,11,1,0,,5,7,1.0,,10,2,1.0,,11,4,0,,0,1,0,
1962,NHL,TOR,21,8,6.0,,14,15,6.0,,,,,,3,5,1,,7,4,1,,8,2,3,,7,6,2.0,,4,4,2.0,,6,2,3,,,,,
2009,NHL,ATL,19,16,,6,16,18,,7,,,,,5,4,,1,9,3,,2,4,10,,1,6,5,,4,2,2,,2,8,7,,2,1,3,,1
1975,NHL,BOS,27,5,8.0,,21,10,9.0,,,,,,4,3,2,,8,3,4,,8,3,2,,10,1,1.0,,10,1,2.0,,7,3,5,,1,1,1,
1948,NHL,CHI,13,12,5.0,,8,19,3.0,,,,,,1,5,0,,6,4,1,,6,4,1,,3,7,3.0,,3,6,2.0,,2,5,1,,,,,
1935,NHL,CHI,15,7,2.0,,6,12,6.0,,,,,,,,,,4,2,1,,5,4,1,,6,4,1.0,,4,5,3.0,,2,4,2,,,,,
1963,NHL,MTL,22,7,6.0,,14,14,7.0,,,,,,3,3,2,,6,3,3,,9,4,1,,6,3,4.0,,9,3,1.0,,3,5,2,,,,,
1925,WCHL,VMR,6,8,1.0,,4,10,1.0,,,,,,,,,,1,2,0,,3,4,1,,4,4,0.0,,2,4,1.0,,0,4,0,,,,,
1951,NHL,BOS,15,12,8.0,,10,17,8.0,,,,,,3,3,1,,2,4,7,,5,7,1,,5,7,2.0,,3,6,2.0,,7,2,3,,,,,
1975,NHL,DET,17,15,8.0,,9,29,2.0,,,,,,1,7,3,,6,7,1,,4,7,0,,5,7,3.0,,3,8,2.0,,7,6,1,,0,2,0,
1967,NHL,BOS,22,9,6.0,,15,18,4.0,,,,,,5,1,1,,8,4,1,,6,6,2,,5,7,2.0,,6,4,4.0,,7,5,0,,,,,
1979,NHL,CHI,21,12,7.0,,13,15,12.0,,,,,,3,4,3,,5,4,4,,4,5,5,,8,5,1.0,,7,3,1.0,,6,3,5,,1,3,0,
1972,WHA,OTN,21,15,3.0,,14,24,1.0,,,,,,5,4,0,,5,6,1,,6,8,2,,3,11,0.0,,6,7,1.0,,10,2,0,,0,1,0,
1990,NHL,NJD,23,10,7.0,,9,23,8.0,,,,,,8,4,1,,5,6,2,,6,3,6,,3,8,1.0,,5,6,1.0,,5,6,4,,,,,
2003,NHL,CAL,21,14,5.0,1,21,16,2.0,2,,,,,4,4,0,1,5,4,1,2,10,3,2,0,6,8,1.0,0,7,5,1.0,0,9,5,2,0,1,1,0,0
1997,NHL,DAL,26,8,7.0,,23,14,4.0,,,,,,9,4,1,,9,3,3,,7,2,3,,8,4,1.0,,5,0,0.0,,5,5,3,,6,4,0,
2008,NHL,NYR,26,11,,4,17,19,,5,,,,,10,2,,1,7,6,,1,6,5,,1,6,5,,1,3,6,,4,8,4,,1,3,2,,0
1992,NHL,BOS,29,10,3.0,,22,16,4.0,,,,,,7,2,1,,7,5,1,,7,7,0,,8,5,2.0,,4,3,3.0,,11,4,0,,7,0,0,
1994,NHL,NYI,10,11,3.0,,5,17,2.0,,,,,,,,,,,,,,,,,,3,2,1.0,,5,6,2.0,,2,10,1,,5,9,1,
1998,NHL,PIT,21,10,10.0,,17,20,4.0,,,,,,4,3,2,,6,3,3,,5,4,2,,8,5,0.0,,9,5,0.0,,4,5,6,,2,5,1,
1974,NHL,VAN,23,12,5.0,,15,20,5.0,,,,,,5,3,2,,10,3,2,,7,4,1,,3,10,0.0,,5,5,1.0,,5,7,4,,3,0,0,
1982,NHL,STL,16,16,8.0,,9,24,7.0,,,,,,5,7,0,,4,7,3,,5,8,1,,2,5,6.0,,3,6,3.0,,5,6,2,,1,1,0,
1970,NHL,LAK,17,14,8.0,,8,26,5.0,,,,,,4,4,0,,4,7,1,,2,7,4,,4,5,6.0,,4,9,0.0,,5,8,2,,2,0,0,
2005,NHL,ANA,26,10,,5,17,17,,7,,,,,6,5,,1,5,6,,3,6,4,,2,7,2,,4,3,2,,1,11,4,,1,5,4,,0
2005,NHL,NYI,20,18,,3,16,22,,3,,,,,5,6,,0,7,6,,1,5,6,,1,6,7,,1,2,3,,1,8,7,,1,3,5,,1
1999,NHL,DAL,21,11,5.0,4,22,12,5.0,2,,,,,6,5,1,0,5,5,2,1,8,4,2,0,8,3,0.0,1,7,3,1.0,1,9,1,2,2,0,2,2,1
2009,NHL,LAK,22,13,,6,24,14,,3,,,,,8,4,,2,7,6,,0,8,5,,1,10,4,,0,4,1,,1,6,7,,2,3,0,,3
1980,NHL,STL,29,7,4.0,,16,11,13.0,,,,,,6,2,3,,9,4,1,,9,3,1,,6,3,3.0,,8,1,5.0,,6,4,3,,1,1,1,
1981,NHL,STL,22,14,4.0,,10,26,4.0,,,,,,4,6,2,,4,7,2,,10,4,0,,6,6,0.0,,3,9,1.0,,4,7,3,,1,1,0,
1978,WHA,BIR,20,16,5.0,,12,26,1.0,,,,,,4,3,0,,4,8,1,,6,7,2,,4,6,0.0,,5,6,1.0,,6,8,2,,3,4,0,
1982,NHL,NYI,26,11,3.0,,16,15,9.0,,,,,,11,2,0,,4,7,5,,4,6,2,,9,2,1.0,,4,5,3.0,,9,3,1,,1,1,0,
1996,NHL,SJS,14,23,4.0,,13,24,4.0,,,,,,5,5,3,,3,8,1,,6,6,0,,4,7,1.0,,4,7,2.0,,3,10,0,,2,4,1,
1935,NHL,DET,14,5,5.0,,10,11,3.0,,,,,,,,,,1,2,4,,6,3,2,,6,4,0.0,,7,2,1.0,,4,5,1,,,,,
1967,NHL,PIT,15,12,10.0,,12,22,3.0,,,,,,3,6,1,,6,3,2,,4,8,2,,4,7,2.0,,4,5,3.0,,6,5,3,,,,,
1992,NHL,EDM,16,21,5.0,,10,29,3.0,,,,,,3,8,1,,5,4,3,,5,9,1,,5,6,3.0,,5,7,0.0,,3,10,0,,0,6,0,
1975,NHL,PHI,36,2,2.0,,15,11,14.0,,,,,,7,1,2,,9,2,4,,6,3,2,,8,4,2.0,,10,0,4.0,,9,2,2,,2,1,0,
1997,NHL,TOR,16,20,5.0,,14,23,4.0,,,,,,3,6,2,,5,7,1,,5,6,3,,4,8,1.0,,3,3,1.0,,6,8,1,,4,5,0,
2006,NHL,CHI,17,20,,4,14,22,,5,,,,,4,8,,0,4,4,,2,8,5,,3,2,8,,2,5,6,,2,5,9,,0,3,2,,0
1992,NHL,NYR,20,17,5.0,,14,22,6.0,,,,,,7,4,1,,4,6,2,,8,6,1,,4,5,3.0,,5,4,3.0,,5,6,1,,1,8,0,
1929,NHL,DTC,9,10,3.0,,5,14,3.0,,,,,,,,,,1,5,1,,5,5,0,,5,4,2.0,,2,6,2.0,,1,4,1,,,,,
1938,NHL,NYR,13,8,3.0,,13,8,3.0,,,,,,,,,,5,2,0,,7,3,1,,5,3,2.0,,6,3,2.0,,3,5,1,,,,,
2005,NHL,LAK,26,14,,1,16,21,,4,,,,,8,4,,0,8,5,,1,9,5,,1,5,7,,2,2,2,,1,6,8,,0,4,4,,0
2000,NHL,TOR,19,11,7.0,4,18,18,4.0,1,,,,,6,5,0,0,7,2,3,2,7,5,1,1,5,5,3.0,1,4,5,3.0,0,6,6,1,1,2,1,0,0
2000,NHL,VAN,21,12,5.0,3,15,16,6.0,4,,,,,6,2,2,1,7,6,1,1,6,3,1,2,8,7,0.0,0,6,3,1.0,1,2,4,6,2,1,3,0,0
1933,NHL,CHI,13,4,7.0,,7,13,4.0,,,,,,,,,,5,3,1,,5,3,3,,4,3,4.0,,3,4,3.0,,3,4,0,,,,,
1979,NHL,LAK,18,13,9.0,,12,23,5.0,,,,,,5,3,2,,5,5,3,,7,4,1,,4,8,3.0,,4,10,0.0,,4,4,5,,1,2,0,
2001,NHL,ATL,11,21,9.0,0,8,26,2.0,5,,,,,3,4,1,2,2,11,1,0,3,8,3,1,5,8,1.0,1,2,3,1.0,0,4,10,1,0,0,3,3,1
1993,NHL,NYR,28,8,6.0,,24,16,2.0,,,,,,7,5,1,,11,1,1,,8,3,1,,7,4,0.0,,7,5,1.0,,7,5,3,,5,1,1,
1927,NHL,TOR,9,8,5.0,,9,10,3.0,,,,,,,,,,3,2,0,,3,4,3,,6,5,0.0,,3,4,3.0,,3,3,2,,,,,
1985,NHL,TOR,16,21,3.0,,9,27,4.0,,,,,,1,8,0,,4,7,3,,4,5,2,,4,11,0.0,,6,6,1.0,,6,8,0,,0,3,1,
2008,NHL,BOS,29,6,,6,24,13,,4,,,,,5,3,,3,11,1,,1,12,1,,0,8,3,,2,6,4,,3,7,5,,1,4,2,,0
1999,NHL,FLO,26,9,4.0,2,17,18,2.0,4,,,,,6,3,1,2,7,3,1,0,7,4,1,1,9,4,1.0,0,5,6,0.0,2,7,6,1,0,2,1,1,1
1994,NHL,EDM,11,12,1.0,,6,15,3.0,,,,,,,,,,,,,,,,,,2,4,0.0,,5,6,2.0,,5,7,1,,5,8,1,
1997,NHL,CAL,18,17,6.0,,8,24,9.0,,,,,,3,8,2,,2,7,5,,6,8,1,,3,6,3.0,,2,1,1.0,,8,6,1,,2,5,2,
1999,NHL,CAL,20,14,6.0,1,11,22,4.0,4,,,,,3,8,2,0,5,6,0,0,8,2,3,1,7,6,0.0,0,3,3,2.0,4,4,8,2,0,1,3,1,0
1990,NHL,EDM,22,15,3.0,,15,22,3.0,,,,,,2,7,2,,5,7,0,,11,3,0,,7,5,1.0,,5,8,1.0,,7,7,2,,,,,
1982,NHL,QUE,23,10,7.0,,11,24,5.0,,,,,,6,4,1,,6,6,1,,5,4,4,,7,7,0.0,,4,5,4.0,,4,8,2,,2,0,0,
2009,NHL,DAL,23,11,,7,14,20,,7,,,,,6,3,,5,6,5,,2,6,3,,4,6,9,,0,4,1,,1,6,8,,2,3,2,,0
2011,NHL,MTL,16,15,,10,15,20,,6,,,,,4,5,,2,6,6,,2,4,7,,3,5,4,,2,5,8,,1,5,5,,5,2,0,,1
1977,NHL,CLE,14,17,9.0,,8,28,4.0,,,,,,4,5,0,,3,8,2,,3,10,2,,7,7,0.0,,2,7,4.0,,2,6,4,,1,2,1,
1926,NHL,MTM,6,13,3.0,,14,7,1.0,,,,,,,,,,3,4,0,,2,4,2,,5,5,1.0,,8,3,0.0,,2,4,1,,,,,
2007,NHL,STL,20,15,,6,13,21,,7,,,,,6,4,,0,8,4,,1,5,6,,3,4,5,,3,5,7,,3,3,9,,2,2,1,,1
1941,NHL,NYR,15,8,1.0,,14,9,1.0,,,,,,,,,,6,5,0,,8,3,0,,6,1,1.0,,7,5,0.0,,2,3,1,,,,,
