playerid,year,stint,tmid,lgid,gp,min,w,l,t/ol,eng,sho,ga,sa,postgp,postmin,postw,postl,postt,posteng,postsho,postga,postsa
lalimpa01,2000,1,OTT,NHL,60,3607,36,19,5,3,7,141,1640,4,251,0,4,,0,0,10,99
rollial01,1959,1,NYR,NHL,10,600,3,4,3,,0,31,,,,,,,,,,
berkhad01,2005,1,ATL,NHL,9,473,2,4,1,0,0,30,255,,,,,,,,,
benedcl01,1921,1,OTS,NHL,24,1510,14,8,2,,2,84,,2,120,0,1,1,,1,5,
norrija01,1974,1,PHR,WHA,33,1962,14,15,4,1,1,107,979,2,100,0,2,,0,0,10,
josepcu01,2007,1,CAL,NHL,9,400,3,2,0,1,0,17,181,2,79,1,0,,0,0,1,33
karlshe01,2010,1,CAL,NHL,17,838,4,5,6,4,0,36,391,,,,,,,,,
prusema01,2001,1,OTT,NHL,1,62,0,1,0,0,0,3,15,,,,,,,,,
mattsma01,1983,1,LAK,NHL,19,1101,7,8,2,1,1,79,530,,,,,,,,,
hebergu01,1999,1,ANA,NHL,68,3976,28,31,9,8,4,166,1805,,,,,,,,,
tabarri01,1994,1,WAS,NHL,8,394,1,3,2,0,0,16,147,,,,,,,,,
gigueje01,2008,1,AND,NHL,46,2458,19,18,6,3,2,127,1274,1,17,0,0,,1,0,0,6
hollake01,1983,1,DET,NHL,3,146,0,1,1,2,0,10,53,,,,,,,,,
gilbegi01,1977,1,BOS,NHL,25,1326,15,6,2,0,2,56,,,,,,,,,,
smithbi01,1976,1,NYI,NHL,36,2089,21,8,6,1,2,87,,10,580,7,3,,0,0,27,
mcnamge01,1960,1,TOR,NHL,5,300,2,2,1,,0,13,,,,,,,,,,
thibajo01,1995,2,MTL,NHL,40,2334,23,13,3,2,3,110,1258,6,311,2,4,,0,0,18,188
bouchda01,1974,1,ATF,NHL,40,2400,20,15,5,6,3,111,,,,,,,,,,
wilsodu01,1977,1,PIT,NHL,21,1180,5,11,3,0,0,95,,,,,,,,,,
kerrda01,1932,1,MTM,NHL,26,1520,14,8,3,,4,58,,2,120,0,2,0,,0,5,
wilkide01,1996,1,TBL,NHL,5,169,0,2,1,1,0,12,72,,,,,,,,,
smithga01,1974,1,VAN,NHL,72,3828,32,24,9,3,6,197,,4,257,1,3,,0,0,14,
