constructorstandingsid,raceid,constructorid,points,position,positiontext,wins
30,21,2,35.0,2,2,0
661,81,4,102.0,1,1,6
1572,169,20,0.0,11,11,0
2059,191,22,0.0,5,5,0
5130,247,17,13.0,4,4,0
5200,253,6,68.0,3,3,1
5267,208,25,0.0,10,10,0
5513,181,15,2.0,8,8,0
5616,141,15,4.0,3,3,0
5638,143,17,7.0,4,4,0
5685,147,20,1.0,10,10,0
5763,154,21,1.0,10,10,0
5781,156,17,19.0,5,5,0
5840,128,3,43.0,2,2,1
6183,94,19,1.0,7,7,0
6218,98,4,66.0,2,2,1
6250,101,16,76.0,3,3,0
7651,322,44,0.0,11,11,0
7806,330,45,0.0,16,16,0
8273,307,18,3.0,7,7,0
8408,314,34,0.0,15,15,0
8870,360,39,1.0,11,11,0
8903,362,3,35.0,2,2,1
9461,389,21,0.0,10,10,0
9594,398,25,8.0,6,6,0
9713,406,25,2.0,7,7,0
9817,413,25,5.0,7,7,0
9852,415,18,0.0,13,13,0
9857,416,22,10.0,6,6,0
9932,421,51,0.0,11,11,0
9963,423,18,0.0,15,15,0
10140,431,3,25.0,4,4,1
10155,432,51,0.0,10,10,0
10401,447,6,40.5,2,2,1
10634,462,34,41.0,3,3,1
11161,490,27,17.0,5,5,0
11182,491,32,13.0,7,7,0
11203,492,3,67.0,1,1,3
11418,505,27,39.0,2,2,1
19077,751,167,3.0,5,5,0
19901,727,54,0.0,12,12,0
20116,714,170,10.0,5,5,0
20349,699,186,0.0,11,11,0
21028,674,66,18.0,5,5,0
21370,665,6,7.0,5,5,0
21967,626,82,9.0,6,6,0
21970,626,83,0.0,11,11,0
22128,613,80,0.0,10,10,0
22282,595,1,37.0,1,1,3
22312,597,66,10.0,6,6,0
22442,604,77,0.0,14,14,0
22804,587,66,0.0,15,15,0
22820,588,56,0.0,17,17,0
22832,589,37,7.5,8,8,1
23126,575,3,0.0,17,17,0
23494,530,32,27.0,1,1,2
23999,513,59,0.0,12,12,0
24069,517,27,44.0,2,2,3
24120,520,27,47.0,2,2,3
24391,349,131,146.0,4,4,0
24411,350,166,0.0,12,12,0
24440,351,10,60.0,6,6,0
24607,847,166,0.0,12,12,0
24612,848,9,295.0,1,1,6
24625,849,1,218.0,2,2,2
25209,886,3,0.0,9,9,0
25514,257,3,6.0,2,2,0
25552,259,1,4.0,6,6,0
26573,958,10,74.0,5,5,0
26740,969,15,0.0,8,8,0
26823,978,6,275.0,2,2,3
