year,url
1950,http://en.wikipedia.org/wiki/1950_Formula_One_season
1960,http://en.wikipedia.org/wiki/1960_Formula_One_season
1961,http://en.wikipedia.org/wiki/1961_Formula_One_season
1962,http://en.wikipedia.org/wiki/1962_Formula_One_season
1963,http://en.wikipedia.org/wiki/1963_Formula_One_season
1964,http://en.wikipedia.org/wiki/1964_Formula_One_season
1966,http://en.wikipedia.org/wiki/1966_Formula_One_season
1968,http://en.wikipedia.org/wiki/1968_Formula_One_season
1969,http://en.wikipedia.org/wiki/1969_Formula_One_season
1972,http://en.wikipedia.org/wiki/1972_Formula_One_season
1975,http://en.wikipedia.org/wiki/1975_Formula_One_season
1978,http://en.wikipedia.org/wiki/1978_Formula_One_season
1980,http://en.wikipedia.org/wiki/1980_Formula_One_season
1987,http://en.wikipedia.org/wiki/1987_Formula_One_season
1991,http://en.wikipedia.org/wiki/1991_Formula_One_season
1994,http://en.wikipedia.org/wiki/1994_Formula_One_season
1995,http://en.wikipedia.org/wiki/1995_Formula_One_season
1998,http://en.wikipedia.org/wiki/1998_Formula_One_season
2001,http://en.wikipedia.org/wiki/2001_Formula_One_season
2002,http://en.wikipedia.org/wiki/2002_Formula_One_season
2003,http://en.wikipedia.org/wiki/2003_Formula_One_season
2009,http://en.wikipedia.org/wiki/2009_Formula_One_season
2012,http://en.wikipedia.org/wiki/2012_Formula_One_season
2013,http://en.wikipedia.org/wiki/2013_Formula_One_season
2015,http://en.wikipedia.org/wiki/2015_Formula_One_season
2017,https://en.wikipedia.org/wiki/2017_Formula_One_season
