driverstandingsid,raceid,driverid,points,position,positiontext,wins
3258,167,21,18.0,5,5,0
3352,171,25,2.0,14,14,0
9667,286,22,0.0,21,21,0
10661,207,30,6.0,2,2,0
11383,141,22,4.0,3,3,0
12570,97,2,3.0,14,14,0
16344,333,92,0.0,36,36,0
17158,307,110,0.0,27,27,0
17287,311,123,0.0,20,20,0
17630,320,127,0.0,25,25,0
17668,2,6,0.0,15,15,0
18023,12,16,0.0,18,18,0
18169,356,102,0.0,11,11,0
18477,364,95,25.0,3,3,1
19723,396,102,41.0,2,2,2
20162,411,77,6.0,9,9,0
20535,423,184,0.0,27,27,0
20924,433,95,22.0,6,6,1
20934,433,178,0.0,36,36,0
21338,446,137,18.0,7,7,2
21545,451,105,30.5,4,4,1
43401,837,741,0.0,27,27,0
43588,839,771,0.0,50,50,0
43781,828,518,0.0,24,24,0
44248,819,675,0.0,41,41,0
44573,823,632,2.0,17,17,0
45286,816,647,34.5,1,1,5
46099,793,579,10.0,2,2,1
46196,794,620,1.33,15,15,0
46225,795,626,0.0,48,48,0
47225,781,501,5.0,10,10,0
47288,781,431,0.0,38,38,0
47305,782,573,0.0,32,32,0
47342,782,592,0.0,57,57,0
48539,734,289,28.0,1,1,2
48769,691,356,3.0,6,6,0
48914,697,389,0.0,23,23,0
49858,749,430,0.0,22,22,0
54294,631,328,45.0,2,2,4
54303,631,337,0.0,25,25,0
54360,644,304,6.0,3,3,0
55352,592,308,0.0,25,25,0
55542,597,235,4.0,14,14,0
55682,600,308,0.0,35,35,0
56276,585,276,0.0,21,21,0
56744,567,207,3.0,14,14,0
56807,569,182,61.0,1,1,5
56821,569,197,0.0,19,19,0
56852,570,221,26.0,4,4,0
56936,571,242,0.0,45,45,0
57354,533,241,0.0,31,31,0
57387,534,230,0.0,19,19,0
57428,535,241,0.0,32,32,0
57481,536,209,0.0,38,38,0
57508,537,158,0.0,36,36,0
57594,539,243,0.0,24,24,0
58119,553,119,0.0,24,24,0
58194,555,251,0.0,31,31,0
58256,556,253,0.0,24,24,0
58595,516,182,1.0,12,12,0
58618,517,136,0.0,21,21,0
59211,507,223,0.0,24,24,0
62338,762,550,0.0,51,51,0
64195,352,153,3.0,19,19,0
64591,850,2,34.0,8,8,0
65674,886,17,69.0,5,5,0
66345,266,87,6.0,10,10,0
66358,266,110,4.0,17,17,0
66899,912,817,166.0,3,3,3
67067,927,815,1.0,14,14,0
67314,939,828,9.0,17,17,0
