constructorresultsid,raceid,constructorid,points,status
476,62,5,1.0,
592,73,1,10.0,
767,90,18,0.0,
1186,132,6,16.0,
1205,133,21,0.0,
1679,177,17,3.0,
1713,180,24,2.0,
1759,184,15,0.0,
1924,199,25,0.0,
2033,209,1,2.0,
2034,209,22,1.0,
2257,229,17,0.0,
2365,240,3,6.0,
2404,243,6,4.0,
2567,256,28,0.0,
2665,263,25,0.0,
2737,268,18,0.0,
3064,292,38,0.0,
3075,293,6,0.0,
3406,314,1,13.0,
3449,316,35,0.0,
3487,318,18,0.0,
3926,11,3,4.0,
4442,379,45,0.0,
4508,383,27,0.0,
4630,390,37,0.0,
4777,400,34,0.0,
4850,405,34,0.0,
4864,406,49,0.0,
4868,407,1,15.0,
4960,414,32,8.0,
4969,414,18,0.0,
4983,415,25,0.0,
5472,449,52,0.0,
5663,462,1,1.0,
5699,464,55,0.0,
5704,464,51,0.0,
5942,479,37,0.0,
6148,492,27,4.0,
6215,496,6,4.0,
6230,497,3,9.0,
6245,497,54,0.0,
6263,499,32,6.0,
10358,733,26,6.0,
10610,726,176,0.0,
10613,727,172,9.0,
10618,727,95,0.0,
10622,727,32,0.0,
10761,713,181,0.0,
10972,707,176,0.0,
11168,680,194,3.0,
11528,657,187,6.0,
11757,647,85,0.0,
11940,642,200,4.0,
12359,591,32,4.0,
12365,591,26,0.0,
12548,604,58,0.0,
12599,578,37,0.0,
12775,582,73,3.0,
12844,586,25,0.0,
12851,587,64,3.0,
13068,571,37,1.0,
13176,546,59,4.0,
13253,551,57,0.0,
13262,551,68,0.0,
13448,530,58,0.0,
13623,540,3,0.0,
13679,513,32,4.0,
13817,521,3,15.0,
13996,345,9,25.0,
14228,849,15,6.0,
14494,871,3,0.0,
14701,890,15,0.0,
14765,896,1,10.0,
14767,896,5,1.0,
14818,900,207,0.0,
14918,909,207,0.0,
14923,910,5,2.0,
14971,914,208,0.0,
14980,915,5,0.0,
15113,936,10,0.0,
15348,960,4,0.0,
