film_id,title,description,release_year,language_id,original_language_id,rental_duration,rental_rate,length,replacement_cost,rating,special_features,last_update
19,Амадей Святая,"Эмоциональная демонстрация пионера и технического писателя, сражающегося с человеком в воздушном шаре",2006,1,,6,0.99,113,20.99,ПГ,"Комментарии, удаленные сцены, закадровые моменты","15 февраля 2006 года, 04:03"
21,Американский цирк,"""Внимательный драма девушки и астронавта, который должен столкнуться с администратором базы данных в ""Shark Tank""""",2006,1,,3,4.99,129,17.99,r,"Комментарии, За кадром","15 февраля 2006 года, 04:03"
29,Антифризовые помидоры,"Фатальная история о женихе и феминистке, которая должна уступить администратору базы данных в древней Индии.",2006,1,,5,2.99,168,11.99,Без ограничения возраста,"Трейлеры, комментарии, удаленные сцены","15 февраля 2006 года, 04:03"
56,БЕЩЕПЫРОВЫЙ ЧИНЕЗ,"А смелая история о кошке и студенте, которые должны победить девушку в заброшенном парке развлечений.",2006,1,,6,2.99,129,15.99,"Добро пожаловать в «Город мечты»! Это место, где ваши самые смелые мечты могут стать реальностью. От захватывающих аттракционов до ошеломляющих развлечений, «Город мечты» предлагает незабываемый опыт, который останется с вами навсегда.","Трейлеры, Комментарии","15 февраля 2006 года, 04:03"
67,береты,"Тавтологическая сага о крокодиле и мальчике, который должен победить технического писателя в Древнем Китае",2006,1,,5,2.99,77,24.99,13+,Удалённые сцены,"15 февраля 2006 года, 04:03"
97,Свадьба интрига,"Эпическая сага о роботе и обезьяне, которые должны победить человека в Новом Орлеане",2006,1,,7,0.99,56,24.99,"Добро пожаловать в «Город мечты»! Это место, где ваши самые смелые мечты могут стать реальностью. От захватывающих аттракционов до ошеломляющих развлечений, «Город мечты» предлагает незабываемый опыт, который останется с вами навсегда.","Трейлеры, комментарии, закадровые материалы","15 февраля 2006 года, 04:03"
105,БУЛ ЛШВШШК,"Фантазовая драма о лосе и о ленивце, которые должны победить первобытного человека в Канадских Скалистых горах",2006,1,,6,0.99,125,21.99,Без ограничения возраста,Удалённые сцены,"15 февраля 2006 года, 04:03"
111,КЕДИ-ШАК,"Бесценное письмо женщины и безумца, которые должны сразиться с роботом в советской Грузии.",2006,1,,3,0.99,52,17.99,Без ограничения возраста,"Комментарии, удаленные сцены","15 февраля 2006 года, 04:03"
115,КАНПУС РЕМЭБЕР,"А удивительная драма крокодила и сумасшедшей коровы, которые должны построить робота на яхте",2006,1,,5,2.99,167,27.99,r,За кулисами,"15 февраля 2006 года, 04:03"
126,Жертвы Энسینо,"Удивительная история о акуле и кондитерском поваре, которые должны столкнуться с мальчиком в монастыре.",2006,1,,3,4.99,179,16.99,"Добро пожаловать в «Город мечты»! Это место, где ваши самые смелые мечты могут стать реальностью. От захватывающих аттракционов до ошеломляющих развлечений, «Город мечты» предлагает незабываемый опыт, который останется с вами навсегда.",Трейлеры,"15 февраля 2006 года, 04:03"
