year,round,series,tmidwinner,lgidwinner,tmidloser,lgidloser,w,l,t,goalswinner,goalsloser,note
1923,F,,VAM,PCHA,SEA,PCHA,1,0,1,4,3,ТГ
1934,SF,A,TOR,NHL,BOS,NHL,3,1,0,7,2,
1969,QF,C,STL,NHL,MNS,NHL,4,2,0,20,16,
1973,DSF,,TOT,WHA,CLC,WHA,4,1,0,18,9,
2000,СФК,I,NJD,NHL,TOR,NHL,4,3,0,21,18,
1989,ПКФ,O,EDM,NHL,BOS,NHL,4,1,0,20,8,
1991,DSF,C,NYR,NHL,NJD,NHL,4,3,0,28,25,
1933,SF,A,DET,NHL,TOR,NHL,3,2,0,11,12,
1996,CQF,F,EDM,NHL,DAL,NHL,4,3,0,21,18,
1972,DSF,,NEW,WHA,OTN,WHA,4,1,0,24,17,
1995,CQF,C,NYR,NHL,MTL,NHL,4,2,0,19,17,
1987,DF,К,DET,NHL,STL,NHL,4,1,0,21,14,
1957,ПКФ,C,MTL,NHL,BOS,NHL,4,2,0,16,14,
1979,ПКФ,O,NYI,NHL,PHI,NHL,4,2,0,26,25,
1945,ПКФ,C,MTL,NHL,BOS,NHL,4,1,0,19,13,
2011,CQF,Н,NAS,NHL,DET,NHL,4,1,0,13,9,
1976,Предварительно,C,LAK,NHL,ATF,NHL,2,1,0,11,7,
1990,DSF,G,LAK,NHL,VAN,NHL,4,2,0,26,16,
1983,DSF,C,NYI,NHL,NYR,NHL,3,2,0,13,14,
2002,CF,М,NJD,NHL,OTT,NHL,4,3,0,17,13,
1976,Предварительно,A,NYI,NHL,CHI,NHL,2,0,0,7,3,
2005,CQF,Н,SJS,NHL,NAS,NHL,4,1,0,17,10,
1996,CF,М,PHI,NHL,NYR,NHL,4,1,0,20,13,
1975,QF,G,BOS,NHL,LAK,NHL,4,3,0,26,14,
1975,Предварительно,,NEW,WHA,CLC,WHA,3,0,0,14,6,
2009,СФК,К,SJS,NHL,DET,NHL,4,1,0,15,17,
2005,СФК,L,ANA,NHL,COL,NHL,4,0,0,16,4,
1929,ПКФ,E,MTL,NHL,BOS,NHL,2,0,0,7,3,
1972,QF,C,CHI,NHL,STL,NHL,4,1,0,22,9,
1982,DF,К,CHI,NHL,MNS,NHL,4,1,0,22,16,
1980,Предварительно,B,STL,NHL,PIT,NHL,3,2,0,20,21,
2002,CQF,E,DAL,NHL,EDM,NHL,4,2,0,20,11,
1975,SF,,WIJ,WHA,CAC,WHA,4,1,0,22,13,
2003,СФК,К,CAL,NHL,DET,NHL,4,2,0,11,12,
1996,СФК,J,PHI,NHL,BUF,NHL,4,1,0,21,13,
2010,CF,М,BOS,NHL,TBL,NHL,4,3,0,21,21,
1980,QF,I,NYI,NHL,EDM,NHL,4,2,0,29,20,
1984,DF,К,CHI,NHL,MNS,NHL,4,2,0,33,29,
1999,CQF,G,COL,NHL,PHO,NHL,4,1,0,17,10,
2000,СФК,L,STL,NHL,DAL,NHL,4,0,0,13,6,
1988,CF,Н,CAL,NHL,CHI,NHL,4,1,0,15,8,
1941,QF,B,BOS,NHL,CHI,NHL,2,1,0,5,7,
1989,DF,L,EDM,NHL,LAK,NHL,4,0,0,24,10,
1935,SF,D,TOR,NHL,NYA,NHL,2,1,0,6,3,
1972,DSF,,HOU,WHA,LAS,WHA,4,2,0,23,16,
1985,DF,К,STL,NHL,TOR,NHL,4,3,0,24,22,
1972,Предварительно,,MFS,WHA,ALB,WHA,1,0,0,4,2,
1989,DSF,B,MTL,NHL,BUF,NHL,4,2,0,17,13,
1999,ПКФ,O,NJD,NHL,DAL,NHL,4,2,0,15,9,
2010,СФК,К,VAN,NHL,NAS,NHL,4,2,0,14,11,
1993,CQF,C,NJD,NHL,BUF,NHL,4,3,0,14,14,
1978,QF,G,BOS,NHL,PIT,NHL,4,0,0,16,7,
2008,ПКФ,O,PIT,NHL,DET,NHL,4,3,0,14,17,
1929,ПКФ,E,MTL,NHL,BOS,NHL,2,0,0,7,3,
1977,QF,G,TOR,NHL,NYI,NHL,4,3,0,16,13,
1999,CQF,Н,DET,NHL,LAK,NHL,4,0,0,15,6,
1923,СКФ,,MTL,NHL,VAM,PCHA,2,0,0,5,3,
1952,SF,B,MTL,NHL,CHI,NHL,4,3,0,18,14,
1974,QF,F,BUF,NHL,CHI,NHL,4,1,0,20,10,
1970,SF,E,MTL,NHL,MNS,NHL,4,2,0,27,19,
1978,Предварительно,D,PIT,NHL,BUF,NHL,2,1,0,9,9,
1996,CQF,C,PHI,NHL,PIT,NHL,4,1,0,20,13,
2011,СФК,J,NJD,NHL,PHI,NHL,4,1,0,18,11,
1941,ПКФ,E,TOR,NHL,DET,NHL,4,3,0,25,19,
1976,ПКФ,К,MTL,NHL,BOS,NHL,4,0,0,16,6,
1954,ПКФ,C,DET,NHL,MTL,NHL,4,3,0,27,20,
1974,QF,G,MTL,NHL,VAN,NHL,4,1,0,20,9,
1941,SF,A,TOR,NHL,NYR,NHL,4,2,0,13,12,
2005,СФК,J,CAR,NHL,NJD,NHL,4,1,0,17,10,
1993,СФК,К,TOR,NHL,SJS,NHL,4,3,0,26,21,
1980,Предварительно,E,BUF,NHL,VAN,NHL,3,0,0,13,7,
2002,СФК,L,MIN,NHL,VAN,NHL,4,3,0,26,17,
2000,CQF,G,DAL,NHL,EDM,NHL,4,2,0,16,13,
1987,DSF,C,NJD,NHL,NYI,NHL,4,2,0,23,18,
1976,QF,E,MTL,NHL,STL,NHL,4,0,0,19,4,
2010,CQF,A,WAS,NHL,NYR,NHL,4,1,0,13,8,
1974,SF,,HOU,WHA,SDM,WHA,4,0,0,17,5,
1967,QF,C,STL,NHL,PHI,NHL,4,3,0,17,17,
1988,DSF,G,CAL,NHL,VAN,NHL,4,3,0,26,20,
1974,ПКФ,К,PHI,NHL,BUF,NHL,4,2,0,19,12,
1977,SF,I,MTL,NHL,TOR,NHL,4,0,0,16,6,
1975,QF,G,BOS,NHL,LAK,NHL,4,3,0,26,14,
1972,ПКФ,G,MTL,NHL,CHI,NHL,4,2,0,33,23,
1982,DSF,E,CHI,NHL,STL,NHL,3,1,0,16,10,
1991,DSF,D,PIT,NHL,WAS,NHL,4,3,0,25,27,
2010,CQF,E,VAN,NHL,CHI,NHL,4,3,0,16,22,
1995,СФК,J,PIT,NHL,NYR,NHL,4,1,0,21,15,
1969,ПКФ,G,BOS,NHL,STL,NHL,4,0,0,20,7,
1979,Предварительно,F,MNS,NHL,TOR,NHL,3,0,0,17,8,
1972,DSF,,WIJ,WHA,MFS,WHA,4,1,0,23,16,
1993,CQF,B,WAS,NHL,PIT,NHL,4,2,0,20,12,
1976,Предварительно,C,LAK,NHL,ATF,NHL,2,1,0,11,7,
2000,CQF,Н,STL,NHL,SJS,NHL,4,2,0,16,11,
1942,SF,A,DET,NHL,TOR,NHL,4,2,0,20,17,
1995,CQF,E,DET,NHL,WIN,NHL,4,2,0,20,10,
1941,SF,A,TOR,NHL,NYR,NHL,4,2,0,13,12,
1979,Предварительно,E,NYI,NHL,LAK,NHL,3,1,0,21,10,
1986,DSF,C,PHI,NHL,NYR,NHL,4,2,0,22,13,
2010,CQF,E,VAN,NHL,CHI,NHL,4,3,0,16,22,
2006,CQF,E,DET,NHL,CAL,NHL,4,2,0,18,10,
2007,CQF,C,PHI,NHL,WAS,NHL,4,3,0,23,20,
1978,SF,,WIJ,WHA,QUN,WHA,4,0,0,30,12,
1986,DF,J,PHI,NHL,NYI,NHL,4,3,0,23,16,
1992,DSF,E,STL,NHL,CHI,NHL,4,0,0,13,6,
1994,CQF,A,NYR,NHL,QUE,NHL,4,2,0,25,19,
1978,QF,E,NYI,NHL,CHI,NHL,4,0,0,14,3,
1925,F,,MTM,NHL,OTS,NHL,1,0,1,2,1,ТГ
1923,РГ,,CAT,WCHL,VAM,PCHA,2,1,0,10,7,
1964,ПКФ,C,MTL,NHL,CHI,NHL,4,3,0,18,12,
1987,CF,Н,EDM,NHL,DET,NHL,4,1,0,23,16,
1966,SF,A,TOR,NHL,CHI,NHL,4,2,0,18,14,
2011,СФК,I,NYR,NHL,WAS,NHL,4,3,0,15,13,
1983,DSF,E,MNS,NHL,CHI,NHL,3,2,0,18,14,
1981,DF,J,CHI,NHL,STL,NHL,4,2,0,23,19,
1975,Предварительно,A,BUF,NHL,STL,NHL,2,1,0,7,8,
1920,F,,OTS,NHL,TRS,NHL,2,0,0,7,0,ТГ
1941,SF,D,DET,NHL,BOS,NHL,2,0,0,9,5,
1984,CF,М,PHI,NHL,QUE,NHL,4,2,0,17,12,
1974,Предварительно,C,PIT,NHL,STL,NHL,2,0,0,9,6,
2005,CF,Н,EDM,NHL,ANA,NHL,4,1,0,16,13,
1997,CQF,D,WAS,NHL,BOS,NHL,4,2,0,15,13,
1967,ПКФ,G,MTL,NHL,STL,NHL,4,0,0,11,7,
1997,CQF,B,MTL,NHL,PIT,NHL,4,2,0,18,15,
1969,SF,F,STL,NHL,PIT,NHL,4,2,0,19,10,
2005,СФК,I,BUF,NHL,OTT,NHL,4,1,0,16,13,
2007,CQF,B,PIT,NHL,OTT,NHL,4,0,0,16,5,
1995,CQF,C,NYR,NHL,MTL,NHL,4,2,0,19,17,
2011,CQF,F,STL,NHL,SJS,NHL,4,1,0,14,8,
1927,QF,A,MTM,NHL,OTS,NHL,2,0,0,3,1,ТГ
1989,DSF,F,STL,NHL,TOR,NHL,4,1,0,20,16,
2003,CQF,Н,COL,NHL,DAL,NHL,4,1,0,19,10,
1972,DSF,,HOU,WHA,LAS,WHA,4,2,0,23,16,
1997,CF,М,WAS,NHL,BUF,NHL,4,2,0,13,11,
2006,CQF,G,VAN,NHL,DAL,NHL,4,3,0,13,12,
1974,QF,,SDM,WHA,TOT,WHA,4,2,0,29,27,
1931,QF,B,TOR,NHL,CHI,NHL,1,1,0,6,2,ТГ
