year,lgid,tmid,franchid,confid,divid,rank,playoff,g,w,l,t,otl,pts,sow,sol,gf,ga,name,pim,benchminor,ppg,ppc,sha,pkg,pkc,shf
2003,NHL,DET,DET,WC,CE,1,СФК,82,48,21,11.0,2.0,109,,,255,189,&lt; &lt; Красные крылья &gt; &gt;,966.0,22.0,63.0,314.0,5.0,42.0,317.0,15.0
1922,WCHL,SAC,SAS,,,4,,30,8,20,2.0,,18,,,91,125,Саскатунские полумесяци,,,,,,,,
2002,NHL,MTL,MTL,EC,NE,4,,82,30,35,8.0,9.0,77,,,206,234,Монреальские канадиенсы,900.0,22.0,44.0,315.0,6.0,58.0,317.0,2.0
1993,NHL,BOS,BOS,EC,NE,2,СФК,84,42,29,13.0,,97,,,289,252,Бостонские бруины,1442.0,14.0,84.0,387.0,9.0,58.0,378.0,17.0
1978,NHL,TOR,TOR,WA,AD,3,QF,80,34,33,13.0,,81,,,267,252,Торонтские кленовые листья,1440.0,10.0,60.0,236.0,7.0,70.0,330.0,5.0
1987,NHL,PIT,PIT,WA,PT,6,,80,36,35,9.0,,81,,,319,316,Пингвины Питтсбурга,2211.0,26.0,110.0,500.0,19.0,120.0,507.0,18.0
1919,NHL,QUB,BKN,,,4,,24,4,20,0.0,,8,,,91,177,Квебек Бульдоги,123.0,,,,,,,
1959,NHL,TOR,TOR,,,2,F,70,35,26,9.0,,79,,,199,195,Торонтские кленовые листья,859.0,,,,,,,
1921,PCHA,VA2,VIC,,,3,,24,11,12,1.0,,23,,,61,71,Виктория Аристократс,,,,,,,,
1924,WCHL,EDE,EDE,,,4,,28,14,13,1.0,,29,,,97,109,Эдмонтон Эскимос,,,,,,,,
1990,NHL,MTL,MTL,WA,AD,2,DF,80,39,30,11.0,,89,,,273,249,Монреальские канадиенсы,1425.0,18.0,66.0,357.0,10.0,54.0,282.0,6.0
1934,NHL,STE,STE,,CA,5,,48,11,31,6.0,,28,,,86,144,Сент-Луис Иглс,402.0,,,,,,,
2002,NHL,NJD,NJD,EC,AT,1,ПК,82,46,20,10.0,6.0,108,,,216,166,Нью-Джерси Дьяволы,938.0,18.0,36.0,303.0,4.0,32.0,264.0,7.0
1989,NHL,DET,DET,CC,NO,5,,80,28,38,14.0,,70,,,288,323,&lt; &lt; Красные крылья &gt; &gt;,2140.0,8.0,58.0,354.0,13.0,92.0,372.0,18.0
1980,NHL,DET,DET,WA,NO,5,,80,19,43,18.0,,56,,,252,339,&lt; &lt; Красные крылья &gt; &gt;,1687.0,24.0,60.0,316.0,12.0,82.0,317.0,7.0
1998,NHL,COL,COL,WC,NW,1,CF,82,44,28,10.0,,98,,,239,205,Колорадо Авалонш,1619.0,14.0,71.0,375.0,12.0,63.0,386.0,7.0
1976,NHL,CHI,CHI,CC,SM,3,PRE,80,26,43,11.0,,63,,,240,298,Чикаго Черные Ястребы,1104.0,18.0,59.0,267.0,9.0,62.0,282.0,4.0
1961,NHL,BOS,BOS,,,6,,70,15,47,8.0,,38,,,177,306,Бостонские бруины,712.0,,,,,,,
