year,lgid,tmid,g,w,l,t,gf,ga,pim,benchminor,ppg,ppc,sha,pkg,pkc,shf
1988,NHL,MTL,21,14,7,0,67,51,456.0,6.0,16.0,97.0,,9.0,88.0,2.0
1988,NHL,EDM,7,3,4,0,20,25,161.0,2.0,6.0,32.0,,11.0,36.0,1.0
1984,NHL,LAK,3,0,3,0,7,11,47.0,0.0,1.0,16.0,1.0,0.0,10.0,0.0
2011,NHL,STL,9,4,5,0,20,23,212.0,0.0,6.0,35.0,2.0,3.0,38.0,0.0
1990,NHL,PIT,24,16,8,0,95,68,571.0,12.0,26.0,137.0,4.0,25.0,120.0,3.0
1975,WHA,SDM,11,5,6,0,36,39,,,,,,,,
1975,WHA,CAC,10,5,5,0,36,37,,,,,,,,
1958,NHL,BOS,7,3,4,0,21,20,113.0,,,,,,,
1936,NHL,NYR,9,6,3,0,18,10,68.0,,,,,,,
1999,NHL,EDM,5,1,4,0,11,14,84.0,0.0,3.0,25.0,0.0,2.0,26.0,1.0
2003,NHL,NAS,6,2,4,0,9,12,76.0,0.0,1.0,29.0,1.0,2.0,29.0,1.0
1992,NHL,DET,7,3,4,0,30,24,163.0,2.0,10.0,30.0,0.0,4.0,34.0,4.0
1942,NHL,BOS,9,4,5,0,23,33,96.0,,,,,,,
2000,NHL,NJD,25,15,10,0,69,52,334.0,2.0,16.0,101.0,2.0,17.0,104.0,3.0
1974,NHL,BUF,17,10,7,0,53,58,276.0,6.0,13.0,75.0,1.0,15.0,72.0,2.0
1927,NHL,BOS,2,0,1,1,2,5,32.0,,,,,,,
1969,NHL,DET,4,0,4,0,8,16,44.0,,3.0,,0.0,5.0,,1.0
2001,NHL,NYI,7,3,4,0,21,22,169.0,2.0,11.0,38.0,0.0,5.0,43.0,0.0
1984,NHL,WIN,8,3,5,0,26,35,194.0,2.0,10.0,40.0,5.0,9.0,33.0,4.0
1945,NHL,CHI,4,0,4,0,7,26,68.0,,,,,,,
1981,NHL,NYI,19,15,4,0,85,52,458.0,0.0,23.0,77.0,0.0,16.0,84.0,4.0
1923,NHL,OTS,2,0,2,0,2,5,28.0,,,,,,,
1986,NHL,HAR,6,2,4,0,19,27,317.0,2.0,6.0,35.0,1.0,12.0,39.0,0.0
1974,WHA,NEW,6,2,4,0,17,28,,,,,,,,
1926,NHL,MTL,4,1,1,2,3,6,30.0,,,,,,,
1929,NHL,MTL,6,5,0,1,14,6,100.0,,,,,,,
1937,NHL,TOR,7,4,3,0,14,13,59.0,,,,,,,
2001,NHL,MTL,12,6,6,0,32,39,172.0,2.0,9.0,48.0,2.0,11.0,48.0,0.0
2003,NHL,TOR,13,6,7,0,27,28,201.0,0.0,6.0,59.0,1.0,6.0,58.0,0.0
1985,NHL,VAN,3,0,3,0,5,17,55.0,2.0,2.0,13.0,1.0,4.0,11.0,0.0
1946,NHL,BOS,5,1,4,0,10,16,58.0,,,,,,,
1968,NHL,STL,12,8,4,0,36,20,258.0,,7.0,,3.0,6.0,,0.0
1967,NHL,LAK,7,3,4,0,21,26,114.0,,5.0,,1.0,4.0,,0.0
1938,NHL,NYA,2,0,2,0,0,6,50.0,,,,,,,
1981,NHL,BOS,11,6,5,0,43,39,253.0,2.0,9.0,40.0,1.0,14.0,42.0,0.0
1951,NHL,TOR,4,0,4,0,3,13,90.0,,,,,,,
1924,WCHL,SAS,2,0,1,1,4,6,,,,,,,,
2003,NHL,MTL,11,4,7,0,24,28,148.0,0.0,5.0,40.0,1.0,5.0,42.0,0.0
1974,NHL,BOS,3,1,2,0,15,12,47.0,0.0,2.0,14.0,0.0,4.0,14.0,1.0
1976,NHL,BUF,6,2,4,0,21,19,96.0,0.0,6.0,23.0,1.0,2.0,20.0,0.0
2002,NHL,ANA,21,15,6,0,45,40,166.0,8.0,8.0,70.0,1.0,9.0,70.0,3.0
1921,WCHL,CAT,2,0,1,1,1,2,,,,,,,,
1986,NHL,TOR,13,7,6,0,33,32,345.0,0.0,9.0,51.0,0.0,8.0,53.0,0.0
1964,NHL,MTL,13,8,5,0,35,26,329.0,,,,,,,
1966,NHL,MTL,10,6,4,0,30,25,142.0,,,,,,,
1931,NHL,DTF,2,0,1,1,1,3,10.0,,,,,,,
2008,NHL,CAL,6,2,4,0,16,21,83.0,4.0,2.0,18.0,0.0,7.0,24.0,0.0
1949,NHL,MTL,5,1,4,0,7,15,77.0,,,,,,,
1932,NHL,NYR,8,6,1,1,25,13,103.0,,,,,,,
1979,NHL,CHI,7,3,4,0,19,20,120.0,0.0,7.0,23.0,0.0,7.0,26.0,0.0
2007,NHL,WAS,7,3,4,0,20,23,87.0,6.0,8.0,35.0,0.0,8.0,36.0,0.0
1957,NHL,MTL,10,8,2,0,35,20,121.0,,,,,,,
1984,NHL,CAL,4,1,3,0,13,15,129.0,2.0,5.0,21.0,2.0,5.0,22.0,2.0
2007,NHL,MIN,6,2,4,0,12,17,141.0,2.0,3.0,21.0,1.0,6.0,30.0,2.0
1964,NHL,DET,7,3,4,0,19,23,124.0,,,,,,,
1962,NHL,MTL,5,1,4,0,6,14,48.0,,,,,,,
1941,NHL,TOR,13,8,5,0,38,31,117.0,,,,,,,
1966,NHL,NYR,4,0,4,0,8,14,58.0,,,,,,,
1967,NHL,CHI,11,5,6,0,28,34,96.0,,5.0,,1.0,8.0,,1.0
1936,NHL,MTL,5,2,3,0,8,13,15.0,,,,,,,
1995,NHL,COL,22,16,6,0,80,51,374.0,0.0,24.0,110.0,2.0,17.0,113.0,1.0
1973,WHA,CHC,18,8,10,0,67,72,,,,,,,,
1972,WHA,NEW,15,12,3,0,70,49,,,14.0,75.0,0.0,13.0,64.0,1.0
1976,NHL,LAK,9,4,5,0,35,37,158.0,0.0,12.0,40.0,2.0,7.0,33.0,0.0
1974,NHL,LAK,3,1,2,0,6,7,82.0,0.0,2.0,9.0,0.0,0.0,9.0,0.0
1999,NHL,NJD,23,16,7,0,61,39,192.0,6.0,12.0,70.0,1.0,5.0,67.0,4.0
1998,NHL,SJS,6,2,4,0,17,19,102.0,0.0,7.0,41.0,1.0,7.0,42.0,2.0
1993,NHL,BOS,13,6,7,0,39,42,168.0,2.0,10.0,54.0,0.0,11.0,51.0,1.0
1961,NHL,MTL,6,2,4,0,13,19,83.0,,,,,,,
1979,NHL,STL,3,0,3,0,4,12,35.0,0.0,1.0,9.0,0.0,3.0,8.0,0.0
1921,PCHA,VML,4,3,1,0,7,2,,,,,,,,
1948,NHL,MTL,7,3,4,0,14,17,103.0,,,,,,,
2009,NHL,BUF,6,2,4,0,15,16,114.0,2.0,0.0,19.0,0.0,6.0,22.0,0.0
1981,NHL,MTL,5,2,3,0,16,11,201.0,2.0,4.0,36.0,1.0,3.0,26.0,3.0
1995,NHL,BOS,5,1,4,0,16,22,147.0,0.0,7.0,27.0,0.0,5.0,30.0,2.0
1943,NHL,TOR,5,1,4,0,6,23,48.0,,,,,,,
1991,NHL,NYR,13,6,7,0,47,49,277.0,2.0,13.0,58.0,1.0,11.0,62.0,5.0
