playerid,year,tmid,lgid,pos,gp,g,a,pts,pim
vezinge01,1915,MOC,NHA,G,5,0,0,0,0
dennecy01,1922,OTS,NHL,L,6,1,1,2,8
coutubi01,1918,MTL,NHL,D,5,0,1,1,0
coutubi01,1924,MTL,NHL,D,4,1,0,1,10
gerared01,1914,OT1,NHA,L,3,1,2,3,14
brucemo01,1919,OTS,NHL,F,5,0,0,0,0
berlilo01,1918,MTL,NHL,L,5,1,1,2,0
dundeto01,1913,VA1,PCHA,C,3,2,0,2,11
adamsja01,1921,VML,PCHA,C,5,6,1,7,18
broadpu01,1925,MTM,NHL,Р,4,1,0,1,20
smithto01,1912,QU1,NHA,L,3,4,0,4,0
lehmahu01,1917,VML,PCHA,G,5,0,0,0,0
cookll01,1917,VML,PCHA,D,5,2,0,2,12
harrism01,1920,VML,PCHA,L,5,2,1,3,6
lalonne01,1916,MOC,NHA,C,4,1,0,1,21
adamsbi01,1920,VML,PCHA,Р,4,0,0,0,0
duncaar01,1922,VAM,PCHA,D,4,2,2,4,0
foystfr01,1918,SEA,PCHA,L,5,9,1,10,0
morenho01,1924,MTL,NHL,C,4,4,1,5,4
griffsi01,1917,VML,PCHA,D,5,1,0,1,9
poulisk01,1913,VA1,PCHA,L,3,2,0,2,17
irvinde01,1915,PO1,PCHA,D,5,0,0,0,14
haldeha01,1924,VIC,WCHL,Р,4,2,1,3,8
roachjo01,1921,TRS,NHL,G,5,0,0,0,0
parkeer01,1923,VAM,PCHA,Р,2,0,0,0,0
benedcl01,1920,OTS,NHL,G,5,0,0,0,0
mcdonra01,1917,VML,PCHA,L,3,2,1,3,9
crawfru01,1923,CAT,WCHL,L,2,0,0,0,0
wilsocu01,1916,SEA,PCHA,Р,4,1,2,3,0
morenho01,1923,MTL,NHL,C,4,4,2,6,4
grahale01,1914,OT1,NHA,L,3,1,0,1,0
morribe01,1916,SEA,PCHA,Р,4,14,2,16,0
wilsocu01,1918,SEA,PCHA,Р,5,1,3,4,6
clancki01,1922,OTS,NHL,D,6,1,0,1,4
uksilch01,1915,PO1,PCHA,Р,5,2,0,2,6
bouchfr01,1923,VAM,PCHA,C,2,1,1,2,2
prodggo01,1912,VA1,PCHA,Р,2,1,0,1,2
lalonne01,1916,MOC,NHA,C,4,1,0,1,21
dundeto01,1915,PO1,PCHA,C,5,1,0,1,9
cleghsp01,1924,MTL,NHL,D,4,0,0,0,2
arbouty01,1922,EDE,WCHL,L,2,0,0,0,0
morenho01,1924,MTL,NHL,C,4,4,1,5,4
mackami01,1923,VAM,PCHA,L,2,0,0,0,0
skinnal01,1920,VML,PCHA,Р,3,4,0,4,14
berlilo01,1918,MTL,NHL,L,5,1,1,2,0
dennecy01,1922,OTS,NHL,L,6,1,1,2,8
cookll01,1922,VAM,PCHA,D,4,0,1,1,4
anderer02,1923,CAT,WCHL,Р,2,0,0,0,2
fredrfr01,1924,VIC,WCHL,C,4,3,3,6,6
holmeha01,1919,SEA,PCHA,G,5,0,0,0,0
taylocy01,1914,VML,PCHA,Р/Л,3,7,3,10,3
cookll01,1920,VML,PCHA,D,5,2,0,2,20
denneco01,1917,TOA,NHL,Л/К,5,3,1,4,0
holmeha01,1917,TOA,NHL,G,5,0,0,0,0
camerha01,1913,TBS,NHA,D,2,1,0,1,4
coutubi01,1918,MTL,NHL,D,5,0,1,1,0
benedcl01,1925,MTM,NHL,G,4,0,0,0,0
uksilch01,1915,PO1,PCHA,Р,5,2,0,2,6
parkeer01,1922,VAM,PCHA,Р,4,0,2,2,2
nighbfr01,1919,OTS,NHL,C,5,6,1,7,2
berlilo01,1916,MOC,NHA,L,4,0,0,0,0
bouchge01,1920,OTS,NHL,D,5,2,0,2,9
tobinch01,1915,PO1,PCHA,Р,5,2,1,3,12
oatmaed01,1923,CAT,WCHL,C,2,0,1,1,0
stanlba01,1917,VML,PCHA,Р,5,2,0,2,6
noblere01,1925,MTM,NHL,D,4,0,0,0,4
simpsjo01,1922,EDE,WCHL,D,2,0,1,1,0
patrifr01,1914,VML,PCHA,D,3,2,1,3,6
coutubi01,1923,MTL,NHL,D,4,0,0,0,0
holmeha01,1913,TBS,NHA,G,3,0,0,0,0
oatmaed01,1915,PO1,PCHA,C,5,3,1,4,16
