type,code,fullname
Воспроизведение,ПФ,Потерянные финалы PCHA
Воспроизведение,СКФ,Проиграл полуфинал Кубка Стэнли
Отдел,СЕ,Центральный отдел
Отдел,ПК,Тихоокеанский отдел
Отдел,ЭВ,Восточная дивизия WHA
Отдел,ХО,Отдел по делам женщин Канады
Отдел,Нет,Отдел Норриса
Воспроизведение,AVSF,Проиграл полуфинал Кубка АВКО
Круглая,ПКФ,Финал Кубка Стэнли
Воспроизведение,WSF,Потерянные полуфиналы WCHL
Воспроизведение,DF,Проигранные финалы по разделу NHL
Воспроизведение,DSF,Потерянные полуфиналы подкласса NHL
Отдел,WD,Западный отдел
Воспроизведение,QF,Потерянный четвертьфинал NHL
Отдел,PT,Отдел Патрика
Отдел,SE,Юго-восточный отдел
Круглая,СФК,Полуфинал Конференции
Отдел,НО,Северо-западный отдел
Воспроизведение,СФК,Пропавшие полуфиналы конференции NHL
Воспроизведение,AVC,Выиграл Кубок АВКО
Отдел,АД,Отдел Адамса
Воспроизведение,АВФ,Проиграл финал Кубка AVCO
Отдел,КА,Канадский отдел
Отдел,АМ,Американский отдел
Круглая,SF,Полуфинал
Круглая,DSF,Полуфинал
Круглая,QF,Четверо-финал
Отдел,WW,WHA West Division
Воспроизведение,WF,Потерянные финалы WCHL
Круглая,F,Финал
Зал,WA,Конференция в Уэльсе
Отдел,Нет,Северо-восточный отдел
Воспроизведение,F,Проиграл финал Кубка Стэнли
Круглая,РГ,Западный плейофф
Зал,КК,Конференция &quot; Кэмпбелл &quot;
Отдел,SM,Отдел Смайта
Воспроизведение,AVQF,Проиграл четвертьфинала Кубка АВКО
Круглая,CF,Заключительные документы Конференции
Отдел,Ред.,Восточный отдел
Воспроизведение,АВПРА,Проиграл предварительный раунд Кубка АВКО
Воспроизведение,НФЧМ,Проигранные финалы NHL
Зал,ВК,Западная конференция
Воспроизведение,ПК,Выиграл Кубок Стэнли
Воспроизведение,CQF,"Пропавшая конференция NHL, четверть финала"
Круглая,СКФ,Кубок Стэнли Полуфинал
Воспроизведение,SF,Потерянные полуфиналы NHL
Круглая,DF,Окончательные результаты по разделу
Воспроизведение,CF,Проигранные итоговые документы конференции NHL
Зал,ЕС,Восточная конференция
Воспроизведение,PRE,Проиграл предварительный раунд НХЛ
Круглая,РВК,Финал Кубка Авто
Круглая,CQF,Квартира-финансы конференций
Отдел,АТ,Атлантический отдел
Воспроизведение,НКАФ,Проигранные финалы NHA
Воспроизведение,ЛСС,Вон Кубок Стэнли / Lost Challenge Series
Воспроизведение,ND,Финал Кубка Стэнли прекратился (эпидемия гриппа)
Круглая,Предварительно,Предварительные данные
Воспроизведение,ВТС,Серия &lt; &lt; Вон вызов &gt; &gt;
