year,lgid,tmid,oppid,w,l,t,otl
2009,NHL,DAL,MIN,3,1,,0.0
1990,NHL,WIN,CHI,0,2,1.0,
1974,NHL,NYR,TOR,1,2,1.0,
1995,NHL,CAL,OTT,1,1,0.0,
1975,NHL,KCS,LAK,0,4,0.0,
1994,NHL,CHI,VAN,4,0,0.0,
2003,NHL,VAN,PHO,3,0,1.0,0.0
2001,NHL,PHO,FLO,1,0,0.0,0.0
2002,NHL,STL,COL,1,2,1.0,0.0
2006,NHL,MIN,VAN,5,1,,2.0
2003,NHL,DET,EDM,2,0,2.0,0.0
1996,NHL,COL,NYR,0,1,1.0,
1968,NHL,LAK,BOS,1,5,0.0,
1995,NHL,STL,CAL,0,2,2.0,
1997,NHL,VAN,CAR,1,1,0.0,
1991,NHL,QUE,MNS,2,1,0.0,
2010,NHL,VAN,STL,2,2,,0.0
1962,NHL,DET,MTL,3,9,2.0,
2007,NHL,NYR,OTT,1,3,,0.0
1949,NHL,MTL,NYR,7,5,2.0,
1921,NHL,OTS,HAM,5,3,0.0,
1973,NHL,LAK,STL,3,2,0.0,
1981,NHL,VAN,HAR,2,0,1.0,
1973,WHA,NEW,MFS,1,4,1.0,
2001,NHL,DET,DAL,2,2,0.0,0.0
2009,NHL,TOR,FLO,2,2,,0.0
1997,NHL,VAN,PHO,2,2,0.0,
1973,WHA,QUN,LAS,4,2,0.0,
1985,NHL,BOS,CAL,2,1,0.0,
2003,NHL,CAR,BOS,2,1,1.0,0.0
2011,NHL,BOS,OTT,5,1,,0.0
2008,NHL,FLO,DET,0,1,,0.0
1973,NHL,MTL,CHI,2,2,1.0,
2006,NHL,PIT,PHO,1,0,,0.0
2000,NHL,FLO,COL,0,2,0.0,0.0
1974,WHA,MIB,CHC,2,4,0.0,
2002,NHL,PHO,DAL,0,3,2.0,0.0
1976,NHL,BOS,CHI,4,0,0.0,
2007,NHL,NYI,CAL,1,0,,0.0
2011,NHL,MTL,PHI,1,3,,0.0
2011,NHL,BUF,DAL,1,0,,0.0
1978,WHA,EDO,SOV,1,0,0.0,
2002,NHL,NJD,SJS,1,0,0.0,0.0
2006,NHL,OTT,NYI,4,0,,0.0
1990,NHL,PIT,BOS,1,1,1.0,
2008,NHL,FLO,NAS,1,0,,1.0
2009,NHL,NYI,MIN,0,1,,0.0
1974,NHL,WAS,PHI,0,4,0.0,
1998,NHL,PHI,PIT,3,1,1.0,
1995,NHL,TOR,STL,4,1,1.0,
2006,NHL,NJD,CBS,1,0,,0.0
2011,NHL,CBS,PIT,0,1,,0.0
1989,NHL,TOR,BOS,1,2,0.0,
2003,NHL,TOR,DET,1,0,0.0,0.0
1926,NHL,MTL,MTM,5,1,0.0,
1974,NHL,MTL,VAN,4,0,0.0,
1990,NHL,CHI,PHI,1,2,0.0,
2002,NHL,BUF,COL,1,0,0.0,0.0
1987,NHL,DET,PIT,2,1,0.0,
1985,NHL,WAS,QUE,3,0,0.0,
1992,NHL,NYR,STL,2,0,0.0,
1999,NHL,BUF,DET,0,2,0.0,0.0
1974,WHA,HOU,QUN,3,3,0.0,
1999,NHL,PHO,ANA,4,1,0.0,1.0
2005,NHL,TBL,NYI,4,0,,0.0
1999,NHL,VAN,TOR,1,0,0.0,2.0
1988,NHL,MNS,PIT,2,1,0.0,
1996,NHL,VAN,SJS,4,2,0.0,
1980,NHL,QUE,HAR,2,2,0.0,
2007,NHL,AND,BUF,1,0,,0.0
1983,NHL,EDM,LAK,6,2,0.0,
2009,NHL,ATL,NYI,1,2,,1.0
1985,NHL,HAR,PIT,2,1,0.0,
2010,NHL,MIN,TOR,0,1,,0.0
1940,NHL,DET,NYR,3,2,3.0,
2010,NHL,MTL,COL,0,1,,0.0
2001,NHL,NAS,NYR,1,0,0.0,0.0
1983,NHL,NYI,DET,1,2,0.0,
1985,NHL,NJD,TOR,1,2,0.0,
2005,NHL,BOS,OTT,4,3,,1.0
2009,NHL,PHO,SJS,2,1,,3.0
2010,NHL,DAL,CBS,2,1,,1.0
1997,NHL,WAS,NJD,2,2,1.0,
1985,NHL,DET,CAL,0,2,1.0,
1960,NHL,NYR,DET,5,7,2.0,
1993,NHL,BOS,PIT,0,6,0.0,
1993,NHL,DAL,PIT,2,0,0.0,
1987,NHL,CAL,DET,1,1,1.0,
1984,NHL,NYI,HAR,1,1,1.0,
2007,NHL,DET,BOS,1,0,,0.0
2005,NHL,TBL,TOR,2,2,,0.0
1981,NHL,NYI,BOS,1,2,0.0,
1997,NHL,ANA,MTL,1,1,0.0,
1995,NHL,ANA,COL,3,3,0.0,
1990,NHL,TOR,MTL,1,1,1.0,
2006,NHL,TOR,CAL,1,0,,0.0
1938,NHL,NYR,BOS,3,5,0.0,
1973,WHA,WIJ,QUN,4,1,1.0,
2008,NHL,CAR,FLO,3,3,,0.0
2001,NHL,SJS,NYR,1,1,0.0,0.0
1991,NHL,SJS,WIN,1,5,1.0,
2002,NHL,NJD,MTL,3,1,0.0,0.0
1979,NHL,COR,BOS,1,2,1.0,
