coachid,award,year,lgid,note
keenami01c,Джек Адамс,1984,NHL,
bylsmda01c,Джек Адамс,2010,NHL,
burnspa01c,Джек Адамс,1997,NHL,
irvindi01c,Вторая команда всех звезд,1940,NHL,
krommbo01c,Шмерц,1975,WHA,
thomppa01c,Первая команда всех звезд,1939,NHL,
demerja01c,Джек Адамс,1987,NHL,
juliecl01c,Джек Адамс,2008,NHL,
dineebi01c,Шмерц,1976,WHA,
sathegl01c,Джек Адамс,1985,NHL,
lemaija01c,Джек Адамс,1993,NHL,
burnspa01c,Джек Адамс,1992,NHL,
irvindi01c,Вторая команда всех звезд,1930,NHL,
patrile01c,Первая команда всех звезд,1933,NHL,
cherrdo01c,Джек Адамс,1975,NHL,
bouchfr01c,Первая команда всех звезд,1941,NHL,
bowmasc01c,Джек Адамс,1976,NHL,
burnspa01c,Джек Адамс,1988,NHL,
martija02c,Джек Адамс,1998,NHL,
gormato01c,Вторая команда всех звезд,1935,NHL,
barbebi01c,Джек Адамс,2000,NHL,
irvindi01c,Первая команда всех звезд,1944,NHL,
crawfma01c,Джек Адамс,1994,NHL,
berenre01c,Джек Адамс,1980,NHL,
gottsjo01c,Вторая команда всех звезд,1945,NHL,
rossar01c,Первая команда всех звезд,1938,NHL,
wattto01c,Джек Адамс,1981,NHL,
ruffli01c,Джек Адамс,2005,NHL,
adamsja01c,Вторая команда всех звезд,1944,NHL,
francbo01c,Джек Адамс,2001,NHL,
weilaco01c,Первая команда всех звезд,1940,NHL,
hartce01c,Вторая команда всех звезд,1936,NHL,
dineebi01c,Шмерц,1977,WHA,
irvindi01c,Первая команда всех звезд,1943,NHL,
quinnpa01c,Джек Адамс,1979,NHL,
irvindi01c,Вторая команда всех звезд,1931,NHL,
irvindi01c,Вторая команда всех звезд,1933,NHL,
patrile01c,Первая команда всех звезд,1934,NHL,
krommbo01c,Джек Адамс,1977,NHL,
adamsja01c,Первая команда всех звезд,1936,NHL,
adamsja01c,Первая команда всех звезд,1942,NHL,
brophjo01c,Шмерц,1978,WHA,
harribi01c,Болдуин,1973,WHA,
arboual01c,Джек Адамс,1978,NHL,
patrile01c,Первая команда всех звезд,1937,NHL,
quinnpa01c,Джек Адамс,1991,NHL,
hitchke01c,Джек Адамс,2011,NHL,
pulfobo01c,Джек Адамс,1974,NHL,
rossar01c,Вторая команда всех звезд,1937,NHL,
patrile01c,Первая команда всех звезд,1930,NHL,
tortojo01c,Джек Адамс,2003,NHL,
murrabr01c,Джек Адамс,1983,NHL,
kelleja01c,Болдуин,1972,WHA,
dayha01c,Вторая команда всех звезд,1943,NHL,
demerja01c,Джек Адамс,1986,NHL,
tessior01c,Джек Адамс,1982,NHL,
huculsa01c,Шмерц,1974,WHA,
rossar01c,Вторая команда всех звезд,1942,NHL,
vigneal01c,Джек Адамс,2006,NHL,
duttore01c,Вторая команда всех звезд,1938,NHL,
thomppa01c,Вторая команда всех звезд,1941,NHL,
irvindi01c,Вторая команда всех звезд,1934,NHL,
irvindi01c,Вторая команда всех звезд,1932,NHL,
suttebr01c,Джек Адамс,1990,NHL,
