playerid,year,tmid,lgid,pos,gp,g,a,pts,pim
malonjo01,1912,QU1,NHA,C,3,2,0,2,2
halljo01,1912,QU1,NHA,D,3,0,0,0,7
rileyji01,1919,SEA,PCHA,L,5,0,1,1,0
murramu01,1918,SEA,PCHA,D,5,2,0,2,6
mcdonra01,1918,SEA,PCHA,L,5,1,1,2,3
mackami01,1922,VAM,PCHA,L,4,1,0,1,4
mcgifro01,1913,TBS,NHA,F,3,2,0,2,25
broadpu01,1914,OT1,NHA,R,3,3,0,3,9
phillme01,1925,MTM,NHL,F,4,1,1,2,0
parkeer01,1921,VML,PCHA,R,5,0,3,3,0
cleghsp01,1919,OTS,NHL,D,5,0,1,1,4
haldeha01,1924,VIC,WCHL,R,4,2,1,3,8
vezinge01,1924,MTL,NHL,G,4,0,0,0,0
loughcl01,1925,VIC,WCHL,D,4,1,0,1,8
bostrhe01,1922,EDE,WCHL,D,1,0,0,0,0
morribe01,1923,CAT,WCHL,C,2,0,0,0,2
lehmahu01,1917,VML,PCHA,G,5,0,0,0,0
carsofr01,1925,MTM,NHL,R,4,0,0,0,0
rowebo01,1919,SEA,PCHA,D,5,2,1,3,13
moynesp01,1917,VML,PCHA,R,4,0,0,0,9
barboal01,1915,PO1,PCHA,C,5,0,0,0,0
mcnamge02,1913,TBS,NHA,D,3,2,0,2,4
grahale01,1914,OT1,NHA,L,3,1,0,1,0
nichosi01,1919,SEA,PCHA,L,4,0,0,0,0
bouchbi01,1923,MTL,NHL,R,4,5,1,6,6
corbebe01,1918,MTL,NHL,D,5,0,1,1,3
meekiha01,1924,VIC,WCHL,L,4,0,1,1,2
rossar01,1914,OT1,NHA,D,3,0,0,0,12
nighbfr01,1919,OTS,NHL,C,5,6,1,7,2
taylocy01,1920,VML,PCHA,L,3,0,1,1,5
cleghod01,1923,MTL,NHL,R/C,4,0,1,1,0
crawfru01,1923,CAT,WCHL,L,2,0,0,0,0
rickero01,1916,SEA,PCHA,D,4,0,1,1,23
andrell01,1921,TRS,NHL,F,5,2,0,2,3
joliaau01,1923,MTL,NHL,L,4,3,1,4,6
morenho01,1924,MTL,NHL,C,4,4,1,5,4
skinnal01,1922,VAM,PCHA,R,3,1,1,2,6
stackte01,1921,TRS,NHL,D,4,0,0,0,0
smyliro01,1921,TRS,NHL,L,5,1,3,4,0
crawfru01,1912,QU1,NHA,R,3,3,0,3,19
cleghsp01,1920,OTS,NHL,D,5,1,2,3,0
lavioja01,1916,MOC,NHA,L,4,1,2,3,9
duttore01,1923,CAT,WCHL,D,2,0,0,0,9
rickero01,1918,SEA,PCHA,D,5,1,2,3,0
manthsy01,1924,MTL,NHL,D,4,0,0,0,2
lehmahu01,1920,VML,PCHA,G,5,0,0,0,0
wilsocu01,1923,CAT,WCHL,L,2,0,0,0,2
dennecy01,1922,OTS,NHL,L,6,1,1,2,8
darraja01,1914,OT1,NHA,C,2,3,0,3,6
foystfr01,1919,SEA,PCHA,C,5,6,1,7,7
bouchge01,1922,OTS,NHL,D,6,2,1,3,6
poulisk01,1913,VA1,PCHA,L,3,2,0,2,17
walkeja01,1924,VIC,WCHL,L,4,4,2,6,0
bouchbo01,1923,MTL,NHL,F,3,0,0,0,0
vezinge01,1916,MOC,NHA,G,4,0,0,0,0
smailwa01,1912,VA1,PCHA,L,1,0,0,0,0
dyeba01,1921,TRS,NHL,R,5,9,1,10,3
tobinch01,1915,PO1,PCHA,R,5,2,1,3,12
morribe01,1919,SEA,PCHA,C,5,0,2,2,0
stanlba01,1914,VML,PCHA,R,3,6,0,6,0
foystfr01,1918,SEA,PCHA,L,5,9,1,10,0
rowebo01,1913,VA1,PCHA,D,3,0,0,0,3
camerha01,1921,TRS,NHL,D,4,0,2,2,11
poulisk01,1915,MOC,NHA,C,5,1,1,2,6
oliveha01,1923,CAT,WCHL,R,2,0,0,0,0
foystfr01,1924,VIC,WCHL,C,4,1,0,1,0
patrile01,1912,VA1,PCHA,D,3,4,0,4,4
johnsmo01,1915,PO1,PCHA,D,5,1,1,2,9
broadpu01,1919,OTS,NHL,R,4,0,0,0,3
clancki01,1922,OTS,NHL,D,6,1,0,1,4
murrato01,1915,PO1,PCHA,G,5,0,0,0,0
loughcl01,1924,VIC,WCHL,D,4,1,0,1,4
benedcl01,1914,OT1,NHA,G,3,0,0,0,0
camerha01,1917,TOA,NHL,D,5,3,1,4,0
mcnamho01,1915,MOC,NHA,D,5,0,1,1,21
keatsdu01,1922,EDE,WCHL,C,2,0,0,0,4
randake01,1917,TOA,NHL,R/D,5,1,0,1,0
cotchch01,1922,VAM,PCHA,L,2,0,0,0,0
bostrhe01,1923,VAM,PCHA,D,2,1,0,1,0
nighbfr01,1922,OTS,NHL,C,6,1,1,2,10
harrism01,1920,VML,PCHA,L,5,2,1,3,6
mcdonja01,1918,MTL,NHL,C,5,1,1,2,3
smithto01,1912,QU1,NHA,L,3,4,0,4,0
benedcl01,1919,OTS,NHL,G,5,0,0,0,0
mackeja01,1920,OTS,NHL,F,4,0,0,0,0
lavioja01,1916,MOC,NHA,L,4,1,2,3,9
denneco01,1917,TOA,NHL,L/C,5,3,1,4,0
broadpu01,1919,OTS,NHL,R,4,0,0,0,3
griffsi01,1917,VML,PCHA,D,5,1,0,1,9
bensobo01,1923,CAT,WCHL,D,2,0,0,0,0
foystfr01,1913,TBS,NHA,C,3,2,0,2,3
hitchli01,1922,OTS,NHL,D,5,1,0,1,4
camerha01,1921,TRS,NHL,D,4,0,2,2,11
walkeja01,1925,VIC,WCHL,C,4,0,0,0,0
vezinge01,1924,MTL,NHL,G,4,0,0,0,0
frasego01,1925,VIC,WCHL,D,4,0,0,0,14
mackeja01,1919,OTS,NHL,F,5,0,0,0,0
taylocy01,1914,VML,PCHA,R/L,3,7,3,10,3
lalonne01,1916,MOC,NHA,C,4,1,0,1,21
gengebo01,1912,VA1,PCHA,C,3,3,0,3,14
parkeer01,1921,VML,PCHA,R,5,0,3,3,0
benedcl01,1925,MTM,NHL,G,4,0,0,0,0
walkeja01,1919,SEA,PCHA,C,5,1,3,4,0
randake01,1921,TRS,NHL,D/R,4,1,0,1,19
lehmahu01,1914,VML,PCHA,G,3,0,0,0,0
patrifr01,1914,VML,PCHA,D,3,2,1,3,6
broadpu01,1922,OTS,NHL,R,6,6,1,7,12
mackami01,1923,VAM,PCHA,L,2,0,0,0,0
skinnal01,1917,TOA,NHL,R,5,8,2,10,0
rileyji01,1916,SEA,PCHA,L,4,0,0,0,3
mackami01,1921,VML,PCHA,L,5,1,0,1,6
holmeha01,1925,VIC,WCHL,G,4,0,0,0,0
mummeha01,1917,TOA,NHL,D,5,0,6,6,0
mcdonra01,1917,VML,PCHA,L,3,2,1,3,9
harrism01,1920,VML,PCHA,L,5,2,1,3,6
dundeto01,1912,VA1,PCHA,C,3,3,0,3,8
coutubi01,1916,MOC,NHA,D,4,0,0,0,36
nighbfr01,1914,VML,PCHA,C,3,4,6,10,6
halljo01,1918,MTL,NHL,D,5,0,0,0,6
dundeto01,1913,VA1,PCHA,C,3,2,0,2,11
rickero01,1918,SEA,PCHA,D,5,1,2,3,0
cleghsp01,1919,OTS,NHL,D,5,0,1,1,4
parkeer01,1923,VAM,PCHA,R,2,0,0,0,0
dinsmch01,1925,MTM,NHL,F,4,0,0,0,2
duncaar01,1923,VAM,PCHA,D,2,0,0,0,6
clancki01,1922,OTS,NHL,D,6,1,0,1,4
irvinde01,1915,PO1,PCHA,D,5,0,0,0,14
lalonne01,1915,MOC,NHA,C,4,3,2,5,28
mcnamho01,1915,MOC,NHA,D,5,0,1,1,21
rossar01,1914,OT1,NHA,D,3,0,0,0,12
skinnal01,1920,VML,PCHA,R,3,4,0,4,14
nighbfr01,1919,OTS,NHL,C,5,6,1,7,2
joliaau01,1924,MTL,NHL,L,4,2,0,2,16
lindsbe01,1912,VA1,PCHA,G,3,0,0,0,0
haldeha01,1925,VIC,WCHL,D,4,1,0,1,8
broadpu01,1920,OTS,NHL,R,4,2,0,2,0
skinnal01,1923,VAM,PCHA,R,2,0,0,0,0
meekiha01,1917,TOA,NHL,L,5,1,2,3,0
reidch01,1923,CAT,WCHL,G,2,0,0,0,0
gerared01,1922,OTS,NHL,D,6,1,0,1,4
lehmahu01,1923,VAM,PCHA,G,2,0,0,0,0
haldeha01,1924,VIC,WCHL,R,4,2,1,3,8
mcnamge02,1913,TBS,NHA,D,3,2,0,2,4
poulisk01,1913,VA1,PCHA,L,3,2,0,2,17
hartgi01,1924,VIC,WCHL,R,4,2,1,3,0
duncaar01,1922,VAM,PCHA,D,4,2,2,4,0
berlilo01,1918,MTL,NHL,L,5,1,1,2,0
parkeer01,1922,VAM,PCHA,R,4,0,2,2,2
crawfru01,1912,QU1,NHA,R,3,3,0,3,19
cookll01,1921,VML,PCHA,D,5,1,0,1,6
meekiha01,1925,VIC,WCHL,L,4,0,0,0,6
malonjo01,1912,QU1,NHA,C,3,2,0,2,2
holmeha01,1924,VIC,WCHL,G,4,0,0,0,0
