name,id,award,year,lgid,note
Bud Poile,poilebu01,Patrick,1988,NHL,
Walter Brown,brownwa02h,Patrick,1967,NHL,posthumous
James D. Norris,norrija03h,Patrick,1971,NHL,posthumous
Jack Butterfield,butteja01h,Patrick,1984,NHL,
Stan Mikita,mikitst01,Patrick,1975,NHL,
Phil Esposito,esposph01,Patrick,1977,NHL,
Frank Boucher,bouchfr01,Patrick,1992,NHL,
Weston Adams,adamswe01h,Patrick,1973,NHL,posthumous
Thomas Lockhart,lockhth01h,Patrick,1967,NHL,
Raymond Bourque,bourqra01,Patrick,2002,NHL,
Bob Naegele,,Patrick,2007,NHL,
1998 U.S. Olympic Women's Hockey Team,,Patrick,1998,NHL,
Eddie Shore,shoreed01,Patrick,1969,NHL,
Dave Andrews,,Patrick,2009,NHL,
Lou Vairo,,Patrick,1999,NHL,
Jack Adams,adamsja01,Patrick,1965,NHL,
William Tutt,tuttwi01h,Patrick,1977,NHL,
Bob Pulford,pulfobo01,Patrick,2010,NHL,
Ray Miron,,Patrick,2003,NHL,
Fred Cusick,,Patrick,1987,NHL,
Robert Ridder,,Patrick,1993,NHL,
Jim Devellano,,Patrick,2008,NHL,
Cammi Granato,,Patrick,2006,NHL,
Stan Fischler,,Patrick,2006,NHL,
Mike Richter,richtmi01,Patrick,2008,NHL,
Seymour H. Knox III,,Patrick,1996,NHL,posthumous
Bruce McNall,,Patrick,1992,NHL,
Murray Armstrong,armstmu01,Patrick,1976,NHL,
Tom Fitzgerald,,Patrick,1977,NHL,
Mario Lemieux,lemiema01,Patrick,1999,NHL,
Art Berglund,,Patrick,1991,NHL,
Red Berenson,berenre01,Patrick,2005,NHL,
Charles Adams,adamsch01h,Patrick,1966,NHL,posthumous
Bob Johnson,johnsbo02c,Patrick,1987,NHL,
Ron DeGregorio,,Patrick,2002,NHL,
Pat LaFontaine,lafonpa01,Patrick,1996,NHL,
Donald Clark,,Patrick,1974,NHL,
Bobby Hull,hullbo01,Patrick,1968,NHL,
Dan Kelly,kellyda01,Patrick,1988,NHL,
George Leader,,Patrick,1975,NHL,
Herb Brooks,brookhe01c,Patrick,2001,NHL,
Bobby Orr,orrbo01,Patrick,1978,NHL,
Phil Housley,houslph01,Patrick,2007,NHL,
Brian Leetch,leetcbr01,Patrick,2006,NHL,
Lynn Patrick,patrily01,Patrick,1988,NHL,posthumous
Bobby Clarke,clarkbo01,Patrick,1979,NHL,
Alex Delvecchio,delveal01,Patrick,1973,NHL,
John Davidson,davidjo01,Patrick,2003,NHL,
Emile Francis,francem01,Patrick,1981,NHL,
Tony Rossi,,Patrick,2010,NHL,
John Mayasich,,Patrick,1997,NHL,
Cooney Weiland,weilaco01,Patrick,1971,NHL,
Ted Lindsay,lindste01,Patrick,2007,NHL,
Peter Karmanos,,Patrick,1997,NHL,
Mark Johnson,johnsma02,Patrick,2010,NHL,
Murray Murdoch,murdomu01,Patrick,1973,NHL,
Red Dutton,duttore01,Patrick,1992,NHL,
Rod Gilbert,gilbero01,Patrick,1990,NHL,
Gordie Howe,howego01,Patrick,1966,NHL,
Al Arbour,arboual01,Patrick,1991,NHL,
Gil Stein,,Patrick,1992,NHL,
Keith Allen,allenke01,Patrick,1987,NHL,
Ed Jeremiah,jeremed01,Patrick,1968,NHL,posthumous
Clarence Campbell,campbcl01h,Patrick,1971,NHL,
Craig Patrick,patricr01,Patrick,1999,NHL,
