coachid,award,year,lgid,note
irvindi01c,Second Team All-Star,1931,NHL,
dayha01c,Second Team All-Star,1943,NHL,
irvindi01c,Second Team All-Star,1933,NHL,
bowmasc01c,Jack Adams,1995,NHL,
sathegl01c,Jack Adams,1985,NHL,
brophjo01c,Schmertz,1978,WHA,
irvindi01c,First Team All-Star,1944,NHL,
dineebi01c,Schmertz,1976,WHA,
quinnpa01c,Jack Adams,1979,NHL,
patrile01c,First Team All-Star,1931,NHL,
pulfobo01c,Jack Adams,1974,NHL,
nolante01c,Jack Adams,1996,NHL,
irvindi01c,Second Team All-Star,1934,NHL,
weilaco01c,First Team All-Star,1940,NHL,
murrabr01c,Jack Adams,1983,NHL,
patrile01c,First Team All-Star,1935,NHL,
adamsja01c,First Team All-Star,1936,NHL,
irvindi01c,First Team All-Star,1945,NHL,
irvindi01c,Second Team All-Star,1930,NHL,
juliecl01c,Jack Adams,2008,NHL,
cherrdo01c,Jack Adams,1975,NHL,
tessior01c,Jack Adams,1982,NHL,
patrile01c,First Team All-Star,1934,NHL,
huculsa01c,Schmertz,1974,WHA,
dineebi01c,Schmertz,1977,WHA,
barbebi01c,Jack Adams,2000,NHL,
lemaija01c,Jack Adams,1993,NHL,
ruffli01c,Jack Adams,2005,NHL,
tortojo01c,Jack Adams,2003,NHL,
patrile01c,First Team All-Star,1933,NHL,
keenami01c,Jack Adams,1984,NHL,
irvindi01c,First Team All-Star,1943,NHL,
wattto01c,Jack Adams,1981,NHL,
arboual01c,Jack Adams,1978,NHL,
demerja01c,Jack Adams,1986,NHL,
crawfma01c,Jack Adams,1994,NHL,
burnspa01c,Jack Adams,1992,NHL,
rossar01c,Second Team All-Star,1937,NHL,
hartce01c,Second Team All-Star,1936,NHL,
boudrbr01c,Jack Adams,2007,NHL,
patrile01c,First Team All-Star,1932,NHL,
duttore01c,Second Team All-Star,1938,NHL,
adamsja01c,Second Team All-Star,1944,NHL,
adamsja01c,First Team All-Star,1942,NHL,
francbo01c,Jack Adams,2001,NHL,
patrile01c,First Team All-Star,1937,NHL,
berenre01c,Jack Adams,1980,NHL,
rossar01c,First Team All-Star,1938,NHL,
irvindi01c,Second Team All-Star,1932,NHL,
rossar01c,Second Team All-Star,1942,NHL,
gormato01c,Second Team All-Star,1935,NHL,
krommbo01c,Jack Adams,1977,NHL,
burnspa01c,Jack Adams,1988,NHL,
burnspa01c,Jack Adams,1997,NHL,
bouchfr01c,First Team All-Star,1941,NHL,
thomppa01c,Second Team All-Star,1941,NHL,
vigneal01c,Jack Adams,2006,NHL,
quennjo01c,Jack Adams,1999,NHL,
patrile01c,First Team All-Star,1930,NHL,
kelleja01c,Baldwin,1972,WHA,
barbebi01c,Jack Adams,2000,NHL,
bylsmda01c,Jack Adams,2010,NHL,
patrile01c,First Team All-Star,1932,NHL,
duttore01c,Second Team All-Star,1938,NHL,
weilaco01c,First Team All-Star,1940,NHL,
dayha01c,Second Team All-Star,1943,NHL,
lemaija01c,Jack Adams,2002,NHL,
wattto01c,Jack Adams,1981,NHL,
adamsja01c,First Team All-Star,1936,NHL,
tortojo01c,Jack Adams,2003,NHL,
