type,code,fullname
Playoffs,PF,Lost PCHA finals
Division,PT,Patrick Division
Round,DF,Division Finals
Playoffs,SCSF,Lost Stanley Cup semi-finals
Playoffs,AVPRE,Lost AVCO Cup preliminary round
Round,F,Finals
Division,CW,WHA Canadian Division
Playoffs,WF,Lost WCHL finals
Round,CSF,Conference Semi-Finals
Division,WW,WHA West Division
Playoffs,CQF,Lost NHL conference quarter-finals
Playoffs,DF,Lost NHL division finals
Division,NO,Norris Division
Division,CA,Canadian Division
Playoffs,QF,Lost NHL quarter-finals
Playoffs,CF,Lost NHL conference finals
Round,ACF,Avco Cup Finals
Conference,CC,Campbell Conference
Division,NE,Northeast Division
Division,SM,Smythe Division
Round,CF,Conference Finals
Playoffs,F,Lost Stanley Cup finals
Conference,WA,Wales Conference
Playoffs,ND,ND - Stanley Cup finals halted (influenza epidemic)
Playoffs,NHAF,Lost NHA finals
Playoffs,PRE,Lost NHL preliminary round
Round,SCSF,Stanley Cup Semi-Finals
Playoffs,AVF,Lost AVCO Cup finals
Division,PC,Pacific Division
Division,AD,Adams Division
Round,SCF,Stanley Cup Finals
Playoffs,WCS,Won Challenge Series
Division,ED,East Division
Division,WD,West Division
Round,SF,Semi-Finals
Conference,EC,Eastern Conference
Division,SE,Southeast Division
Playoffs,AVSF,Lost AVCO Cup semi-finals
Playoffs,WSF,Lost WCHL semi-finals
Playoffs,SC,Won Stanley Cup
Playoffs,AVQF,Lost AVCO Cup quarter-finals
Round,WP,Western Playoff
Playoffs,AVC,Won AVCO Cup
Round,QF,Quarter-Finals
Round,Pre,Preliminary
Division,NW,Northwest Division
Round,CQF,Conference Quarter-Finals
Round,DSF,Division Semi-Finals
Division,EW,WHA East Division
Playoffs,NHLF,Lost NHL finals
Playoffs,LCS,Won Stanley Cup / Lost Challenge Series
Playoffs,CSF,Lost NHL conference semi-finals
Division,CE,Central Division
Playoffs,SF,Lost NHL semi-finals
Division,AM,American Division
Conference,WC,Western Conference
Playoffs,DSF,Lost NHL division semi-finals
Division,AT,Atlantic Division
