playerid,year,stint,tmid,lgid,pos,gp,g,a,pts,pim,+/-,ppg,ppa,shg,sha,gwg,gtg,sog,postgp,postg,posta,postpts,postpim,post+/-,postppg,postppa,postshg,postsha,postgwg,postsog
aaltoan01,1997,1,ANA,NHL,C,3,0,0,0,0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,
aaltoan01,1998,1,ANA,NHL,C,73,3,5,8,24,-12.0,2.0,1.0,0.0,0.0,0.0,0.0,61.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aaltoan01,1999,1,ANA,NHL,C,63,7,11,18,26,-13.0,1.0,0.0,0.0,0.0,1.0,0.0,102.0,,,,,,,,,,,,
aaltoan01,2000,1,ANA,NHL,C,12,1,1,2,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,,,,,,,,,,,,
abbeybr01,1975,1,CIN,WHA,D,17,1,0,1,12,-3.0,0.0,,0.0,,0.0,,2.0,,,,,,,,,,,,
abbotge01,1943,1,BOS,NHL,G,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,
abbotre01,1952,1,MTL,NHL,C,3,0,0,0,0,,,,,,,,,,,,,,,,,,,,
abdelju01,2007,1,DET,NHL,L,2,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,,6.0,,,,,,,,,,,,
abdelju01,2008,1,DET,NHL,L,2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,10.0,2.0,1.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,11.0
abdelju01,2009,1,DET,NHL,L,50,3,3,6,35,-11.0,0.0,0.0,0.0,0.0,0.0,,79.0,11.0,1.0,1.0,2.0,36.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0
abdelju01,2010,1,DET,NHL,L,74,7,12,19,61,15.0,0.0,0.0,0.0,1.0,1.0,,129.0,11.0,0.0,0.0,0.0,22.0,-4.0,0.0,0.0,0.0,0.0,0.0,17.0
abdelju01,2011,1,DET,NHL,L,81,8,14,22,62,4.0,0.0,0.0,0.0,0.0,1.0,,121.0,5.0,0.0,0.0,0.0,2.0,-5.0,0.0,0.0,0.0,0.0,0.0,7.0
abelcl01,1926,1,NYR,NHL,D,44,8,4,12,78,,,,,,,,,2.0,0.0,1.0,1.0,8.0,,,,,,,
abelcl01,1927,1,NYR,NHL,D,23,0,1,1,28,,,,,,,,,9.0,1.0,0.0,1.0,14.0,,,,,,,
abelcl01,1928,1,NYR,NHL,D,44,3,1,4,41,,,,,,,,,6.0,0.0,0.0,0.0,8.0,,,,,,,
abelcl01,1929,1,CHI,NHL,D,38,3,3,6,42,,,,,,,,,2.0,0.0,0.0,0.0,10.0,,,,,,,
abelcl01,1930,1,CHI,NHL,D,43,0,1,1,45,,,,,,,,,9.0,0.0,0.0,0.0,8.0,,,,,,,
abelcl01,1931,1,CHI,NHL,D,48,4,3,7,34,,,,,,,,,2.0,0.0,0.0,0.0,2.0,,,,,,,
abelcl01,1932,1,CHI,NHL,D,47,0,4,4,63,,,,,,,,,,,,,,,,,,,,
abelcl01,1933,1,CHI,NHL,D,46,2,1,3,28,,,,,,,,,8.0,0.0,0.0,0.0,8.0,,,,,,,
abelge01,1966,1,DET,NHL,C,1,0,0,0,0,,0.0,,0.0,,0.0,0.0,,,,,,,,,,,,,
abelsi01,1938,1,DET,NHL,L,15,1,1,2,0,,,,,,,,,6.0,1.0,1.0,2.0,2.0,,,,,,,
abelsi01,1939,1,DET,NHL,L,24,1,5,6,4,,,,,,,,,5.0,0.0,3.0,3.0,21.0,,,,,,,
abelsi01,1940,1,DET,NHL,C,47,11,22,33,29,,,,,,,,,9.0,2.0,2.0,4.0,2.0,,,,,,,
abelsi01,1941,1,DET,NHL,C,48,18,31,49,45,,,,,,,,,12.0,4.0,2.0,6.0,8.0,,,,,,,
abelsi01,1942,1,DET,NHL,L,49,18,24,42,33,,,,,,,,,10.0,5.0,8.0,13.0,4.0,,,,,,,
abelsi01,1945,1,DET,NHL,C,7,0,2,2,0,,,,,,,,,3.0,0.0,0.0,0.0,0.0,,,,,,,
abelsi01,1946,1,DET,NHL,C,60,19,29,48,29,,,,,,,,,3.0,1.0,1.0,2.0,2.0,,,,,,,
abelsi01,1947,1,DET,NHL,C,60,14,30,44,69,,,,,,,,,10.0,0.0,3.0,3.0,16.0,,,,,,,
abelsi01,1948,1,DET,NHL,C,60,28,26,54,49,,,,,,,,,11.0,3.0,3.0,6.0,6.0,,,,,,,
abelsi01,1949,1,DET,NHL,C,69,34,35,69,46,,,,,,,,,14.0,6.0,2.0,8.0,6.0,,,,,,,
abelsi01,1950,1,DET,NHL,C,69,23,38,61,30,,,,,,,,,6.0,4.0,3.0,7.0,0.0,,,,,,,
abelsi01,1951,1,DET,NHL,C,62,17,36,53,32,,,,,,,,,7.0,2.0,2.0,4.0,12.0,,,,,,,
abelsi01,1952,1,CHI,NHL,C,39,5,4,9,6,,,,,,,,,1.0,0.0,0.0,0.0,0.0,,,,,,,
abelsi01,1953,1,CHI,NHL,C,3,0,0,0,4,,,,,,,,,,,,,,,,,,,,
abgrade01,1975,1,LAK,NHL,R,13,0,2,2,4,-7.0,0.0,,0.0,,0.0,0.0,9.0,,,,,,,,,,,,
abgrade01,1976,1,CIN,WHA,R,80,23,39,62,22,26.0,4.0,,0.0,,,,125.0,4.0,2.0,0.0,2.0,5.0,-3.0,,,,,0.0,
abgrade01,1977,1,CIN,WHA,R,65,13,11,24,13,-2.0,2.0,,0.0,,,,79.0,,,,,,,,,,,,
abidra01,2002,1,PHO,NHL,L,30,10,8,18,30,1.0,4.0,2.0,0.0,0.0,3.0,0.0,52.0,,,,,,,,,,,,
abidra01,2002,2,PIT,NHL,L,3,0,0,0,2,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,,,,,,,,,,,,
abidra01,2003,1,PIT,NHL,L,16,3,2,5,27,-5.0,2.0,2.0,0.0,0.0,1.0,0.0,35.0,,,,,,,,,,,,
abidra01,2005,1,ATL,NHL,L,6,0,2,2,6,1.0,0.0,0.0,0.0,0.0,0.0,,6.0,,,,,,,,,,,,
abidra01,2006,1,NAS,NHL,L,13,1,4,5,13,-3.0,0.0,0.0,0.0,0.0,0.0,,12.0,2.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
abrahch01,1974,1,NEW,WHA,G,16,0,0,0,0,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,
