playerid,year,stint,tmid,w,l,sa,ga
bobrose01,2010,1,PHI,1,4,17,9
priceca01,2011,1,MTL,5,8,40,14
niittan01,2008,1,PHI,2,3,18,6
josepcu01,2006,1,PHO,2,1,13,2
masonst01,2009,1,CBS,0,7,28,12
nabokev01,2011,1,NYI,5,1,18,4
kiprumi01,2011,1,CAL,3,8,40,15
andercr01,2008,1,FLO,0,4,11,7
tellqmi01,2005,1,TOR,1,1,5,2
rinnepe01,2009,1,NAS,6,3,45,11
macdojo01,2006,1,DET,0,1,7,3
drouije01,2009,1,EDM,4,3,37,11
kolziol01,2007,1,WAS,2,4,34,11
gustajo01,2009,1,TOR,2,1,7,3
lundqhe01,2010,1,NYR,7,3,46,7
lehtoka01,2007,1,ATL,4,3,18,5
lehtoka01,2010,1,DAL,3,7,33,14
clemmsc01,2008,1,NJD,2,1,12,3
peterju01,2010,1,CAR,0,1,2,2
thomati01,2009,1,BOS,5,5,33,9
holtbbr01,2011,1,WAS,0,1,4,2
sauveph01,2005,1,CAL,1,0,3,0
ramoka01,2007,1,TBL,0,1,2,2
conklty01,2005,1,EDM,0,1,2,2
varlasi01,2011,1,COL,8,0,24,2
gustajo01,2011,1,TOR,1,3,11,4
labarja01,2010,1,PHO,1,1,5,2
turcoma01,2010,1,CHI,2,2,13,7
nabokev01,2008,1,SJS,5,4,32,11
gerbema01,2010,1,EDM,1,0,4,1
auldal01,2006,1,FLO,0,3,8,6
leclapa01,2006,1,CBS,1,1,15,4
gigueje01,2010,1,TOR,2,2,15,7
smithmi02,2008,1,TBL,2,7,27,15
holmqjo01,2006,1,TBL,6,1,33,4
leclapa01,2009,1,OTT,3,1,10,5
raycran01,2006,1,TOR,3,6,32,13
bironma01,2010,1,NYR,2,0,7,2
toskave01,2007,1,TOR,2,3,15,6
thibajo01,2005,1,PIT,1,1,12,3
conklty01,2007,1,PIT,2,3,15,7
rolosdw01,2010,2,TBL,3,3,24,6
smithmi02,2006,1,DAL,1,0,3,0
weekeke01,2008,1,NJD,2,0,6,2
leighmi01,2009,1,CAR,1,0,3,0
raycran01,2008,1,COL,2,0,8,1
theodjo01,2006,1,COL,2,0,6,0
niemian02,2010,1,SJS,3,5,28,8
rinnepe01,2009,1,NAS,6,3,45,11
dunhami01,2005,1,ATL,0,2,4,3
masonch02,2009,1,STL,5,3,28,8
conklty01,2006,1,CBS,1,1,5,2
johnsbr02,2010,1,PIT,2,1,11,1
nabokev01,2008,1,SJS,5,4,32,11
emeryra01,2009,1,PHI,2,1,9,2
varlasi01,2010,1,WAS,1,2,8,3
