year,lgid,tmid,g,w,l,t,gf,ga,pim,benchminor,ppg,ppc,sha,pkg,pkc,shf
1948,NHL,MTL,7,3,4,0,14,17,103,,,,,,,
1936,NHL,BOS,3,1,2,0,6,8,15,,,,,,,
1975,NHL,BUF,9,4,5,0,25,29,162,0,2,42,1,7,41,1
1956,NHL,NYR,5,1,4,0,12,22,48,,,,,,,
1972,WHA,HOU,10,4,6,0,26,30,,,9,27,1,5,45,1
1984,NHL,NYR,3,0,3,0,10,14,76,0,4,11,0,5,16,0
1991,NHL,NYR,13,6,7,0,47,49,277,2,13,58,1,11,62,5
2005,NHL,NYR,4,0,4,0,4,17,71,2,2,21,3,8,27,0
1916,NHA,MOC,2,1,1,0,7,6,,,,,,,,
1986,NHL,BOS,4,0,4,0,11,19,86,4,5,19,1,4,18,1
1988,NHL,CHI,16,9,7,0,52,45,484,6,16,90,,15,99,7
1957,NHL,NYR,6,2,4,0,16,28,85,,,,,,,
1977,NHL,CHI,4,0,4,0,9,19,33,0,4,15,0,4,9,0
2001,NHL,CAR,23,13,10,0,47,43,263,4,16,103,2,15,96,1
1984,NHL,QUE,18,9,9,0,58,63,533,6,16,87,3,18,90,2
1978,WHA,QUN,4,0,4,0,12,30,,,,,,,,
1962,NHL,TOR,10,8,2,0,31,16,93,,,,,,,
2011,NHL,VAN,5,1,4,0,8,12,94,0,3,21,2,3,26,0
1977,WHA,NEW,14,8,6,0,56,47,,,,,,,,
2003,NHL,DET,12,6,6,0,24,20,135,0,5,52,1,2,50,1
1969,NHL,OAK,4,0,4,0,6,13,50,,4,,0,2,,1
1975,WHA,NEW,17,10,7,0,53,40,,,,,,,,
1996,NHL,OTT,7,3,4,0,13,14,91,2,7,35,1,2,27,0
1993,NHL,NYI,4,0,4,0,3,22,83,0,1,17,0,8,27,0
1999,NHL,PIT,11,6,5,0,31,23,173,4,8,56,1,7,45,0
1975,WHA,QUN,5,1,4,0,15,23,,,,,,,,
1990,NHL,NYR,6,2,4,0,16,16,183,0,4,36,1,2,28,0
1948,NHL,BOS,5,1,4,0,10,16,50,,,,,,,
2006,NHL,PIT,5,1,4,0,10,18,78,0,4,28,0,6,24,0
1972,NHL,BUF,6,2,4,0,16,21,59,,4,,0,4,,0
2011,NHL,DET,5,1,4,0,9,13,55,0,4,23,0,2,22,0
1986,NHL,NYR,6,2,4,0,13,22,172,0,4,35,2,3,32,0
1921,NHL,OTS,2,0,1,1,4,5,30,,,,,,,
1938,NHL,NYA,2,0,2,0,0,6,50,,,,,,,
1996,NHL,CHI,6,2,4,0,14,28,160,0,1,27,0,12,45,2
1935,NHL,NYA,5,2,3,0,10,11,29,,,,,,,
1980,NHL,PHI,12,6,6,0,48,39,415,10,11,37,0,14,61,2
1975,WHA,EDO,4,0,4,0,11,22,,,,,,,,
2001,NHL,CHI,5,1,4,0,5,13,73,2,1,17,1,5,20,0
2007,NHL,DAL,18,10,8,0,45,41,218,0,18,90,4,13,76,0
1925,WCHL,EDE,2,0,1,1,3,5,,,,,,,,
1998,NHL,TOR,17,9,8,0,43,46,252,0,12,87,3,13,71,0
1983,NHL,QUE,9,5,4,0,26,25,344,2,4,35,1,3,43,2
1928,NHL,TOR,4,2,2,0,8,5,42,,,,,,,
1990,NHL,EDM,18,9,9,0,57,60,400,2,12,91,2,21,95,0
1975,NHL,BOS,12,5,7,0,38,33,209,0,14,54,0,6,52,2
1982,NHL,PHI,3,0,3,0,9,18,75,0,3,17,0,4,16,0
1996,NHL,EDM,12,5,7,0,32,37,204,0,8,55,1,10,61,3
1974,NHL,TOR,7,2,5,0,13,21,108,0,4,36,0,5,20,0
1973,NHL,PHI,17,12,5,0,54,36,578,,14,,1,9,,2
1930,NHL,TOR,2,0,1,1,3,4,13,,,,,,,
1974,NHL,CHI,8,3,5,0,22,35,142,0,5,36,1,9,35,0
2001,NHL,NYI,7,3,4,0,21,22,169,2,11,38,0,5,43,0
2011,NHL,PHI,11,5,6,0,41,44,225,2,15,42,1,13,47,4
1978,NHL,TOR,6,2,4,0,19,24,192,0,3,19,0,9,30,1
1997,NHL,LAK,4,0,4,0,8,16,108,0,1,29,0,8,36,0
2006,NHL,OTT,20,13,7,0,59,47,246,6,18,95,0,12,99,3
1976,NHL,STL,4,0,4,0,4,19,60,0,0,13,1,4,16,0
1978,NHL,CHI,4,0,4,0,3,14,45,0,0,9,0,2,11,0
1981,NHL,WIN,4,1,3,0,13,20,121,0,5,26,0,2,16,0
1984,NHL,MNS,9,5,4,0,38,38,258,0,12,44,1,6,47,1
