File,Row,Column,Length_Orig,Length_Trans,Diff_%,Original,Translated
lake.csv,15,name,6,26,333.3,Nam Co,&lt; &lt; Нам Ко &gt; &gt;
lake.csv,27,name,5,25,400.0,Inari,&lt; &lt; Инари &gt; &gt;
geo_source.csv,53,river,4,13,225.0,Drin,Длинная кость
geo_estuary.csv,57,river,4,13,225.0,Drin,Длинная кость
geo_desert.csv,48,desert,6,62,933.3,Qaidam,Организация &lt; &lt; Организация Объединенных Нац...
river.csv,33,river,4,13,225.0,Drin,Длинная кость
river.csv,92,name,4,13,225.0,Drin,Длинная кость
river.csv,107,river,4,13,225.0,Drin,Длинная кость
island.csv,21,name,12,47,291.7,Grande Terre,Организация &lt; &lt; Новая Каледония &gt; &gt;
desert.csv,15,name,6,62,933.3,Qaidam,Организация &lt; &lt; Организация Объединенных Нац...
