film_id,category_id,last_update
10,15,2006-02-15 04:07:09
15,9,2006-02-15 04:07:09
27,15,2006-02-15 04:07:09
42,15,2006-02-15 04:07:09
102,15,2006-02-15 04:07:09
113,15,2006-02-15 04:07:09
120,15,2006-02-15 04:07:09
135,15,2006-02-15 04:07:09
176,15,2006-02-15 04:07:09
187,15,2006-02-15 04:07:09
197,15,2006-02-15 04:07:09
237,15,2006-02-15 04:07:09
254,15,2006-02-15 04:07:09
256,15,2006-02-15 04:07:09
260,15,2006-02-15 04:07:09
263,15,2006-02-15 04:07:09
279,15,2006-02-15 04:07:09
291,15,2006-02-15 04:07:09
293,15,2006-02-15 04:07:09
322,15,2006-02-15 04:07:09
323,15,2006-02-15 04:07:09
361,15,2006-02-15 04:07:09
372,15,2006-02-15 04:07:09
383,15,2006-02-15 04:07:09
389,15,2006-02-15 04:07:09
420,15,2006-02-15 04:07:09
429,15,2006-02-15 04:07:09
446,15,2006-02-15 04:07:09
453,15,2006-02-15 04:07:09
463,15,2006-02-15 04:07:09
474,15,2006-02-15 04:07:09
488,15,2006-02-15 04:07:09
503,15,2006-02-15 04:07:09
517,15,2006-02-15 04:07:09
519,15,2006-02-15 04:07:09
532,15,2006-02-15 04:07:09
