constructorstandingsid,raceid,constructorid,points,position,positiontext,wins
691,84,4,130.0,1,1,7
1564,168,1,108.0,1,1,5
2105,196,15,4.0,6,6,0
2442,226,27,1.0,7,7,0
3261,290,29,0.0,7,7,0
3312,292,27,0.0,9,9,0
4647,274,6,1.0,8,8,0
4703,279,1,44.0,2,2,3
4735,281,22,39.0,3,3,0
5163,250,25,0.0,9,9,0
5166,250,28,0.0,13,13,0
5170,250,18,0.0,10,10,0
5181,251,31,0.0,13,13,0
5256,207,18,0.0,7,7,0
5536,183,16,0.0,10,10,0
5751,153,20,4.0,9,9,0
5896,133,1,37.0,3,3,1
6037,113,19,4.0,8,8,0
6061,116,4,52.0,4,4,0
6288,105,4,96.0,3,3,1
6355,56,9,2.0,8,8,0
6373,58,6,59.0,2,2,2
6471,67,4,165.0,2,2,7
7764,328,21,2.0,8,8,0
7795,330,1,83.0,1,1,4
8261,306,41,0.0,16,16,0
8428,315,32,3.0,9,9,0
8598,5,10,0.0,10,10,0
8732,14,23,153.0,1,1,8
8805,357,34,0.0,15,15,0
8811,357,46,0.0,20,20,0
9165,372,3,0.0,14,14,0
9188,374,1,33.0,1,1,3
9193,374,27,0.0,9,9,0
9405,386,6,65.0,2,2,1
9494,391,18,0.0,15,15,0
9630,400,45,0.0,15,15,0
9735,407,18,0.0,13,13,0
9847,415,6,26.0,5,5,0
9868,417,32,53.0,3,3,2
9898,419,25,11.0,7,7,0
9909,420,1,9.0,1,1,1
9939,422,6,16.0,2,2,0
10022,425,25,4.0,8,8,0
10154,432,45,0.0,11,11,0
10214,436,1,9.0,1,1,1
10274,439,32,10.0,4,4,0
10321,442,4,21.0,3,3,0
10339,443,27,3.0,10,10,0
10355,444,34,22.0,5,5,2
10362,445,1,68.5,1,1,6
10590,459,6,44.0,2,2,2
10713,465,52,0.0,13,13,0
10817,472,1,29.0,1,1,2
10924,478,37,0.0,14,14,0
11224,493,55,1.0,12,12,0
11334,499,45,0.0,15,15,0
11367,502,56,8.0,6,6,0
11396,504,34,25.0,3,3,1
11408,504,58,0.0,14,14,0
11426,506,34,34.0,3,3,1
11433,506,27,48.0,2,2,2
17761,765,105,3.0,3,3,0
17814,771,95,0.0,7,7,0
17818,772,66,12.0,4,4,0
18854,758,170,14.0,1,1,1
18884,761,167,0.0,5,5,0
19802,720,92,0.0,7,7,0
20621,690,176,0.0,6,6,0
20728,698,188,1.0,12,12,0
20764,681,176,6.0,5,5,0
20792,683,167,17.0,2,2,1
20868,687,190,13.0,7,7,1
20909,689,187,0.0,12,12,0
20990,672,196,19.0,4,4,1
21665,655,34,35.0,4,4,1
21928,623,82,1.0,9,9,0
22147,614,32,58.0,2,2,4
22240,592,1,22.0,1,1,2
22294,596,34,10.0,5,5,1
22447,604,67,0.0,15,15,0
22454,576,37,0.0,8,8,0
22544,581,73,0.0,11,11,0
22711,582,63,0.0,13,13,0
22719,583,32,6.0,6,6,0
22834,589,67,2.0,12,12,0
22864,561,25,9.0,2,2,0
22917,564,3,0.0,16,16,0
22924,564,63,2.0,11,11,0
22940,565,58,4.0,6,6,0
22976,567,37,6.0,8,8,0
22990,567,70,0.0,15,15,0
23051,571,59,0.0,14,14,0
23141,575,182,0.0,19,19,0
23243,549,68,0.0,15,15,0
23324,554,27,10.0,8,8,1
23362,556,67,1.0,12,12,0
23496,530,55,0.0,17,17,0
23729,542,64,0.0,19,19,0
24041,516,204,1.0,7,7,0
24177,524,32,39.0,4,4,0
24559,843,166,0.0,11,11,0
24568,844,5,6.0,7,7,0
24677,852,166,0.0,12,12,0
24719,856,1,418.0,2,2,5
24720,856,4,72.0,5,5,0
24974,869,131,105.0,5,5,1
24998,871,131,112.0,5,5,1
25095,876,3,59.0,8,8,1
25521,257,33,0.0,9,9,0
25558,260,17,10.0,4,4,0
25652,266,30,0.0,14,14,0
25702,270,18,5.0,10,10,0
25824,44,4,31.0,3,3,0
25854,47,6,137.0,1,1,6
26074,913,131,479.0,1,1,11
26106,915,9,342.0,2,2,3
26607,961,5,45.0,7,7,0
26869,982,4,42.0,7,7,0
