raceid,driverid,lap,position,time,milliseconds
355,15,38,22,1:46.446,106446
881,822,39,10,1:43.545,103545
59,17,23,2,1:15.680,75680
869,18,10,4,1:22.637,82637
863,8,19,3,1:39.435,99435
67,9,34,3,1:23.928,83928
93,22,28,5,1:22.906,82906
186,48,41,16,1:58.627,118627
201,57,23,1,1:46.477,106477
883,815,41,9,1:37.913,97913
228,44,31,11,1:31.285,91285
78,8,46,2,1:14.964,74964
231,35,12,2,1:23.723,83723
114,31,45,1,1:14.978,74978
204,25,9,9,1:28.602,88602
901,18,15,7,1:47.367,107367
195,35,28,8,1:48.567,108567
903,3,27,3,1:43.427,103427
907,8,71,10,1:14.311,74311
59,11,23,20,1:21.713,81713
941,4,16,14,2:23.336,143336
79,22,32,1,1:12.958,72958
100,43,27,12,1:22.340,82340
944,815,15,10,1:18.000,78000
346,1,32,2,1:34.348,94348
209,63,34,11,1:32.101,92101
943,807,25,8,1:23.766,83766
891,18,16,2,1:56.148,116148
854,816,7,21,2:00.524,120524
128,59,14,11,1:24.262,84262
863,814,25,4,1:40.708,100708
957,832,15,7,1:52.880,112880
909,16,30,12,1:24.660,84660
37,23,5,13,1:40.485,100485
953,831,30,14,1:33.126,93126
21,18,32,13,1:25.125,85125
82,27,53,14,1:19.929,79929
862,13,11,6,1:44.131,104131
44,22,55,9,1:24.331,84331
210,44,23,11,1:28.347,88347
953,13,47,10,1:21.442,81442
99,32,37,11,1:16.852,76852
913,828,50,16,1:57.056,117056
17,4,54,14,1:40.757,100757
16,20,28,4,1:15.333,75333
113,42,65,9,1:12.903,72903
82,35,49,16,1:22.420,82420
52,23,39,12,1:15.154,75154
208,30,65,5,1:19.475,79475
888,815,18,9,1:39.122,99122
74,15,6,4,1:25.712,85712
190,64,27,12,1:44.614,104614
875,819,21,19,1:47.832,107832
49,4,35,4,1:48.419,108419
859,155,3,13,1:21.257,81257
950,18,20,5,1:44.696,104696
60,21,59,4,1:22.753,82753
888,4,53,4,1:34.716,94716
204,57,6,1,1:27.683,87683
873,814,28,5,1:56.223,116223
907,818,4,14,1:15.835,75835
100,22,34,3,1:20.284,80284
348,30,8,13,1:29.200,89200
854,13,42,13,2:16.302,136302
181,22,35,1,2:28.569,148569
141,15,28,4,1:30.595,90595
86,23,26,14,2:11.205,131205
874,811,11,16,1:40.616,100616
38,5,12,9,1:36.947,96947
54,4,15,3,1:36.940,96940
101,21,16,8,1:16.997,76997
202,30,33,3,1:20.187,80187
27,4,23,12,1:18.625,78625
66,37,36,5,1:30.715,90715
11,15,57,13,1:40.158,100158
