raceid,driverid,lap,position,time,milliseconds
931,817,21,5,1:20.642,80642
116,18,46,8,1:37.249,97249
33,3,21,11,1:20.858,80858
926,828,49,9,1:31.911,91911
971,8,46,4,1:34.179,94179
904,8,12,6,1:33.616,93616
44,22,57,9,1:23.762,83762
46,19,38,15,1:22.734,82734
912,822,14,8,1:29.650,89650
119,14,23,5,1:17.142,77142
904,4,2,7,1:34.273,94273
37,18,49,12,1:39.603,99603
906,821,4,20,2:05.260,125260
163,57,15,2,1:49.116,109116
29,20,9,6,1:40.818,100818
957,20,46,9,1:38.245,98245
8,2,40,15,1:23.038,83038
864,20,66,6,1:28.468,88468
926,807,24,10,1:33.857,93857
979,836,31,18,1:26.935,86935
224,14,9,16,1:38.830,98830
957,13,25,9,1:43.536,103536
60,22,31,10,1:24.274,84274
964,4,20,17,1:40.582,100582
139,31,15,7,1:15.720,75720
878,815,45,11,1:42.417,102417
143,60,25,12,1:23.831,83831
863,30,55,10,1:39.870,99870
91,46,43,15,1:41.328,101328
351,13,21,13,1:54.112,114112
958,154,4,11,1:28.339,88339
145,44,45,9,1:23.820,83820
869,5,1,17,1:36.796,96796
893,154,22,5,1:52.840,112840
930,8,45,6,1:30.361,90361
872,817,44,12,1:28.995,88995
948,831,46,14,1:33.029,93029
168,15,11,3,1:46.422,106422
66,13,5,1,1:29.991,89991
37,8,18,3,1:40.876,100876
856,22,15,17,1:45.914,105914
51,21,25,13,1:49.181,109181
954,1,51,1,1:16.518,76518
144,58,9,20,1:33.620,93620
196,65,40,11,1:26.333,86333
123,15,2,13,1:38.111,98111
166,64,57,13,1:23.766,83766
901,817,4,4,1:49.060,109060
50,23,50,16,1:31.439,91439
3,22,50,4,1:56.266,116266
911,8,3,6,1:56.231,116231
951,4,36,6,1:42.218,102218
136,13,16,5,1:19.887,79887
865,815,54,16,1:20.930,80930
119,14,53,4,1:18.141,78141
959,4,10,10,1:22.367,82367
59,27,33,19,1:18.004,78004
107,15,27,9,1:12.516,72516
100,21,35,5,1:20.392,80392
138,56,43,3,1:26.411,86411
852,22,36,13,1:53.830,113830
951,828,38,14,1:42.732,102732
81,18,24,6,1:23.442,83442
192,14,30,2,1:20.526,80526
877,37,11,19,2:37.904,157904
843,3,30,3,1:41.626,101626
84,8,52,1,1:26.487,86487
911,826,40,10,1:54.737,114737
959,837,49,21,1:27.858,87858
966,832,41,14,1:25.366,85366
14,3,16,2,1:48.695,108695
955,830,5,12,2:01.368,121368
136,66,20,17,1:20.969,80969
857,15,43,19,1:36.814,96814
841,22,38,15,1:32.676,92676
93,30,15,1,1:21.555,81555
135,23,6,2,1:18.720,78720
228,64,25,10,1:31.056,91056
111,23,50,4,1:25.518,85518
967,836,66,15,1:28.028,88028
4,16,40,11,1:36.424,96424
22,8,24,3,1:28.296,88296
843,816,17,19,1:48.480,108480
4,12,5,10,1:36.921,96921
958,822,45,9,1:25.806,85806
979,814,30,15,1:28.445,88445
239,65,31,10,1:47.157,107157
59,33,30,22,1:20.649,80649
931,1,27,1,1:19.876,79876
146,54,59,10,1:13.759,73759
166,63,6,9,1:22.021,82021
950,154,28,17,1:44.975,104975
