year,lgid,tmid,oppid,w,l,t,otl
1983,NHL,EDM,WIN,8,0,0.0,
2000,NHL,WAS,MIN,1,1,0.0,0
2008,NHL,LAK,VAN,1,3,,0
2001,NHL,PIT,PHI,1,2,1.0,1
1978,NHL,STL,VAN,1,4,3.0,
1924,NHL,MTM,OTS,2,4,0.0,
1988,NHL,HAR,NYR,2,1,0.0,
2008,NHL,CBS,MIN,1,2,,1
1990,NHL,PHI,NJD,1,4,2.0,
1979,NHL,PIT,NYI,1,0,3.0,
1996,NHL,VAN,PIT,1,1,0.0,
1993,NHL,NYR,NJD,6,0,0.0,
2011,NHL,FLO,CHI,0,1,,1
1967,NHL,PIT,BOS,2,2,0.0,
2006,NHL,LAK,WAS,0,0,,1
1985,NHL,VAN,CAL,2,4,2.0,
1981,NHL,PIT,NYR,3,4,1.0,
1973,NHL,BUF,NYI,3,0,2.0,
1999,NHL,LAK,NYR,1,1,0.0,0
2001,NHL,ATL,PHO,0,2,0.0,0
2007,NHL,ATL,NAS,0,1,,0
1974,NHL,MTL,BOS,3,0,2.0,
2000,NHL,PHO,EDM,2,0,2.0,0
1995,NHL,EDM,VAN,2,2,2.0,
1925,NHL,NYA,MTL,4,2,0.0,
1980,NHL,DET,PHI,1,3,0.0,
1980,NHL,BUF,NYR,2,1,1.0,
1992,NHL,BOS,CAL,2,0,0.0,
1974,NHL,WAS,PIT,1,5,0.0,
1934,NHL,CHI,DET,3,3,0.0,
1991,NHL,WAS,HAR,1,1,1.0,
2010,NHL,PIT,COL,1,0,,0
1971,NHL,DET,PIT,4,2,0.0,
1996,NHL,CHI,PHO,1,4,0.0,
1975,WHA,NEW,PHR,2,3,1.0,
1970,NHL,MTL,PHI,4,1,1.0,
1987,NHL,NJD,BOS,1,2,0.0,
2000,NHL,FLO,CAL,0,0,1.0,0
2007,NHL,STL,OTT,0,1,,0
1970,NHL,PIT,NYR,0,5,1.0,
2000,NHL,NJD,NAS,0,1,0.0,0
2005,NHL,NAS,VAN,3,1,,0
1967,NHL,STL,TOR,2,1,1.0,
2001,NHL,NYI,VAN,1,0,0.0,0
1998,NHL,PHO,OTT,1,1,0.0,
1973,WHA,VAB,NEW,2,4,0.0,
1942,NHL,NYR,BOS,2,8,0.0,
2001,NHL,ANA,DAL,3,1,1.0,0
1934,NHL,DET,CHI,3,3,0.0,
2010,NHL,COL,FLO,0,0,,1
2006,NHL,PIT,MTL,2,1,,1
1974,WHA,EDO,WIJ,3,3,0.0,
2000,NHL,VAN,OTT,0,2,0.0,0
1975,NHL,ATF,BOS,2,3,0.0,
2001,NHL,NAS,STL,0,4,1.0,0
1997,NHL,NYI,CHI,0,2,0.0,
1933,NHL,MTM,CHI,2,2,2.0,
1995,NHL,PIT,VAN,2,0,0.0,
1970,NHL,BOS,MTL,5,1,0.0,
2006,NHL,TOR,VAN,0,1,,0
1993,NHL,CHI,WIN,4,2,0.0,
1989,NHL,NJD,DET,1,1,1.0,
2009,NHL,CAL,CBS,2,2,,0
1933,NHL,NYR,OTS,4,1,1.0,
1915,NHA,MOW,OT1,2,4,0.0,
1980,NHL,VAN,LAK,0,4,0.0,
1995,NHL,NJD,WIN,1,1,0.0,
2011,NHL,TOR,PIT,2,1,,1
2008,NHL,CBS,BUF,1,0,,0
1991,NHL,BUF,WAS,1,1,1.0,
1996,NHL,DET,PHI,1,0,1.0,
2010,NHL,COL,TBL,0,1,,0
1985,NHL,LAK,EDM,0,6,2.0,
2007,NHL,WAS,OTT,4,0,,0
2005,NHL,WAS,OTT,1,3,,0
1962,NHL,CHI,BOS,10,2,2.0,
2011,NHL,BUF,STL,0,1,,0
2002,NHL,DET,MIN,2,2,0.0,0
1980,NHL,MTL,EDM,2,2,0.0,
2009,NHL,LAK,TOR,1,0,,0
1998,NHL,TOR,OTT,3,2,0.0,
1981,NHL,WAS,PIT,2,5,1.0,
2001,NHL,VAN,NYI,0,1,0.0,0
1983,NHL,BOS,WAS,2,1,0.0,
2000,NHL,NYI,COL,0,1,0.0,0
2009,NHL,CAR,TOR,3,1,,0
2001,NHL,FLO,CAL,0,1,1.0,0
1991,NHL,QUE,CAL,0,2,1.0,
1979,NHL,CHI,HAR,1,1,2.0,
1996,NHL,SJS,TOR,0,4,0.0,
1990,NHL,NYI,MTL,0,2,1.0,
2010,NHL,SJS,STL,3,1,,0
2011,NHL,WAS,NJD,1,1,,2
2010,NHL,OTT,BUF,1,3,,2
1934,NHL,CHI,MTL,4,1,1.0,
2002,NHL,FLO,MTL,1,3,0.0,0
2002,NHL,BOS,EDM,2,0,0.0,0
2010,NHL,DET,PHO,2,1,,1
2010,NHL,MTL,ATL,2,1,,1
1974,WHA,EDO,CHC,4,2,0.0,
2010,NHL,SJS,DAL,3,1,,2
1972,NHL,PHI,MNS,3,2,0.0,
2011,NHL,STL,OTT,1,0,,0
1989,NHL,NYR,VAN,3,0,0.0,
1988,NHL,BUF,STL,1,2,0.0,
1934,NHL,TOR,DET,2,3,1.0,
1994,NHL,NYI,HAR,1,2,0.0,
1995,NHL,PIT,TBL,3,1,0.0,
1970,NHL,TOR,BUF,5,1,0.0,
1991,NHL,LAK,WIN,4,2,1.0,
