year,lgid,tmid,hw,hl,ht,hotl,rw,rl,rt,rotl,sepw,sepl,sept,sepol,octw,octl,octt,octol,novw,novl,novt,novol,decw,decl,dect,decol,janw,janl,jant,janol,febw,febl,febt,febol,marw,marl,mart,marol,aprw,aprl,aprt,aprol
1931,NHL,CHI,13,5,6.0,,5,14,5.0,,,,,,,,,,2,2,3,,3,4,3,,5,4,4.0,,4,5,0.0,,4,4,1,,,,,
1968,NHL,NYR,27,7,4.0,,14,19,5.0,,,,,,6,3,0,,8,4,0,,5,7,3,,8,4,1.0,,5,5,2.0,,9,3,3,,,,,
2005,NHL,BUF,27,11,,3,25,13,,3,,,,,7,4,,0,8,5,,1,11,2,,1,6,4,,1,4,0,,2,9,7,,1,7,2,,0
2005,NHL,DET,27,9,,5,31,7,,3,,,,,11,1,,0,7,5,,2,8,3,,1,8,4,,2,5,1,,0,11,1,,3,8,1,,0
1986,NHL,WIN,25,12,3.0,,15,20,5.0,,,,,,4,4,1,,11,4,0,,2,8,3,,11,3,1.0,,6,5,1.0,,5,7,2,,1,1,0,
1979,NHL,COR,12,20,8.0,,7,28,5.0,,,,,,1,7,2,,4,6,1,,7,8,0,,2,8,4.0,,2,6,3.0,,3,10,3,,0,3,0,
1995,NHL,PIT,32,9,0.0,,17,20,4.0,,,,,,4,2,2,,10,3,1,,10,4,0,,7,7,0.0,,6,5,1.0,,9,5,0,,3,3,0,
1980,NHL,COR,15,16,9.0,,7,29,4.0,,,,,,4,4,2,,5,6,2,,4,9,2,,3,8,2.0,,2,8,2.0,,4,9,1,,0,1,2,
1994,NHL,FLO,9,12,3.0,,11,10,3.0,,,,,,,,,,,,,,,,,,3,4,0.0,,4,7,2.0,,6,5,2,,5,6,2,
1988,NHL,MTL,30,6,4.0,,23,12,5.0,,,,,,4,7,1,,11,2,2,,11,1,3,,9,4,0.0,,8,1,1.0,,10,3,1,,0,0,1,
2002,NHL,CBS,20,14,5.0,2,9,28,3.0,1,,,,,3,5,1,0,6,6,1,2,4,8,1,0,7,6,2.0,0,3,7,1.0,0,5,8,1,1,1,2,1,0
2001,NHL,CAL,20,14,5.0,2,12,21,7.0,1,,,,,8,2,0,2,5,4,4,0,4,7,4,0,5,8,0.0,0,2,3,1.0,1,5,7,3,0,3,4,0,0
1970,NHL,STL,23,7,9.0,,11,18,10.0,,,,,,5,2,3,,6,1,4,,5,5,4,,5,6,2.0,,5,5,3.0,,7,6,1,,1,0,2,
1961,NHL,MTL,26,2,7.0,,16,12,7.0,,,,,,7,0,1,,4,5,6,,8,2,2,,8,2,2.0,,8,2,1.0,,7,3,2,,,,,
1986,NHL,PIT,19,15,6.0,,11,23,6.0,,,,,,8,3,0,,5,5,4,,2,7,3,,4,8,1.0,,4,7,2.0,,5,8,2,,2,0,0,
2003,NHL,MIN,19,13,7.0,2,11,16,13.0,1,,,,,4,6,1,0,4,6,3,0,6,2,6,0,3,6,5.0,2,4,5,2.0,0,7,4,3,1,2,0,0,0
1947,NHL,MTL,13,13,4.0,,7,16,7.0,,,,,,3,3,0,,4,5,3,,4,4,1,,2,7,5.0,,2,8,0.0,,5,2,2,,,,,
1933,NHL,MTM,11,6,7.0,,8,12,4.0,,,,,,,,,,3,3,2,,1,6,3,,6,4,3.0,,6,4,1.0,,3,1,2,,,,,
1999,NHL,BUF,21,14,5.0,1,14,18,6.0,3,,,,,3,7,2,0,8,5,0,0,4,4,3,1,5,8,1.0,0,6,3,3.0,1,6,5,1,1,3,0,1,1
1970,NHL,CHI,30,6,3.0,,19,14,6.0,,,,,,6,2,2,,8,2,3,,10,2,0,,9,5,1.0,,8,4,0.0,,7,4,3,,1,1,0,
1914,NHA,MOC,4,5,0.0,,2,9,0.0,,,,,,,,,,,,,,0,2,0,,2,7,0.0,,4,4,0.0,,0,1,0,,,,,
1937,NHL,BOS,18,3,3.0,,12,8,4.0,,,,,,,,,,6,0,2,,6,5,0,,6,3,2.0,,8,1,1.0,,4,2,2,,,,,
1988,NHL,HAR,21,17,2.0,,16,21,3.0,,,,,,5,5,0,,4,8,1,,6,7,2,,6,6,1.0,,7,5,0.0,,8,6,1,,1,1,0,
1959,NHL,BOS,21,11,3.0,,7,23,5.0,,,,,,4,5,1,,5,6,3,,3,7,1,,8,6,1.0,,5,5,0.0,,3,5,2,,,,,
1996,NHL,NJD,23,9,9.0,,22,14,5.0,,,,,,4,5,1,,8,5,0,,8,3,2,,4,4,4.0,,7,1,5.0,,10,3,1,,4,2,1,
1963,NHL,MTL,22,7,6.0,,14,14,7.0,,,,,,3,3,2,,6,3,3,,9,4,1,,6,3,4.0,,9,3,1.0,,3,5,2,,,,,
1972,WHA,MFS,24,14,1.0,,14,23,2.0,,,,,,2,5,1,,10,4,0,,8,7,1,,5,7,1.0,,6,6,0.0,,7,8,0,,,,,
1928,NHL,TOR,15,5,2.0,,6,13,3.0,,,,,,,,,,3,3,0,,6,4,0,,3,8,2.0,,7,1,1.0,,2,2,2,,,,,
1924,NHL,TRS,10,5,0.0,,9,6,0.0,,,,,,,,,,0,1,0,,3,5,0,,7,3,0.0,,8,0,0.0,,1,2,0,,,,,
1945,NHL,BOS,16,5,4.0,,8,13,4.0,,,,,,0,2,1,,6,1,0,,3,2,5,,8,5,0.0,,3,6,2.0,,4,2,0,,,,,
1956,NHL,MTL,23,6,6.0,,12,17,6.0,,,,,,2,5,1,,9,4,1,,7,3,3,,9,2,2.0,,3,5,4.0,,5,4,1,,,,,
2003,NHL,TOR,22,14,3.0,2,23,10,7.0,1,,,,,4,3,2,1,8,3,3,1,9,1,2,1,8,6,1.0,0,6,6,1.0,0,8,5,1,0,2,0,0,0
1997,NHL,DAL,26,8,7.0,,23,14,4.0,,,,,,9,4,1,,9,3,3,,7,2,3,,8,4,1.0,,5,0,0.0,,5,5,3,,6,4,0,
1977,NHL,CLE,14,17,9.0,,8,28,4.0,,,,,,4,5,0,,3,8,2,,3,10,2,,7,7,0.0,,2,7,4.0,,2,6,4,,1,2,1,
2000,NHL,EDM,23,9,7.0,2,16,19,5.0,1,,,,,6,5,2,0,8,5,1,0,4,5,3,1,7,6,2.0,0,5,3,1.0,1,8,3,1,1,1,1,2,0
1952,NHL,CHI,14,11,10.0,,13,17,5.0,,,,,,5,2,3,,6,4,3,,3,6,3,,4,7,3.0,,4,6,0.0,,5,3,3,,,,,
1979,NHL,MNS,25,8,7.0,,11,20,9.0,,,,,,6,2,1,,4,4,5,,8,3,1,,4,7,3.0,,7,4,2.0,,7,6,2,,0,2,2,
2005,NHL,WAS,16,18,,7,13,23,,5,,,,,4,7,,0,4,7,,2,5,6,,1,5,8,,2,2,4,,0,4,6,,5,5,3,,2
1987,NHL,PIT,22,12,6.0,,14,23,3.0,,,,,,3,6,3,,6,4,2,,7,4,2,,5,9,2.0,,4,7,0.0,,9,5,0,,2,0,0,
2006,NHL,TBL,22,18,,1,22,15,,4,,,,,5,6,,0,8,5,,2,5,8,,0,9,4,,0,9,2,,2,7,7,,0,1,1,,1
1912,NHA,MOC,4,6,0.0,,5,5,0.0,,,,,,,,,,,,,,2,0,0,,5,3,0.0,,1,7,0.0,,1,1,0,,,,,
1989,NHL,PHI,17,19,4.0,,13,20,7.0,,,,,,3,7,1,,9,3,2,,6,7,2,,2,9,2.0,,5,5,2.0,,5,8,1,,0,0,1,
1923,WCHL,CAT,13,2,0.0,,5,9,1.0,,,,,,,,,,,,,,6,1,0,,7,5,0.0,,5,5,0.0,,0,0,1,,,,,
1955,NHL,DET,21,6,8.0,,9,18,8.0,,,,,,2,5,3,,3,3,7,,6,3,3,,10,2,1.0,,5,8,0.0,,4,3,2,,,,,
1974,WHA,CLC,23,15,1.0,,12,25,2.0,,,,,,2,2,1,,7,4,0,,4,11,0,,8,8,1.0,,5,8,0.0,,8,5,1,,1,2,0,
2003,NHL,BOS,18,12,9.0,2,23,7,6.0,5,,,,,6,2,2,1,5,2,2,3,3,7,5,0,10,3,2.0,0,7,1,2.0,3,9,3,1,0,1,1,1,0
2007,NHL,SJS,22,13,,6,27,10,,4,,,,,6,5,,1,6,3,,3,10,4,,1,6,4,,2,7,5,,1,13,0,,2,1,2,,0
1972,NHL,NYI,10,25,4.0,,2,35,2.0,,,,,,1,6,1,,2,10,1,,1,12,2,,2,13,0.0,,2,11,1.0,,4,8,0,,0,0,1,
2008,NHL,WAS,29,9,,3,21,15,,5,,,,,5,3,,1,8,5,,2,11,3,,0,7,4,,1,9,3,,1,6,5,,2,4,1,,1
1978,NHL,PIT,23,12,5.0,,13,19,8.0,,,,,,1,6,2,,5,7,1,,9,2,4,,5,7,1.0,,6,3,1.0,,8,4,4,,2,2,0,
1997,NHL,NYI,17,20,4.0,,13,21,7.0,,,,,,5,5,2,,6,6,2,,4,9,1,,3,8,2.0,,2,2,1.0,,4,8,2,,6,3,1,
2010,NHL,NAS,24,9,,8,20,18,,3,,,,,5,2,,3,5,6,,2,8,5,,1,9,4,,0,5,6,,2,10,3,,2,2,1,,1
1956,NHL,CHI,12,15,8.0,,4,24,7.0,,,,,,1,6,1,,3,8,2,,4,9,1,,2,8,4.0,,4,3,4.0,,2,5,3,,,,,
1934,NHL,NYR,11,8,5.0,,11,12,1.0,,,,,,,,,,2,4,0,,4,6,1,,8,1,3.0,,7,4,1.0,,1,5,1,,,,,
1982,NHL,PIT,14,22,4.0,,4,31,5.0,,,,,,3,9,1,,5,3,3,,3,9,2,,1,12,1.0,,3,11,0.0,,3,7,2,,0,2,0,
2007,NHL,TOR,18,17,,6,18,18,,5,,,,,5,5,,3,4,6,,3,6,5,,2,5,8,,1,8,4,,1,8,5,,0,0,2,,1
1988,NHL,VAN,19,15,6.0,,14,24,2.0,,,,,,5,5,2,,6,7,3,,4,7,0,,5,6,2.0,,8,5,0.0,,5,7,1,,0,2,0,
1975,NHL,NYI,24,8,8.0,,18,13,9.0,,,,,,5,1,4,,6,7,1,,9,2,1,,7,2,3.0,,6,5,4.0,,8,3,3,,1,1,1,
1913,NHA,QU1,8,2,0.0,,4,6,0.0,,,,,,,,,,,,,,1,1,0,,4,5,0.0,,6,2,0.0,,1,0,0,,,,,
2009,NHL,VAN,30,8,,3,19,20,,2,,,,,7,7,,0,7,5,,0,10,4,,1,10,2,,1,3,4,,0,9,4,,2,3,2,,1
2009,NHL,EDM,18,19,,4,9,28,,4,,,,,7,6,,1,3,7,,3,6,8,,0,0,10,,2,3,5,,0,5,9,,1,3,2,,1
2002,NHL,ANA,22,10,7.0,2,18,17,2.0,4,,,,,3,5,3,0,5,2,3,3,7,7,0,0,7,4,1.0,1,8,5,1.0,0,9,3,1,1,1,1,0,1
1991,NHL,NJD,24,12,4.0,,14,19,7.0,,,,,,8,5,0,,6,5,1,,4,4,5,,7,2,1.0,,8,5,2.0,,4,8,2,,1,2,0,
1935,NHL,NYR,11,6,7.0,,8,11,5.0,,,,,,,,,,4,3,2,,5,4,2,,3,7,1.0,,3,1,5.0,,4,2,2,,,,,
1979,NHL,BOS,27,9,4.0,,19,12,9.0,,,,,,5,2,2,,10,2,1,,5,6,2,,10,4,1.0,,6,3,3.0,,8,3,4,,2,1,0,
